
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 12, 2021","215,914,429 - (+2,756,853)","740 - (0)","4,749 - (+3)","2.34% - (-0.39%)"
"2","December 29, 2020","213,157,576 - (+296,833)","740 - (0)","4,746 - (0)","2.73% - (+0.02%)"
"3","December 28, 2020","212,860,743 - (+821,892)","740 - (+2)","4,746 - (+1)","2.71% - (+0.36%)"
"4","December 24, 2020","212,038,851 - (+2,890,013)","738 - (+5)","4,745 - (+13)","2.35% - (+0.46%)"
"5","December 11, 2020","209,148,838 - (+292,671)","733 - (+2)","4,732 - (+2)","1.89% - (-0.09%)"
"6","December 9, 2020","208,856,167 - (+381,645)","731 - (0)","4,730 - (+4)","1.98% - (+0.05%)"
"7","December 6, 2020","208,474,522 - (+826,576)","731 - (+2)","4,726 - (+7)","1.93% - (+0.46%)"
"8","November 28, 2020","207,647,946 - (+588,582)","729 - (+5)","4,719 - (+3)","1.47% - (+0.34%)"
"9","November 20, 2020","207,059,364 - (+41,719)","724 - (0)","4,716 - (0)","1.13% - (0.00%)"
"10","November 20, 2020","207,017,645 - (+168,791)","724 - (+1)","4,716 - (+2)","1.13% - (-0.07%)"
"11","November 18, 2020","206,848,854 - (+82,434)","723 - (+2)","4,714 - (+2)","1.20% - (-0.10%)"
"12","November 17, 2020","206,766,420 - (+54,537)","721 - (+1)","4,712 - (0)","1.30% - (+0.01%)"
"13","November 17, 2020","206,711,883 - (+53,945)","720 - (+1)","4,712 - (+1)","1.29% - (+0.01%)"
"14","November 16, 2020","206,657,938 - (+78,895)","719 - (+1)","4,711 - (0)","1.28% - (+0.08%)"
"15","November 15, 2020","206,579,043 - (+77,380)","718 - (0)","4,711 - (+1)","1.20% - (+0.08%)"
"16","November 15, 2020","206,501,663 - (+41,137)","718 - (+1)","4,710 - (0)","1.12% - (+0.08%)"
"17","November 14, 2020","206,460,526 - (+201,946)","717 - (+2)","4,710 - (+3)","1.04% - (-0.28%)"
"18","November 12, 2020","206,258,580 - (+24,770)","715 - (0)","4,707 - (0)","1.32% - (+0.02%)"
"19","November 12, 2020","206,233,810 - (+71,797)","715 - (+2)","4,707 - (+2)","1.30% - (+0.08%)"
"20","November 11, 2020","206,162,013 - (+52,058)","713 - (0)","4,705 - (0)","1.22% - (0.00%)"
"21","November 11, 2020","206,109,955 - (-5,200)","713 - (0)","4,705 - (0)","1.22% - (0.00%)"
"22","November 11, 2020","206,115,155 - (+63,397)","713 - (0)","4,705 - (0)","1.22% - (+0.01%)"
"23","November 10, 2020","206,051,758 - (+52,933)","713 - (+1)","4,705 - (0)","1.21% - (+0.02%)"
"24","November 10, 2020","205,998,825 - (+8,896)","712 - (0)","4,705 - (0)","1.19% - (+0.01%)"
"25","November 10, 2020","205,989,929 - (+17,594)","712 - (0)","4,705 - (0)","1.18% - (+0.03%)"
"26","November 10, 2020","205,972,335 - (+35,918)","712 - (0)","4,705 - (+1)","1.15% - (-0.08%)"
"27","November 9, 2020","205,936,417 - (+40,961)","712 - (0)","4,704 - (0)","1.23% - (+0.08%)"
"28","November 9, 2020","205,895,456 - (-2,349)","712 - (+1)","4,704 - (-1)","1.15% - (+0.13%)"
"29","November 8, 2020","205,897,805 - (+22,178)","711 - (0)","4,705 - (+2)","1.02% - (-0.29%)"
"30","November 8, 2020","205,875,627 - (+34,572)","711 - (0)","4,703 - (0)","1.31% - (+0.01%)"
"31","November 8, 2020","205,841,055 - (+17,617)","711 - (-1)","4,703 - (0)","1.30% - (+0.02%)"
"32","November 8, 2020","205,823,438 - (+23,892)","712 - (+1)","4,703 - (0)","1.28% - (+0.07%)"
"33","November 8, 2020","205,799,546 - (-30,648)","711 - (+1)","4,703 - (0)","1.21% - (+0.09%)"
"34","November 7, 2020","205,830,194 - (+43,516)","710 - (-1)","4,703 - (+2)","1.12% - (-0.18%)"
"35","November 7, 2020","205,786,678 - (+8,443)","711 - (+1)","4,701 - (0)","1.30% - (0.00%)"
"36","November 7, 2020","205,778,235 - (+55,696)","710 - (0)","4,701 - (0)","1.30% - (0.00%)"
"37","November 6, 2020","205,722,539 - (+13,912)","710 - (+1)","4,701 - (0)","1.30% - (0.00%)"
"38","November 6, 2020","205,708,627 - (+99,358)","709 - (-2)","4,701 - (0)","1.30% - (0.00%)"
"39","November 5, 2020","205,609,269 - (+65,235)","711 - (0)","4,701 - (0)","1.30% - (+0.01%)"
"40","November 5, 2020","205,544,034 - (-7,901)","711 - (0)","4,701 - (0)","1.29% - (0.00%)"
"41","November 5, 2020","205,551,935 - (+77,752)","711 - (0)","4,701 - (0)","1.29% - (+0.01%)"
"42","November 4, 2020","205,474,183 - (+7)","711 - (0)","4,701 - (0)","1.28% - (+0.01%)"
"43","November 4, 2020","205,474,176 - (+28,416)","711 - (0)","4,701 - (0)","1.27% - (0.00%)"
"44","November 4, 2020","205,445,760 - (+6,622)","711 - (0)","4,701 - (0)","1.27% - (+0.01%)"
"45","November 3, 2020","205,439,138 - (+12,495)","711 - (0)","4,701 - (0)","1.26% - (+0.01%)"
"46","November 3, 2020","205,426,643 - (+36,379)","711 - (0)","4,701 - (+1)","1.25% - (-0.25%)"
"47","November 3, 2020","205,390,264 - (+8,186)","711 - (0)","4,700 - (0)","1.50% - (0.00%)"
"48","November 3, 2020","205,382,078 - (+43,549)","711 - (+2)","4,700 - (0)","1.50% - (+0.02%)"
"49","November 3, 2020","205,338,529 - (-16,258)","709 - (0)","4,700 - (0)","1.48% - (+0.01%)"
"50","November 2, 2020","205,354,787 - (+10,594)","709 - (0)","4,700 - (0)","1.47% - (+0.02%)"
"51","November 2, 2020","205,344,193 - (+26,484)","709 - (+1)","4,700 - (+2)","1.45% - (-0.40%)"
"52","November 2, 2020","205,317,709 - (+33,029)","708 - (0)","4,698 - (0)","1.85% - (+0.03%)"
"53","November 2, 2020","205,284,680 - (+101,790)","708 - (+13)","4,698 - (+1)","1.82% - (+0.07%)"
"54","November 1, 2020","205,182,890 - (+20,179)","695 - (0)","4,697 - (0)","1.75% - (+0.02%)"
"55","November 1, 2020","205,162,711 - (+64,030)","695 - (-1)","4,697 - (+3)","1.73% - (+0.15%)"
"56","October 31, 2020","205,098,681 - (+12,891)","696 - (0)","4,694 - (0)","1.58% - (+0.01%)"
"57","October 31, 2020","205,085,790 - (+20,553)","696 - (0)","4,694 - (0)","1.57% - (+0.04%)"
"58","October 31, 2020","205,065,237 - (+23,264)","696 - (0)","4,694 - (0)","1.53% - (+0.07%)"
"59","October 31, 2020","205,041,973 - (+36,658)","696 - (0)","4,694 - (+3)","1.46% - (-0.37%)"
"60","October 30, 2020","205,005,315 - (+25,592)","696 - (+1)","4,691 - (0)","1.83% - (+0.03%)"
"61","October 30, 2020","204,979,723 - (+78,590)","695 - (0)","4,691 - (+1)","1.80% - (+0.09%)"
"62","October 30, 2020","204,901,133 - (-3,818)","695 - (0)","4,690 - (0)","1.71% - (+0.04%)"
"63","October 29, 2020","204,904,951 - (+36,543)","695 - (0)","4,690 - (+1)","1.67% - (-0.01%)"
"64","October 29, 2020","204,868,408 - (+55,905)","695 - (0)","4,689 - (0)","1.68% - (+0.19%)"
"65","October 29, 2020","204,812,503 - (-7,374)","695 - (+1)","4,689 - (+1)","1.49% - (+0.04%)"
"66","October 28, 2020","204,819,877 - (+77,518)","694 - (0)","4,688 - (+1)","1.45% - (-0.10%)"
"67","October 28, 2020","204,742,359 - (+55,977)","694 - (-1)","4,687 - (+2)","1.55% - (-0.21%)"
"68","October 27, 2020","204,686,382 - (+55,821)","695 - (0)","4,685 - (+4)","1.76% - (-0.14%)"
"69","October 26, 2020","204,630,561 - (+28,219)","695 - (0)","4,681 - (0)","1.90% - (+0.08%)"
"70","October 26, 2020","204,602,342 - (+46,994)","695 - (0)","4,681 - (+1)","1.82% - (-0.03%)"
"71","October 25, 2020","204,555,348 - (+20,118)","695 - (0)","4,680 - (+1)","1.85% - (-0.05%)"
"72","October 25, 2020","204,535,230 - (+29,689)","695 - (0)","4,679 - (0)","1.90% - (+0.06%)"
"73","October 25, 2020","204,505,541 - (+12,770)","695 - (0)","4,679 - (0)","1.84% - (+0.06%)"
"74","October 25, 2020","204,492,771 - (+21,450)","695 - (0)","4,679 - (+2)","1.78% - (-0.11%)"
"75","October 24, 2020","204,471,321 - (+9,927)","695 - (0)","4,677 - (+1)","1.89% - (+0.04%)"
"76","October 24, 2020","204,461,394 - (-6,422)","695 - (0)","4,676 - (0)","1.85% - (+0.01%)"
"77","October 24, 2020","204,467,816 - (+11,919)","695 - (0)","4,676 - (0)","1.84% - (+0.02%)"
"78","October 24, 2020","204,455,897 - (+17,237)","695 - (0)","4,676 - (0)","1.82% - (+0.05%)"
"79","October 24, 2020","204,438,660 - (+12,259)","695 - (0)","4,676 - (0)","1.77% - (+0.08%)"
"80","October 24, 2020","204,426,401 - (+5,864)","695 - (0)","4,676 - (0)","1.69% - (+0.06%)"
"81","October 24, 2020","204,420,537 - (+20,115)","695 - (0)","4,676 - (+1)","1.63% - (0.00%)"
"82","October 23, 2020","204,400,422 - (-6,058)","695 - (0)","4,675 - (+1)","1.63% - (+0.07%)"
"83","October 23, 2020","204,406,480 - (+13,374)","695 - (+1)","4,674 - (0)","1.56% - (+0.01%)"
"84","October 23, 2020","204,393,106 - (+13,301)","694 - (0)","4,674 - (0)","1.55% - (+0.02%)"
"85","October 23, 2020","204,379,805 - (+30,177)","694 - (0)","4,674 - (0)","1.53% - (+0.07%)"
"86","October 23, 2020","204,349,628 - (+43,249)","694 - (0)","4,674 - (+2)","1.46% - (-0.40%)"
"87","October 22, 2020","204,306,379 - (+59,821)","694 - (+1)","4,672 - (+1)","1.86% - (-0.24%)"
"88","October 21, 2020","204,246,558 - (+17,859)","693 - (-1)","4,671 - (+1)","2.10% - (-0.17%)"
"89","October 21, 2020","204,228,699 - (+13,106)","694 - (0)","4,670 - (0)","2.27% - (0.00%)"
"90","October 21, 2020","204,215,593 - (+1,825)","694 - (0)","4,670 - (0)","2.27% - (0.00%)"
"91","October 21, 2020","204,213,768 - (+4,939)","694 - (0)","4,670 - (0)","2.27% - (0.00%)"
"92","October 20, 2020","204,208,829 - (+29,028)","694 - (0)","4,670 - (0)","2.27% - (0.00%)"
"93","October 20, 2020","204,179,801 - (-5,406)","694 - (0)","4,670 - (0)","2.27% - (0.00%)"
"94","October 20, 2020","204,185,207 - (+5,896)","694 - (0)","4,670 - (0)","2.27% - (0.00%)"
"95","October 20, 2020","204,179,311 - (+9,362)","694 - (0)","4,670 - (0)","2.27% - (0.00%)"
"96","October 20, 2020","204,169,949 - (+31,352)","694 - (+1)","4,670 - (0)","2.27% - (0.00%)"
"97","October 20, 2020","204,138,597 - (+8,148)","693 - (0)","4,670 - (0)","2.27% - (+0.01%)"
"98","October 19, 2020","204,130,449 - (+24,676)","693 - (0)","4,670 - (0)","2.26% - (0.00%)"
"99","October 19, 2020","204,105,773 - (+9,317)","693 - (0)","4,670 - (0)","2.26% - (0.00%)"
"100","October 19, 2020","204,096,456 - (-1,447)","693 - (+1)","4,670 - (0)","2.26% - (+0.01%)"
"101","October 18, 2020","204,097,903 - (+22,547)","692 - (+1)","4,670 - (0)","2.25% - (+0.01%)"
"102","October 18, 2020","204,075,356 - (+11,959)","691 - (0)","4,670 - (0)","2.24% - (+0.01%)"
"103","October 18, 2020","204,063,397 - (+4,832)","691 - (0)","4,670 - (0)","2.23% - (0.00%)"
"104","October 18, 2020","204,058,565 - (+677)","691 - (0)","4,670 - (0)","2.23% - (+0.06%)"
"105","October 17, 2020","204,057,888 - (+6,678)","691 - (-1)","4,670 - (0)","2.17% - (+0.02%)"
"106","October 17, 2020","204,051,210 - (+12,417)","692 - (+4)","4,670 - (+2)","2.15% - (-0.60%)"
"107","October 16, 2020","204,038,793 - (+32,842)","688 - (+1)","4,668 - (0)","2.75% - (+0.01%)"
"108","October 16, 2020","204,005,951 - (+18,409)","687 - (0)","4,668 - (0)","2.74% - (0.00%)"
"109","October 16, 2020","203,987,542 - (+19,543)","687 - (0)","4,668 - (0)","2.74% - (0.00%)"
"110","October 16, 2020","203,967,999 - (+8,647)","687 - (+1)","4,668 - (0)","2.74% - (+0.01%)"
"111","October 15, 2020","203,959,352 - (+28,950)","686 - (0)","4,668 - (0)","2.73% - (+0.02%)"
"112","October 15, 2020","203,930,402 - (+4,716)","686 - (0)","4,668 - (0)","2.71% - (+0.01%)"
"113","October 15, 2020","203,925,686 - (+7,213)","686 - (0)","4,668 - (0)","2.70% - (+0.05%)"
"114","October 14, 2020","203,918,473 - (+25,043)","686 - (0)","4,668 - (+1)","2.65% - (-0.04%)"
"115","October 14, 2020","203,893,430 - (+33,840)","686 - (0)","4,667 - (0)","2.69% - (0.00%)"
"116","October 13, 2020","203,859,590 - (+5,911)","686 - (0)","4,667 - (0)","2.69% - (+0.01%)"
"117","October 13, 2020","203,853,679 - (+15,311)","686 - (0)","4,667 - (0)","2.68% - (0.00%)"
"118","October 13, 2020","203,838,368 - (+4,100)","686 - (0)","4,667 - (0)","2.68% - (0.00%)"
"119","October 13, 2020","203,834,268 - (+3,721)","686 - (0)","4,667 - (0)","2.68% - (0.00%)"
"120","October 13, 2020","203,830,547 - (+3,316)","686 - (0)","4,667 - (0)","2.68% - (0.00%)"
"121","October 13, 2020","203,827,231 - (+7,689)","686 - (0)","4,667 - (0)","2.68% - (0.00%)"
"122","October 12, 2020","203,819,542 - (+12,229)","686 - (0)","4,667 - (0)","2.68% - (0.00%)"
"123","October 12, 2020","203,807,313 - (+19,091)","686 - (0)","4,667 - (0)","2.68% - (+0.04%)"
"124","October 12, 2020","203,788,222 - (-16,261)","686 - (-1)","4,667 - (0)","2.64% - (+0.01%)"
"125","October 11, 2020","203,804,483 - (+13,564)","687 - (0)","4,667 - (+1)","2.63% - (-0.01%)"
"126","October 11, 2020","203,790,919 - (+7,073)","687 - (0)","4,666 - (0)","2.64% - (0.00%)"
