
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 6, 2021","80,468,274 - (+15,843)","3,322 - (0)","1,314 - (0)","2.31% - (+0.06%)"
"2","January 6, 2021","80,452,431 - (+39,326)","3,322 - (-2)","1,314 - (+1)","2.25% - (+0.02%)"
"3","January 5, 2021","80,413,105 - (+874,417)","3,324 - (+4)","1,313 - (+8)","2.23% - (-0.24%)"
"4","December 23, 2020","79,538,688 - (+633,546)","3,320 - (-3)","1,305 - (+5)","2.47% - (-0.58%)"
"5","December 16, 2020","78,905,142 - (+460,040)","3,323 - (+12)","1,300 - (+5)","3.05% - (+0.34%)"
"6","December 9, 2020","78,445,102 - (+31,745)","3,311 - (+7)","1,295 - (+2)","2.71% - (+0.07%)"
"7","December 7, 2020","78,413,357 - (+5,552)","3,304 - (-1)","1,293 - (0)","2.64% - (+0.22%)"
"8","December 6, 2020","78,407,805 - (+255,959)","3,305 - (-2)","1,293 - (+12)","2.42% - (+0.20%)"
"9","November 20, 2020","78,151,846 - (-5,603)","3,307 - (0)","1,281 - (+2)","2.22% - (-0.03%)"
"10","November 19, 2020","78,157,449 - (+64,560)","3,307 - (+4)","1,279 - (+1)","2.25% - (+0.12%)"
"11","November 17, 2020","78,092,889 - (+8,479)","3,303 - (-4)","1,278 - (0)","2.13% - (0.00%)"
"12","November 17, 2020","78,084,410 - (-4,845)","3,307 - (0)","1,278 - (0)","2.13% - (0.00%)"
"13","November 16, 2020","78,089,255 - (+7,954)","3,307 - (0)","1,278 - (0)","2.13% - (0.00%)"
"14","November 16, 2020","78,081,301 - (+20,034)","3,307 - (0)","1,278 - (0)","2.13% - (0.00%)"
"15","November 16, 2020","78,061,267 - (+25,734)","3,307 - (-4)","1,278 - (0)","2.13% - (+0.02%)"
"16","November 15, 2020","78,035,533 - (+4,808)","3,311 - (0)","1,278 - (0)","2.11% - (+0.01%)"
"17","November 15, 2020","78,030,725 - (-2,552)","3,311 - (+1)","1,278 - (0)","2.10% - (+0.01%)"
"18","November 15, 2020","78,033,277 - (+12,249)","3,310 - (0)","1,278 - (0)","2.09% - (+0.02%)"
