
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 6, 2021","74,560,327 - (+89,843)","3 - (0)","7,269 - (-7)","0.38% - (-0.08%)"
"2","January 4, 2021","74,470,484 - (+279,644)","3 - (0)","7,276 - (+6)","0.46% - (+0.13%)"
"3","December 31, 2020","74,190,840 - (+88,337)","3 - (0)","7,270 - (+2)","0.33% - (-0.06%)"
"4","December 29, 2020","74,102,503 - (+82,940)","3 - (0)","7,268 - (0)","0.39% - (0.00%)"
"5","December 27, 2020","74,019,563 - (+103,705)","3 - (0)","7,268 - (0)","0.39% - (0.00%)"
"6","December 25, 2020","73,915,858 - (+51,303)","3 - (0)","7,268 - (0)","0.39% - (0.00%)"
"7","December 25, 2020","73,864,555 - (+11,562)","3 - (0)","7,268 - (0)","0.39% - (0.00%)"
"8","December 24, 2020","73,852,993 - (+422,007)","3 - (0)","7,268 - (+1)","0.39% - (-0.05%)"
"9","December 16, 2020","73,430,986 - (+80,996)","3 - (0)","7,267 - (0)","0.44% - (0.00%)"
"10","December 14, 2020","73,349,990 - (+236,780)","3 - (0)","7,267 - (+8)","0.44% - (-0.16%)"
"11","December 1, 2020","73,113,210 - (-19,452)","3 - (0)","7,259 - (0)","0.60% - (+0.01%)"
"12","November 30, 2020","73,132,662 - (+44,512)","3 - (0)","7,259 - (+2)","0.59% - (+0.04%)"
"13","November 25, 2020","73,088,150 - (+13,181)","3 - (0)","7,257 - (+3)","0.55% - (-0.01%)"
"14","November 24, 2020","73,074,969 - (+14,869)","3 - (0)","7,254 - (+2)","0.56% - (+0.02%)"
"15","November 21, 2020","73,060,100 - (+21,088)","3 - (0)","7,252 - (+3)","0.54% - (+0.05%)"
"16","November 20, 2020","73,039,012 - (+17,270)","3 - (0)","7,249 - (+3)","0.49% - (-0.03%)"
"17","November 17, 2020","73,021,742 - (+2,303)","3 - (0)","7,246 - (0)","0.52% - (0.00%)"
"18","November 17, 2020","73,019,439 - (+19,578)","3 - (0)","7,246 - (+1)","0.52% - (-0.01%)"
"19","November 16, 2020","72,999,861 - (+4,639)","3 - (0)","7,245 - (0)","0.53% - (0.00%)"
"20","November 15, 2020","72,995,222 - (+4,754)","3 - (0)","7,245 - (0)","0.53% - (0.00%)"
"21","November 15, 2020","72,990,468 - (+1,876)","3 - (0)","7,245 - (0)","0.53% - (+0.01%)"
"22","November 15, 2020","72,988,592 - (+4,372)","3 - (0)","7,245 - (0)","0.52% - (0.00%)"
"23","November 15, 2020","72,984,220 - (+15,169)","3 - (0)","7,245 - (+1)","0.52% - (-0.02%)"
"24","November 14, 2020","72,969,051 - (+1,264)","3 - (0)","7,244 - (0)","0.54% - (0.00%)"
"25","November 14, 2020","72,967,787 - (+3,752)","3 - (0)","7,244 - (0)","0.54% - (0.00%)"
"26","November 13, 2020","72,964,035 - (-7,350)","3 - (0)","7,244 - (0)","0.54% - (0.00%)"
"27","November 13, 2020","72,971,385 - (+10,097)","3 - (0)","7,244 - (0)","0.54% - (+0.01%)"
"28","November 13, 2020","72,961,288 - (+6,557)","3 - (0)","7,244 - (0)","0.53% - (+0.01%)"
"29","November 13, 2020","72,954,731 - (+20,694)","3 - (0)","7,244 - (+1)","0.52% - (+0.04%)"
"30","November 11, 2020","72,934,037 - (+2,402)","3 - (0)","7,243 - (+1)","0.48% - (-0.05%)"
"31","November 11, 2020","72,931,635 - (-7,110)","3 - (0)","7,242 - (+1)","0.53% - (-0.03%)"
"32","November 11, 2020","72,938,745 - (+3,137)","3 - (0)","7,241 - (0)","0.56% - (+0.02%)"
