
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 16, 2021","96,850,239 - (+943,358)","694 - (+7)","323 - (+17)","0.57% - (+0.08%)"
"2","January 5, 2021","95,906,881 - (+96,938)","687 - (+3)","306 - (+1)","0.49% - (+0.02%)"
"3","January 3, 2021","95,809,943 - (+228,668)","684 - (+2)","305 - (+1)","0.47% - (-0.03%)"
"4","January 1, 2021","95,581,275 - (+397,557)","682 - (0)","304 - (0)","0.50% - (+0.01%)"
"5","December 28, 2020","95,183,718 - (+143,689)","682 - (+2)","304 - (0)","0.49% - (0.00%)"
"6","December 27, 2020","95,040,029 - (+151,954)","680 - (0)","304 - (0)","0.49% - (+0.05%)"
"7","December 25, 2020","94,888,075 - (+1,372,328)","680 - (+12)","304 - (+2)","0.44% - (+0.15%)"
"8","December 11, 2020","93,515,747 - (+51,668)","668 - (+5)","302 - (+3)","0.29% - (-0.15%)"
"9","December 4, 2020","93,464,079 - (+45,392)","663 - (+10)","299 - (+5)","0.44% - (-0.34%)"
"10","November 25, 2020","93,418,687 - (+90,132)","653 - (+5)","294 - (+9)","0.78% - (+0.13%)"
"11","November 18, 2020","93,328,555 - (+6,842)","648 - (+2)","285 - (+1)","0.65% - (+0.12%)"
"12","November 17, 2020","93,321,713 - (+78)","646 - (+1)","284 - (+7)","0.53% - (+0.05%)"
"13","November 16, 2020","93,321,635 - (-744)","645 - (+1)","277 - (+1)","0.48% - (+0.04%)"
"14","November 16, 2020","93,322,379 - (+1,954)","644 - (+1)","276 - (0)","0.44% - (+0.01%)"
"15","November 15, 2020","93,320,425 - (-3,611)","643 - (+1)","276 - (+2)","0.43% - (0.00%)"
"16","November 14, 2020","93,324,036 - (+3,700)","642 - (0)","274 - (0)","0.43% - (0.00%)"
"17","November 14, 2020","93,320,336 - (+1,033)","642 - (0)","274 - (0)","0.43% - (0.00%)"
"18","November 14, 2020","93,319,303 - (-10,611)","642 - (0)","274 - (0)","0.43% - (0.00%)"
"19","November 14, 2020","93,329,914 - (+7,581)","642 - (+5)","274 - (+1)","0.43% - (-0.16%)"
"20","November 13, 2020","93,322,333 - (+1,812)","637 - (0)","273 - (0)","0.59% - (0.00%)"
"21","November 13, 2020","93,320,521 - (-3,936)","637 - (+1)","273 - (0)","0.59% - (0.00%)"
"22","November 12, 2020","93,324,457 - (+7,511)","636 - (0)","273 - (+1)","0.59% - (-0.01%)"
