
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 4, 2021","209,955,977 - (+187,904)","389 - (0)","5,419 - (+2)","0.72% - (+0.20%)"
"2","January 3, 2021","209,768,073 - (+148,539)","389 - (0)","5,417 - (+2)","0.52% - (+0.11%)"
"3","January 3, 2021","209,619,534 - (+930,195)","389 - (0)","5,415 - (+17)","0.41% - (-0.75%)"
"4","December 28, 2020","208,689,339 - (+196,350)","389 - (0)","5,398 - (+2)","1.16% - (+0.34%)"
"5","December 27, 2020","208,492,989 - (+303,122)","389 - (+1)","5,396 - (+5)","0.82% - (+0.41%)"
"6","December 26, 2020","208,189,867 - (+1,191,307)","388 - (0)","5,391 - (+10)","0.41% - (+0.06%)"
"7","December 19, 2020","206,998,560 - (+1,473,405)","388 - (0)","5,381 - (+26)","0.35% - (-0.05%)"
"8","December 8, 2020","205,525,155 - (+203,753)","388 - (+1)","5,355 - (+2)","0.40% - (+0.02%)"
"9","December 6, 2020","205,321,402 - (+777,909)","387 - (+2)","5,353 - (+23)","0.38% - (-0.25%)"
"10","November 26, 2020","204,543,493 - (+330,146)","385 - (0)","5,330 - (+10)","0.63% - (-0.19%)"
"11","November 22, 2020","204,213,347 - (+184,913)","385 - (+2)","5,320 - (+2)","0.82% - (+0.14%)"
"12","November 20, 2020","204,028,434 - (+40,424)","383 - (0)","5,318 - (+3)","0.68% - (+0.15%)"
"13","November 20, 2020","203,988,010 - (+113,373)","383 - (+1)","5,315 - (0)","0.53% - (+0.04%)"
"14","November 19, 2020","203,874,637 - (+57,675)","382 - (0)","5,315 - (+7)","0.49% - (-0.34%)"
"15","November 18, 2020","203,816,962 - (+7,244)","382 - (0)","5,308 - (0)","0.83% - (+0.03%)"
"16","November 18, 2020","203,809,718 - (+54,917)","382 - (0)","5,308 - (+3)","0.80% - (+0.05%)"
"17","November 17, 2020","203,754,801 - (+30,604)","382 - (0)","5,305 - (0)","0.75% - (+0.01%)"
"18","November 17, 2020","203,724,197 - (+41,508)","382 - (0)","5,305 - (0)","0.74% - (+0.02%)"
"19","November 16, 2020","203,682,689 - (+87,551)","382 - (0)","5,305 - (+3)","0.72% - (-0.09%)"
"20","November 16, 2020","203,595,138 - (+2,105)","382 - (0)","5,302 - (0)","0.81% - (+0.04%)"
"21","November 15, 2020","203,593,033 - (+59,035)","382 - (0)","5,302 - (+2)","0.77% - (+0.12%)"
"22","November 15, 2020","203,533,998 - (+28,530)","382 - (0)","5,300 - (+3)","0.65% - (+0.18%)"
"23","November 14, 2020","203,505,468 - (+55,511)","382 - (0)","5,297 - (+1)","0.47% - (+0.08%)"
"24","November 14, 2020","203,449,957 - (+31,728)","382 - (0)","5,296 - (+1)","0.39% - (0.00%)"
"25","November 14, 2020","203,418,229 - (+31,045)","382 - (0)","5,295 - (+1)","0.39% - (0.00%)"
"26","November 13, 2020","203,387,184 - (+31,414)","382 - (0)","5,294 - (0)","0.39% - (+0.02%)"
"27","November 13, 2020","203,355,770 - (+51,795)","382 - (0)","5,294 - (+2)","0.37% - (+0.06%)"
"28","November 12, 2020","203,303,975 - (+14,458)","382 - (0)","5,292 - (0)","0.31% - (+0.05%)"
"29","November 12, 2020","203,289,517 - (+13,113)","382 - (0)","5,292 - (+1)","0.26% - (+0.10%)"
"30","November 11, 2020","203,276,404 - (-13,690)","382 - (0)","5,291 - (+1)","0.16% - (-0.01%)"
