
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","December 30, 2020","59,197,333 - (+16,018)","51 - (0)","222 - (0)","1.59% - (0.00%)"
"2","December 28, 2020","59,181,315 - (+51,834)","51 - (0)","222 - (0)","1.59% - (+0.01%)"
"3","December 19, 2020","59,129,481 - (+29,855)","51 - (0)","222 - (0)","1.58% - (+0.01%)"
"4","December 12, 2020","59,099,626 - (+53,889)","51 - (0)","222 - (0)","1.57% - (0.00%)"
"5","December 7, 2020","59,045,737 - (+58,690)","51 - (0)","222 - (0)","1.57% - (0.00%)"
"6","December 2, 2020","58,987,047 - (+80,862)","51 - (0)","222 - (0)","1.57% - (0.00%)"
"7","November 30, 2020","58,906,185 - (+17,141)","51 - (0)","222 - (0)","1.57% - (+0.01%)"
"8","November 20, 2020","58,889,044 - (+7,091)","51 - (0)","222 - (0)","1.56% - (0.00%)"
"9","November 19, 2020","58,881,953 - (+14,493)","51 - (0)","222 - (0)","1.56% - (0.00%)"
"10","November 18, 2020","58,867,460 - (+8,083)","51 - (0)","222 - (0)","1.56% - (0.00%)"
"11","November 17, 2020","58,859,377 - (+6,813)","51 - (0)","222 - (0)","1.56% - (0.00%)"
"12","November 16, 2020","58,852,564 - (+1,957)","51 - (0)","222 - (0)","1.56% - (0.00%)"
"13","November 16, 2020","58,850,607 - (+4,432)","51 - (0)","222 - (0)","1.56% - (0.00%)"
"14","November 16, 2020","58,846,175 - (+16,585)","51 - (0)","222 - (0)","1.56% - (0.00%)"
"15","November 15, 2020","58,829,590 - (+9,057)","51 - (0)","222 - (0)","1.56% - (0.00%)"
"16","November 15, 2020","58,820,533 - (+3,335)","51 - (0)","222 - (0)","1.56% - (0.00%)"
"17","November 15, 2020","58,817,198 - (+15,307)","51 - (0)","222 - (0)","1.56% - (0.00%)"
"18","November 14, 2020","58,801,891 - (+2,459)","51 - (0)","222 - (0)","1.56% - (0.00%)"
