
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 5, 2021","62,363,257 - (+68,900)","1,191 - (+1)","3,129 - (0)","8.08% - (+0.01%)"
"2","January 2, 2021","62,294,357 - (+3,388)","1,190 - (0)","3,129 - (0)","8.07% - (0.00%)"
"3","January 2, 2021","62,290,969 - (+95,135)","1,190 - (+1)","3,129 - (0)","8.07% - (+0.02%)"
"4","December 29, 2020","62,195,834 - (+17,128)","1,189 - (-2)","3,129 - (0)","8.05% - (0.00%)"
"5","December 29, 2020","62,178,706 - (+36,890)","1,191 - (0)","3,129 - (0)","8.05% - (+0.01%)"
"6","December 28, 2020","62,141,816 - (+205,443)","1,191 - (+1)","3,129 - (0)","8.04% - (+0.05%)"
"7","December 23, 2020","61,936,373 - (+428,569)","1,190 - (+5)","3,129 - (+2)","7.99% - (+0.51%)"
"8","December 11, 2020","61,507,804 - (+44,071)","1,185 - (0)","3,127 - (0)","7.48% - (+0.01%)"
"9","December 10, 2020","61,463,733 - (+107,920)","1,185 - (+2)","3,127 - (0)","7.47% - (+0.04%)"
"10","December 5, 2020","61,355,813 - (+555,787)","1,183 - (+3)","3,127 - (+3)","7.43% - (+0.36%)"
"11","November 20, 2020","60,800,026 - (+21,244)","1,180 - (0)","3,124 - (0)","7.07% - (+0.03%)"
"12","November 19, 2020","60,778,782 - (+134)","1,180 - (0)","3,124 - (0)","7.04% - (+0.06%)"
"13","November 19, 2020","60,778,648 - (-1,392)","1,180 - (0)","3,124 - (0)","6.98% - (+0.22%)"
"14","November 18, 2020","60,780,040 - (-1,546)","1,180 - (-1)","3,124 - (+3)","6.76% - (-0.69%)"
"15","November 18, 2020","60,781,586 - (+29,133)","1,181 - (0)","3,121 - (0)","7.45% - (0.00%)"
"16","November 17, 2020","60,752,453 - (+21,454)","1,181 - (0)","3,121 - (0)","7.45% - (0.00%)"
"17","November 16, 2020","60,730,999 - (+5,285)","1,181 - (0)","3,121 - (0)","7.45% - (0.00%)"
"18","November 16, 2020","60,725,714 - (+4,504)","1,181 - (0)","3,121 - (0)","7.45% - (+0.01%)"
"19","November 15, 2020","60,721,210 - (+11,592)","1,181 - (0)","3,121 - (0)","7.44% - (0.00%)"
"20","November 15, 2020","60,709,618 - (+8,405)","1,181 - (0)","3,121 - (0)","7.44% - (0.00%)"
"21","November 15, 2020","60,701,213 - (+911)","1,181 - (0)","3,121 - (0)","7.44% - (0.00%)"
"22","November 14, 2020","60,700,302 - (+17,165)","1,181 - (0)","3,121 - (0)","7.44% - (0.00%)"
"23","November 14, 2020","60,683,137 - (+4,162)","1,181 - (-1)","3,121 - (0)","7.44% - (+0.01%)"
"24","November 13, 2020","60,678,975 - (+2,954)","1,182 - (0)","3,121 - (0)","7.43% - (0.00%)"
"25","November 13, 2020","60,676,021 - (+7,259)","1,182 - (0)","3,121 - (0)","7.43% - (0.00%)"
"26","November 13, 2020","60,668,762 - (+6,093)","1,182 - (0)","3,121 - (0)","7.43% - (0.00%)"
