
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 3, 2021","136,985,665 - (+275,417)","1,191 - (+6)","3,000 - (+2)","0.86% - (+0.12%)"
"2","January 1, 2021","136,710,248 - (+111,622)","1,185 - (-2)","2,998 - (+4)","0.74% - (-0.33%)"
"3","December 31, 2020","136,598,626 - (+129,319)","1,187 - (+1)","2,994 - (+1)","1.07% - (+0.04%)"
"4","December 30, 2020","136,469,307 - (+281,572)","1,186 - (-1)","2,993 - (+1)","1.03% - (-0.04%)"
"5","December 28, 2020","136,187,735 - (+759,492)","1,187 - (+3)","2,992 - (+4)","1.07% - (-0.02%)"
"6","December 22, 2020","135,428,243 - (+1,409,210)","1,184 - (+9)","2,988 - (+10)","1.09% - (-0.13%)"
"7","December 4, 2020","134,019,033 - (+308,441)","1,175 - (+9)","2,978 - (+9)","1.22% - (+0.51%)"
"8","November 23, 2020","133,710,592 - (+6,523)","1,166 - (0)","2,969 - (+1)","0.71% - (-0.14%)"
"9","November 22, 2020","133,704,069 - (+72,323)","1,166 - (0)","2,968 - (0)","0.85% - (+0.01%)"
"10","November 20, 2020","133,631,746 - (+41,527)","1,166 - (-4)","2,968 - (0)","0.84% - (+0.08%)"
"11","November 18, 2020","133,590,219 - (-6,758)","1,170 - (0)","2,968 - (+3)","0.76% - (-0.11%)"
"12","November 17, 2020","133,596,977 - (+6,722)","1,170 - (0)","2,965 - (+1)","0.87% - (-0.06%)"
"13","November 17, 2020","133,590,255 - (+12,289)","1,170 - (0)","2,964 - (0)","0.93% - (+0.01%)"
"14","November 17, 2020","133,577,966 - (-6,131)","1,170 - (0)","2,964 - (0)","0.92% - (+0.02%)"
"15","November 17, 2020","133,584,097 - (+23,121)","1,170 - (0)","2,964 - (+1)","0.90% - (-0.05%)"
"16","November 16, 2020","133,560,976 - (+1,609)","1,170 - (0)","2,963 - (0)","0.95% - (+0.02%)"
"17","November 16, 2020","133,559,367 - (+1,177)","1,170 - (0)","2,963 - (+1)","0.93% - (+0.06%)"
"18","November 16, 2020","133,558,190 - (+2,641)","1,170 - (0)","2,962 - (+1)","0.87% - (0.00%)"
"19","November 15, 2020","133,555,549 - (+13,370)","1,170 - (+1)","2,961 - (+1)","0.87% - (-0.03%)"
"20","November 15, 2020","133,542,179 - (+11,323)","1,169 - (0)","2,960 - (0)","0.90% - (0.00%)"
"21","November 14, 2020","133,530,856 - (+2,656)","1,169 - (0)","2,960 - (0)","0.90% - (0.00%)"
"22","November 14, 2020","133,528,200 - (+9,561)","1,169 - (-1)","2,960 - (0)","0.90% - (0.00%)"
