
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 4, 2021","59,597,994 - (-4,452)","886 - (+1)","751 - (0)","0.55% - (0.00%)"
"2","December 31, 2020","59,602,446 - (-6,718)","885 - (0)","751 - (0)","0.55% - (0.00%)"
"3","December 29, 2020","59,609,164 - (+1,342)","885 - (+1)","751 - (0)","0.55% - (0.00%)"
"4","December 26, 2020","59,607,822 - (+1,715)","884 - (0)","751 - (0)","0.55% - (0.00%)"
"5","December 23, 2020","59,606,107 - (+506)","884 - (0)","751 - (0)","0.55% - (0.00%)"
"6","December 22, 2020","59,605,601 - (-801)","884 - (+1)","751 - (0)","0.55% - (0.00%)"
"7","December 21, 2020","59,606,402 - (-3,276)","883 - (0)","751 - (0)","0.55% - (+0.01%)"
"8","December 19, 2020","59,609,678 - (+35,313)","883 - (+2)","751 - (+1)","0.54% - (+0.09%)"
"9","December 6, 2020","59,574,365 - (+9,785)","881 - (+2)","750 - (+2)","0.45% - (-0.07%)"
"10","December 4, 2020","59,564,580 - (+10,118)","879 - (0)","748 - (0)","0.52% - (0.00%)"
"11","December 3, 2020","59,554,462 - (+57,387)","879 - (+6)","748 - (0)","0.52% - (0.00%)"
"12","November 20, 2020","59,497,075 - (+2,005)","873 - (0)","748 - (0)","0.52% - (0.00%)"
"13","November 18, 2020","59,495,070 - (+9,560)","873 - (-1)","748 - (0)","0.52% - (0.00%)"
"14","November 17, 2020","59,485,510 - (+4,158)","874 - (0)","748 - (0)","0.52% - (0.00%)"
"15","November 16, 2020","59,481,352 - (+3,877)","874 - (0)","748 - (0)","0.52% - (0.00%)"
"16","November 16, 2020","59,477,475 - (+3,683)","874 - (0)","748 - (0)","0.52% - (0.00%)"
"17","November 15, 2020","59,473,792 - (+1,354)","874 - (0)","748 - (0)","0.52% - (0.00%)"
"18","November 15, 2020","59,472,438 - (+5,205)","874 - (0)","748 - (0)","0.52% - (0.00%)"
"19","November 14, 2020","59,467,233 - (-261)","874 - (0)","748 - (0)","0.52% - (+0.01%)"
"20","November 14, 2020","59,467,494 - (+4,630)","874 - (+1)","748 - (0)","0.51% - (+0.01%)"
"21","November 13, 2020","59,462,864 - (-2,993)","873 - (0)","748 - (+1)","0.50% - (-0.02%)"
"22","November 12, 2020","59,465,857 - (+1,892)","873 - (+1)","747 - (0)","0.52% - (0.00%)"
"23","November 12, 2020","59,463,965 - (+1,504)","872 - (0)","747 - (0)","0.52% - (0.00%)"
"24","November 12, 2020","59,462,461 - (-2,600)","872 - (0)","747 - (0)","0.52% - (0.00%)"
"25","November 11, 2020","59,465,061 - (+1,955)","872 - (0)","747 - (0)","0.52% - (0.00%)"
"26","November 11, 2020","59,463,106 - (+719)","872 - (0)","747 - (0)","0.52% - (0.00%)"
"27","November 11, 2020","59,462,387 - (+2,469)","872 - (0)","747 - (0)","0.52% - (0.00%)"
"28","November 10, 2020","59,459,918 - (+5,073)","872 - (0)","747 - (0)","0.52% - (0.00%)"
"29","November 10, 2020","59,454,845 - (-4,145)","872 - (0)","747 - (0)","0.52% - (0.00%)"
"30","November 10, 2020","59,458,990 - (+4,741)","872 - (-1)","747 - (0)","0.52% - (0.00%)"
"31","November 9, 2020","59,454,249 - (-2,698)","873 - (0)","747 - (0)","0.52% - (0.00%)"
"32","November 8, 2020","59,456,947 - (-3,677)","873 - (0)","747 - (0)","0.52% - (0.00%)"
"33","November 8, 2020","59,460,624 - (-28,889)","873 - (+2)","747 - (+1)","0.52% - (+0.03%)"
"34","November 7, 2020","59,489,513 - (+1,585)","871 - (0)","746 - (0)","0.49% - (0.00%)"
"35","November 7, 2020","59,487,928 - (+2,319)","871 - (0)","746 - (0)","0.49% - (0.00%)"
"36","November 7, 2020","59,485,609 - (+2,993)","871 - (0)","746 - (0)","0.49% - (0.00%)"
"37","November 6, 2020","59,482,616 - (+890)","871 - (0)","746 - (0)","0.49% - (0.00%)"
"38","November 6, 2020","59,481,726 - (+1,368)","871 - (0)","746 - (0)","0.49% - (0.00%)"
"39","November 6, 2020","59,480,358 - (+1,478)","871 - (0)","746 - (0)","0.49% - (0.00%)"
"40","November 6, 2020","59,478,880 - (-3,377)","871 - (0)","746 - (0)","0.49% - (0.00%)"
"41","November 6, 2020","59,482,257 - (+1,700)","871 - (-1)","746 - (0)","0.49% - (0.00%)"
"42","November 5, 2020","59,480,557 - (+4,672)","872 - (0)","746 - (0)","0.49% - (0.00%)"
"43","November 5, 2020","59,475,885 - (-326)","872 - (0)","746 - (0)","0.49% - (0.00%)"
"44","November 4, 2020","59,476,211 - (-2,060)","872 - (0)","746 - (0)","0.49% - (+0.01%)"
"45","November 4, 2020","59,478,271 - (+4,141)","872 - (0)","746 - (0)","0.48% - (0.00%)"
"46","November 4, 2020","59,474,130 - (-3,611)","872 - (0)","746 - (0)","0.48% - (0.00%)"
"47","November 4, 2020","59,477,741 - (+463)","872 - (0)","746 - (0)","0.48% - (0.00%)"
"48","November 3, 2020","59,477,278 - (-2,168)","872 - (0)","746 - (0)","0.48% - (0.00%)"
"49","November 3, 2020","59,479,446 - (+5,438)","872 - (0)","746 - (0)","0.48% - (0.00%)"
"50","November 3, 2020","59,474,008 - (+914)","872 - (0)","746 - (0)","0.48% - (0.00%)"
"51","November 3, 2020","59,473,094 - (+8)","872 - (-1)","746 - (+1)","0.48% - (-0.08%)"
"52","November 2, 2020","59,473,086 - (-1,702)","873 - (0)","745 - (0)","0.56% - (0.00%)"
"53","November 2, 2020","59,474,788 - (+2,371)","873 - (0)","745 - (0)","0.56% - (0.00%)"
"54","November 1, 2020","59,472,417 - (-2,631)","873 - (0)","745 - (0)","0.56% - (0.00%)"
"55","November 1, 2020","59,475,048 - (+4,876)","873 - (0)","745 - (0)","0.56% - (0.00%)"
"56","November 1, 2020","59,470,172 - (-1,695)","873 - (0)","745 - (0)","0.56% - (+0.01%)"
"57","October 31, 2020","59,471,867 - (-3,044)","873 - (0)","745 - (0)","0.55% - (0.00%)"
"58","October 31, 2020","59,474,911 - (+1,643)","873 - (0)","745 - (0)","0.55% - (0.00%)"
"59","October 31, 2020","59,473,268 - (+5,343)","873 - (0)","745 - (0)","0.55% - (0.00%)"
"60","October 31, 2020","59,467,925 - (-3,298)","873 - (0)","745 - (0)","0.55% - (0.00%)"
"61","October 30, 2020","59,471,223 - (+1,660)","873 - (0)","745 - (0)","0.55% - (0.00%)"
"62","October 30, 2020","59,469,563 - (+5,357)","873 - (0)","745 - (0)","0.55% - (0.00%)"
"63","October 30, 2020","59,464,206 - (-3,911)","873 - (0)","745 - (0)","0.55% - (0.00%)"
"64","October 29, 2020","59,468,117 - (+6,001)","873 - (0)","745 - (0)","0.55% - (0.00%)"
"65","October 29, 2020","59,462,116 - (+1,249)","873 - (0)","745 - (0)","0.55% - (0.00%)"
"66","October 28, 2020","59,460,867 - (-2,912)","873 - (0)","745 - (0)","0.55% - (0.00%)"
"67","October 28, 2020","59,463,779 - (+2,144)","873 - (0)","745 - (0)","0.55% - (0.00%)"
"68","October 28, 2020","59,461,635 - (+1,751)","873 - (0)","745 - (0)","0.55% - (0.00%)"
"69","October 28, 2020","59,459,884 - (-1,869)","873 - (0)","745 - (0)","0.55% - (0.00%)"
"70","October 28, 2020","59,461,753 - (+2,502)","873 - (+1)","745 - (0)","0.55% - (0.00%)"
"71","October 27, 2020","59,459,251 - (+3,310)","872 - (0)","745 - (0)","0.55% - (0.00%)"
"72","October 27, 2020","59,455,941 - (-2,533)","872 - (0)","745 - (0)","0.55% - (0.00%)"
"73","October 27, 2020","59,458,474 - (+4,514)","872 - (0)","745 - (0)","0.55% - (0.00%)"
"74","October 26, 2020","59,453,960 - (-3,197)","872 - (0)","745 - (0)","0.55% - (0.00%)"
"75","October 26, 2020","59,457,157 - (+2,710)","872 - (0)","745 - (0)","0.55% - (0.00%)"
"76","October 26, 2020","59,454,447 - (+1,416)","872 - (0)","745 - (0)","0.55% - (0.00%)"
"77","October 26, 2020","59,453,031 - (+508)","872 - (0)","745 - (0)","0.55% - (0.00%)"
"78","October 26, 2020","59,452,523 - (+2,435)","872 - (+2)","745 - (0)","0.55% - (0.00%)"
"79","October 25, 2020","59,450,088 - (+530)","870 - (0)","745 - (0)","0.55% - (0.00%)"
"80","October 25, 2020","59,449,558 - (+1,446)","870 - (0)","745 - (0)","0.55% - (0.00%)"
"81","October 24, 2020","59,448,112 - (+1,509)","870 - (0)","745 - (0)","0.55% - (0.00%)"
"82","October 24, 2020","59,446,603 - (-2,018)","870 - (0)","745 - (0)","0.55% - (0.00%)"
"83","October 23, 2020","59,448,621 - (+2,076)","870 - (0)","745 - (0)","0.55% - (0.00%)"
"84","October 23, 2020","59,446,545 - (+2,118)","870 - (0)","745 - (0)","0.55% - (+0.01%)"
"85","October 23, 2020","59,444,427 - (-7,992)","870 - (0)","745 - (0)","0.54% - (+0.04%)"
"86","October 22, 2020","59,452,419 - (-10,313)","870 - (0)","745 - (+1)","0.50% - (+0.07%)"
"87","October 22, 2020","59,462,732 - (+2,274)","870 - (0)","744 - (0)","0.43% - (0.00%)"
"88","October 22, 2020","59,460,458 - (+1,429)","870 - (+1)","744 - (0)","0.43% - (0.00%)"
"89","October 22, 2020","59,459,029 - (+218)","869 - (0)","744 - (0)","0.43% - (0.00%)"
"90","October 22, 2020","59,458,811 - (+698)","869 - (0)","744 - (0)","0.43% - (0.00%)"
"91","October 21, 2020","59,458,113 - (-2,147)","869 - (0)","744 - (0)","0.43% - (0.00%)"
"92","October 21, 2020","59,460,260 - (+1,602)","869 - (0)","744 - (0)","0.43% - (0.00%)"
"93","October 21, 2020","59,458,658 - (+2,402)","869 - (0)","744 - (0)","0.43% - (0.00%)"
"94","October 21, 2020","59,456,256 - (+298)","869 - (0)","744 - (0)","0.43% - (0.00%)"
"95","October 21, 2020","59,455,958 - (+529)","869 - (0)","744 - (0)","0.43% - (0.00%)"
"96","October 21, 2020","59,455,429 - (+1,251)","869 - (0)","744 - (0)","0.43% - (0.00%)"
"97","October 20, 2020","59,454,178 - (+1,434)","869 - (+1)","744 - (0)","0.43% - (+0.01%)"
"98","October 20, 2020","59,452,744 - (+338)","868 - (0)","744 - (0)","0.42% - (0.00%)"
"99","October 20, 2020","59,452,406 - (-2,279)","868 - (+1)","744 - (0)","0.42% - (0.00%)"
"100","October 19, 2020","59,454,685 - (+718)","867 - (0)","744 - (0)","0.42% - (0.00%)"
"101","October 19, 2020","59,453,967 - (+4,753)","867 - (0)","744 - (0)","0.42% - (0.00%)"
"102","October 19, 2020","59,449,214 - (-3,334)","867 - (0)","744 - (0)","0.42% - (0.00%)"
"103","October 18, 2020","59,452,548 - (+5,891)","867 - (0)","744 - (0)","0.42% - (0.00%)"
"104","October 17, 2020","59,446,657 - (-1,218)","867 - (0)","744 - (0)","0.42% - (0.00%)"
"105","October 17, 2020","59,447,875 - (+2,659)","867 - (0)","744 - (0)","0.42% - (0.00%)"
"106","October 17, 2020","59,445,216 - (+1,869)","867 - (+1)","744 - (0)","0.42% - (0.00%)"
"107","October 16, 2020","59,443,347 - (-5,107)","866 - (0)","744 - (0)","0.42% - (0.00%)"
"108","October 16, 2020","59,448,454 - (-4,843)","866 - (0)","744 - (0)","0.42% - (0.00%)"
"109","October 16, 2020","59,453,297 - (+234)","866 - (0)","744 - (0)","0.42% - (0.00%)"
"110","October 16, 2020","59,453,063 - (+1,712)","866 - (0)","744 - (0)","0.42% - (0.00%)"
"111","October 15, 2020","59,451,351 - (+3,491)","866 - (0)","744 - (0)","0.42% - (0.00%)"
"112","October 15, 2020","59,447,860 - (+386)","866 - (0)","744 - (0)","0.42% - (0.00%)"
"113","October 15, 2020","59,447,474 - (+378)","866 - (0)","744 - (0)","0.42% - (0.00%)"
"114","October 15, 2020","59,447,096 - (-763)","866 - (0)","744 - (0)","0.42% - (0.00%)"
"115","October 14, 2020","59,447,859 - (+2,381)","866 - (0)","744 - (0)","0.42% - (0.00%)"
"116","October 14, 2020","59,445,478 - (+621)","866 - (+1)","744 - (0)","0.42% - (0.00%)"
"117","October 14, 2020","59,444,857 - (+542)","865 - (0)","744 - (0)","0.42% - (0.00%)"
"118","October 14, 2020","59,444,315 - (+472)","865 - (0)","744 - (0)","0.42% - (0.00%)"
"119","October 14, 2020","59,443,843 - (+963)","865 - (0)","744 - (0)","0.42% - (0.00%)"
"120","October 13, 2020","59,442,880 - (-2,138)","865 - (0)","744 - (0)","0.42% - (0.00%)"
"121","October 13, 2020","59,445,018 - (+1,872)","865 - (0)","744 - (0)","0.42% - (0.00%)"
"122","October 13, 2020","59,443,146 - (+2,146)","865 - (0)","744 - (0)","0.42% - (0.00%)"
"123","October 13, 2020","59,441,000 - (-1,421)","865 - (+1)","744 - (0)","0.42% - (0.00%)"
"124","October 12, 2020","59,442,421 - (+1,768)","864 - (0)","744 - (0)","0.42% - (0.00%)"
"125","October 12, 2020","59,440,653 - (+1,283)","864 - (0)","744 - (0)","0.42% - (0.00%)"
"126","October 11, 2020","59,439,370 - (+880)","864 - (0)","744 - (0)","0.42% - (0.00%)"
"127","October 11, 2020","59,438,490 - (+1,344)","864 - (0)","744 - (0)","0.42% - (0.00%)"
"128","October 11, 2020","59,437,146 - (+680)","864 - (0)","744 - (0)","0.42% - (0.00%)"
"129","October 11, 2020","59,436,466 - (-1,126)","864 - (+1)","744 - (0)","0.42% - (0.00%)"
"130","October 10, 2020","59,437,592 - (+3,188)","863 - (0)","744 - (0)","0.42% - (0.00%)"
"131","October 10, 2020","59,434,404 - (+236)","863 - (0)","744 - (0)","0.42% - (0.00%)"
"132","October 9, 2020","59,434,168 - (+1,728)","863 - (0)","744 - (0)","0.42% - (0.00%)"
"133","October 9, 2020","59,432,440 - (+511)","863 - (0)","744 - (0)","0.42% - (0.00%)"
"134","October 9, 2020","59,431,929 - (+479)","863 - (0)","744 - (0)","0.42% - (0.00%)"
"135","October 9, 2020","59,431,450 - (+2,465)","863 - (0)","744 - (0)","0.42% - (0.00%)"
"136","October 8, 2020","59,428,985 - (+56)","863 - (0)","744 - (0)","0.42% - (0.00%)"
"137","October 8, 2020","59,428,929 - (+2,352)","863 - (0)","744 - (0)","0.42% - (0.00%)"
"138","October 7, 2020","59,426,577 - (-4,539)","863 - (0)","744 - (0)","0.42% - (0.00%)"
"139","October 7, 2020","59,431,116 - (+1,910)","863 - (0)","744 - (0)","0.42% - (0.00%)"
