
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","December 22, 2020","124,685,303 - (+412,235)","139 - (0)","3,868 - (0)","0.76% - (-0.01%)"
"2","December 19, 2020","124,273,068 - (+146,697)","139 - (0)","3,868 - (+1)","0.77% - (+0.01%)"
"3","December 18, 2020","124,126,371 - (+97,363)","139 - (0)","3,867 - (+1)","0.76% - (+0.01%)"
"4","December 17, 2020","124,029,008 - (+144,475)","139 - (0)","3,866 - (+3)","0.75% - (-0.09%)"
"5","December 16, 2020","123,884,533 - (+427,446)","139 - (+2)","3,863 - (+6)","0.84% - (-0.15%)"
"6","December 11, 2020","123,457,087 - (+80,531)","137 - (0)","3,857 - (+6)","0.99% - (-0.06%)"
"7","December 6, 2020","123,376,556 - (+88,071)","137 - (0)","3,851 - (+3)","1.05% - (+0.23%)"
"8","December 3, 2020","123,288,485 - (+154,792)","137 - (0)","3,848 - (+5)","0.82% - (-0.49%)"
"9","November 23, 2020","123,133,693 - (+54,839)","137 - (0)","3,843 - (0)","1.31% - (+0.01%)"
"10","November 19, 2020","123,078,854 - (-10,112)","137 - (0)","3,843 - (0)","1.30% - (+0.03%)"
"11","November 19, 2020","123,088,966 - (+11,349)","137 - (0)","3,843 - (+1)","1.27% - (-0.04%)"
"12","November 18, 2020","123,077,617 - (+12,145)","137 - (0)","3,842 - (+3)","1.31% - (-0.13%)"
"13","November 17, 2020","123,065,472 - (+4,185)","137 - (0)","3,839 - (0)","1.44% - (0.00%)"
"14","November 17, 2020","123,061,287 - (+8,927)","137 - (0)","3,839 - (0)","1.44% - (+0.01%)"
"15","November 17, 2020","123,052,360 - (+5,254)","137 - (0)","3,839 - (0)","1.43% - (0.00%)"
"16","November 17, 2020","123,047,106 - (+2,548)","137 - (0)","3,839 - (+1)","1.43% - (-0.21%)"
"17","November 16, 2020","123,044,558 - (+7,754)","137 - (0)","3,838 - (0)","1.64% - (0.00%)"
"18","November 16, 2020","123,036,804 - (+5,295)","137 - (0)","3,838 - (0)","1.64% - (0.00%)"
"19","November 16, 2020","123,031,509 - (+2,115)","137 - (0)","3,838 - (0)","1.64% - (0.00%)"
"20","November 16, 2020","123,029,394 - (+3,539)","137 - (0)","3,838 - (0)","1.64% - (0.00%)"
"21","November 16, 2020","123,025,855 - (+3,369)","137 - (0)","3,838 - (0)","1.64% - (0.00%)"
"22","November 16, 2020","123,022,486 - (-3,124)","137 - (0)","3,838 - (0)","1.64% - (0.00%)"
"23","November 15, 2020","123,025,610 - (+13,142)","137 - (0)","3,838 - (0)","1.64% - (+0.01%)"
"24","November 15, 2020","123,012,468 - (+8,408)","137 - (0)","3,838 - (0)","1.63% - (0.00%)"
"25","November 15, 2020","123,004,060 - (+5,063)","137 - (0)","3,838 - (0)","1.63% - (+0.02%)"
"26","November 14, 2020","122,998,997 - (+5,406)","137 - (0)","3,838 - (0)","1.61% - (-0.02%)"
"27","November 14, 2020","122,993,591 - (-4,063)","137 - (+1)","3,838 - (0)","1.63% - (+0.01%)"
"28","November 13, 2020","122,997,654 - (+10,223)","136 - (0)","3,838 - (0)","1.62% - (0.00%)"
"29","November 13, 2020","122,987,431 - (+7,912)","136 - (0)","3,838 - (0)","1.62% - (0.00%)"
"30","November 13, 2020","122,979,519 - (+2,994)","136 - (0)","3,838 - (0)","1.62% - (0.00%)"
"31","November 13, 2020","122,976,525 - (-5,108)","136 - (-2)","3,838 - (+1)","1.62% - (-0.06%)"
"32","November 12, 2020","122,981,633 - (+16,649)","138 - (0)","3,837 - (0)","1.68% - (+0.01%)"
"33","November 12, 2020","122,964,984 - (-4,749)","138 - (0)","3,837 - (0)","1.67% - (0.00%)"
"34","November 12, 2020","122,969,733 - (+5,200)","138 - (0)","3,837 - (0)","1.67% - (+0.01%)"
"35","November 11, 2020","122,964,533 - (+28,028)","138 - (0)","3,837 - (+1)","1.66% - (+0.04%)"
"36","November 11, 2020","122,936,505 - (-1,646)","138 - (0)","3,836 - (0)","1.62% - (+0.01%)"
"37","November 10, 2020","122,938,151 - (+22,142)","138 - (0)","3,836 - (0)","1.61% - (0.00%)"
"38","November 9, 2020","122,916,009 - (+22,560)","138 - (0)","3,836 - (0)","1.61% - (0.00%)"
"39","November 9, 2020","122,893,449 - (+11,280)","138 - (0)","3,836 - (0)","1.61% - (0.00%)"
"40","November 9, 2020","122,882,169 - (+10,584)","138 - (0)","3,836 - (0)","1.61% - (0.00%)"
"41","November 8, 2020","122,871,585 - (+17,551)","138 - (0)","3,836 - (0)","1.61% - (+0.01%)"
"42","November 7, 2020","122,854,034 - (+14,053)","138 - (0)","3,836 - (0)","1.60% - (0.00%)"
"43","November 7, 2020","122,839,981 - (+1,661)","138 - (0)","3,836 - (0)","1.60% - (0.00%)"
"44","November 6, 2020","122,838,320 - (+8,269)","138 - (0)","3,836 - (0)","1.60% - (+0.01%)"
"45","November 6, 2020","122,830,051 - (+11,900)","138 - (0)","3,836 - (0)","1.59% - (+0.01%)"
"46","November 6, 2020","122,818,151 - (+5,167)","138 - (0)","3,836 - (0)","1.58% - (0.00%)"
"47","November 6, 2020","122,812,984 - (+12,422)","138 - (0)","3,836 - (0)","1.58% - (+0.04%)"
"48","November 5, 2020","122,800,562 - (+7,174)","138 - (0)","3,836 - (+1)","1.54% - (-0.04%)"
"49","November 5, 2020","122,793,388 - (-8,252)","138 - (0)","3,835 - (0)","1.58% - (0.00%)"
"50","November 5, 2020","122,801,640 - (+11,190)","138 - (0)","3,835 - (0)","1.58% - (+0.01%)"
"51","November 5, 2020","122,790,450 - (+3,178)","138 - (0)","3,835 - (0)","1.57% - (0.00%)"
"52","November 4, 2020","122,787,272 - (+3,632)","138 - (0)","3,835 - (0)","1.57% - (+0.01%)"
"53","November 4, 2020","122,783,640 - (+42,761)","138 - (-1)","3,835 - (+1)","1.56% - (+0.24%)"
"54","November 3, 2020","122,740,879 - (-80)","139 - (0)","3,834 - (+1)","1.32% - (+0.08%)"
"55","November 2, 2020","122,740,959 - (+9,354)","139 - (0)","3,833 - (0)","1.24% - (+0.01%)"
