
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 7, 2021","198,378,853 - (+1,273,600)","118 - (+2)","5,373 - (+3)","1.45% - (+0.02%)"
"2","January 1, 2021","197,105,253 - (+1,036,223)","116 - (-1)","5,370 - (+2)","1.43% - (+0.08%)"
"3","December 26, 2020","196,069,030 - (+120,411)","117 - (0)","5,368 - (+3)","1.35% - (+0.05%)"
"4","December 26, 2020","195,948,619 - (+188,702)","117 - (0)","5,365 - (0)","1.30% - (+0.02%)"
"5","December 25, 2020","195,759,917 - (+965,349)","117 - (+2)","5,365 - (+2)","1.28% - (+0.20%)"
"6","December 20, 2020","194,794,568 - (+756,700)","115 - (+3)","5,363 - (+2)","1.08% - (-0.13%)"
"7","December 17, 2020","194,037,868 - (+699,611)","112 - (+1)","5,361 - (+15)","1.21% - (-0.20%)"
"8","December 13, 2020","193,338,257 - (+83,207)","111 - (0)","5,346 - (0)","1.41% - (0.00%)"
"9","December 13, 2020","193,255,050 - (+181,533)","111 - (0)","5,346 - (0)","1.41% - (+0.04%)"
"10","December 11, 2020","193,073,517 - (+120,218)","111 - (0)","5,346 - (+1)","1.37% - (+0.01%)"
"11","December 10, 2020","192,953,299 - (+766,659)","111 - (+1)","5,345 - (+12)","1.36% - (+0.19%)"
"12","November 26, 2020","192,186,640 - (+43,117)","110 - (0)","5,333 - (+2)","1.17% - (-0.10%)"
"13","November 25, 2020","192,143,523 - (+73,837)","110 - (0)","5,331 - (+2)","1.27% - (+0.13%)"
"14","November 22, 2020","192,069,686 - (+172,431)","110 - (+9)","5,329 - (+4)","1.14% - (-0.20%)"
"15","November 18, 2020","191,897,255 - (+49,965)","101 - (0)","5,325 - (+2)","1.34% - (-0.19%)"
"16","November 17, 2020","191,847,290 - (+61,198)","101 - (+1)","5,323 - (+2)","1.53% - (-0.08%)"
"17","November 16, 2020","191,786,092 - (+7,750)","100 - (0)","5,321 - (0)","1.61% - (0.00%)"
"18","November 16, 2020","191,778,342 - (+15,923)","100 - (0)","5,321 - (0)","1.61% - (+0.01%)"
"19","November 16, 2020","191,762,419 - (+8,757)","100 - (0)","5,321 - (0)","1.60% - (+0.01%)"
"20","November 16, 2020","191,753,662 - (+13,920)","100 - (+1)","5,321 - (+1)","1.59% - (-0.08%)"
"21","November 15, 2020","191,739,742 - (+42,987)","99 - (+1)","5,320 - (0)","1.67% - (+0.02%)"
"22","November 15, 2020","191,696,755 - (+668)","98 - (0)","5,320 - (0)","1.65% - (+0.01%)"
"23","November 14, 2020","191,696,087 - (+23,365)","98 - (0)","5,320 - (0)","1.64% - (+0.01%)"
"24","November 14, 2020","191,672,722 - (+20,817)","98 - (0)","5,320 - (0)","1.63% - (+0.04%)"
"25","November 14, 2020","191,651,905 - (+7,114)","98 - (0)","5,320 - (0)","1.59% - (0.00%)"
"26","November 14, 2020","191,644,791 - (-38,320)","98 - (0)","5,320 - (0)","1.59% - (0.00%)"
"27","November 14, 2020","191,683,111 - (+14,437)","98 - (0)","5,320 - (0)","1.59% - (+0.01%)"
"28","November 13, 2020","191,668,674 - (+18,214)","98 - (0)","5,320 - (0)","1.58% - (-0.03%)"
"29","November 13, 2020","191,650,460 - (+22,815)","98 - (0)","5,320 - (0)","1.61% - (+0.01%)"
"30","November 13, 2020","191,627,645 - (+23,283)","98 - (+1)","5,320 - (+1)","1.60% - (-0.07%)"
"31","November 12, 2020","191,604,362 - (+4,834)","97 - (0)","5,319 - (0)","1.67% - (+0.02%)"
"32","November 12, 2020","191,599,528 - (+23,812)","97 - (0)","5,319 - (0)","1.65% - (+0.02%)"
"33","November 12, 2020","191,575,716 - (+3,203)","97 - (0)","5,319 - (0)","1.63% - (+0.01%)"
"34","November 12, 2020","191,572,513 - (-3,050)","97 - (0)","5,319 - (+1)","1.62% - (-0.05%)"
"35","November 11, 2020","191,575,563 - (+40,326)","97 - (+1)","5,318 - (0)","1.67% - (+0.13%)"
"36","November 11, 2020","191,535,237 - (+28,099)","96 - (+2)","5,318 - (+1)","1.54% - (-0.02%)"
"37","November 10, 2020","191,507,138 - (+21,647)","94 - (0)","5,317 - (+1)","1.56% - (-0.06%)"
"38","November 10, 2020","191,485,491 - (-15,073)","94 - (0)","5,316 - (0)","1.62% - (+0.02%)"
"39","November 10, 2020","191,500,564 - (+7,550)","94 - (+2)","5,316 - (+1)","1.60% - (-0.10%)"
"40","November 10, 2020","191,493,014 - (+33,500)","92 - (0)","5,315 - (+1)","1.70% - (+0.04%)"
"41","November 9, 2020","191,459,514 - (+7,450)","92 - (0)","5,314 - (0)","1.66% - (+0.01%)"
"42","November 9, 2020","191,452,064 - (+4,517)","92 - (0)","5,314 - (0)","1.65% - (+0.12%)"
"43","November 9, 2020","191,447,547 - (+5,541)","92 - (0)","5,314 - (+1)","1.53% - (-0.06%)"
"44","November 9, 2020","191,442,006 - (+20,952)","92 - (0)","5,313 - (+1)","1.59% - (-0.13%)"
"45","November 8, 2020","191,421,054 - (+21,067)","92 - (0)","5,312 - (+1)","1.72% - (-0.05%)"
"46","November 7, 2020","191,399,987 - (+42,770)","92 - (0)","5,311 - (0)","1.77% - (+0.05%)"
"47","November 7, 2020","191,357,217 - (-13,906)","92 - (0)","5,311 - (0)","1.72% - (+0.01%)"
"48","November 7, 2020","191,371,123 - (+3,909)","92 - (0)","5,311 - (0)","1.71% - (+0.01%)"
"49","November 7, 2020","191,367,214 - (+14,688)","92 - (0)","5,311 - (0)","1.70% - (+0.05%)"
"50","November 6, 2020","191,352,526 - (+6,118)","92 - (+1)","5,311 - (+1)","1.65% - (-0.13%)"
"51","November 6, 2020","191,346,408 - (+29,394)","91 - (0)","5,310 - (+1)","1.78% - (-0.07%)"
"52","November 6, 2020","191,317,014 - (+22,845)","91 - (0)","5,309 - (0)","1.85% - (+0.02%)"
"53","November 6, 2020","191,294,169 - (+8,129)","91 - (0)","5,309 - (0)","1.83% - (+0.05%)"
"54","November 5, 2020","191,286,040 - (+22,065)","91 - (0)","5,309 - (+1)","1.78% - (-0.06%)"
"55","November 5, 2020","191,263,975 - (+9,155)","91 - (0)","5,308 - (0)","1.84% - (+0.03%)"
"56","November 5, 2020","191,254,820 - (+24,980)","91 - (+1)","5,308 - (+1)","1.81% - (+0.04%)"
"57","November 4, 2020","191,229,840 - (+17,704)","90 - (0)","5,307 - (0)","1.77% - (+0.01%)"
"58","November 4, 2020","191,212,136 - (+67,770)","90 - (0)","5,307 - (+2)","1.76% - (0.00%)"
"59","November 3, 2020","191,144,366 - (+18,422)","90 - (0)","5,305 - (0)","1.76% - (+0.09%)"
