
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 2, 2021","105,919,667 - (+87,856)","138 - (0)","4,039 - (0)","1.38% - (+0.06%)"
"2","January 1, 2021","105,831,811 - (+290,576)","138 - (-1)","4,039 - (+4)","1.32% - (-0.16%)"
"3","December 29, 2020","105,541,235 - (+455,225)","139 - (0)","4,035 - (+3)","1.48% - (+0.26%)"
"4","December 25, 2020","105,086,010 - (+27,614)","139 - (0)","4,032 - (0)","1.22% - (+0.05%)"
"5","December 25, 2020","105,058,396 - (+360,225)","139 - (+1)","4,032 - (+3)","1.17% - (-0.06%)"
"6","December 21, 2020","104,698,171 - (+455,164)","138 - (+1)","4,029 - (+5)","1.23% - (-0.01%)"
"7","December 17, 2020","104,243,007 - (+908,403)","137 - (+4)","4,024 - (+15)","1.24% - (+0.23%)"
"8","November 23, 2020","103,334,604 - (+47,002)","133 - (0)","4,009 - (+1)","1.01% - (+0.02%)"
"9","November 19, 2020","103,287,602 - (+10,541)","133 - (0)","4,008 - (+1)","0.99% - (-0.02%)"
"10","November 19, 2020","103,277,061 - (+1,058)","133 - (0)","4,007 - (0)","1.01% - (0.00%)"
"11","November 18, 2020","103,276,003 - (+11,556)","133 - (0)","4,007 - (0)","1.01% - (+0.06%)"
"12","November 17, 2020","103,264,447 - (+12,110)","133 - (+1)","4,007 - (+1)","0.95% - (-0.04%)"
"13","November 17, 2020","103,252,337 - (+9,258)","132 - (0)","4,006 - (0)","0.99% - (+0.03%)"
"14","November 17, 2020","103,243,079 - (-1,931)","132 - (0)","4,006 - (+1)","0.96% - (-0.04%)"
"15","November 16, 2020","103,245,010 - (+7,680)","132 - (+1)","4,005 - (0)","1.00% - (0.00%)"
"16","November 16, 2020","103,237,330 - (+12,945)","131 - (0)","4,005 - (0)","1.00% - (0.00%)"
"17","November 16, 2020","103,224,385 - (+15,558)","131 - (0)","4,005 - (0)","1.00% - (+0.01%)"
"18","November 15, 2020","103,208,827 - (+10,192)","131 - (0)","4,005 - (0)","0.99% - (+0.01%)"
"19","November 14, 2020","103,198,635 - (+7,401)","131 - (+1)","4,005 - (0)","0.98% - (+0.05%)"
"20","November 13, 2020","103,191,234 - (+9,011)","130 - (0)","4,005 - (+1)","0.93% - (-0.11%)"
"21","November 13, 2020","103,182,223 - (+6,711)","130 - (0)","4,004 - (0)","1.04% - (0.00%)"
"22","November 13, 2020","103,175,512 - (+2,677)","130 - (0)","4,004 - (0)","1.04% - (0.00%)"
"23","November 13, 2020","103,172,835 - (+2,212)","130 - (0)","4,004 - (0)","1.04% - (0.00%)"
"24","November 13, 2020","103,170,623 - (+3,806)","130 - (-1)","4,004 - (0)","1.04% - (0.00%)"
"25","November 13, 2020","103,166,817 - (+1,853)","131 - (0)","4,004 - (0)","1.04% - (+0.01%)"
"26","November 13, 2020","103,164,964 - (-2,482)","131 - (0)","4,004 - (0)","1.03% - (+0.02%)"
"27","November 12, 2020","103,167,446 - (+14,369)","131 - (0)","4,004 - (0)","1.01% - (+0.03%)"
"28","November 12, 2020","103,153,077 - (+3,316)","131 - (0)","4,004 - (0)","0.98% - (+0.03%)"
"29","November 12, 2020","103,149,761 - (+6,769)","131 - (0)","4,004 - (+2)","0.95% - (-0.12%)"
"30","November 11, 2020","103,142,992 - (+15,223)","131 - (0)","4,002 - (0)","1.07% - (0.00%)"
"31","November 11, 2020","103,127,769 - (-1,289)","131 - (0)","4,002 - (0)","1.07% - (+0.01%)"
"32","November 10, 2020","103,129,058 - (+7,999)","131 - (0)","4,002 - (0)","1.06% - (0.00%)"
"33","November 10, 2020","103,121,059 - (+13,731)","131 - (0)","4,002 - (0)","1.06% - (+0.02%)"
"34","November 10, 2020","103,107,328 - (+6,082)","131 - (0)","4,002 - (0)","1.04% - (+0.03%)"
"35","November 10, 2020","103,101,246 - (+2,976)","131 - (0)","4,002 - (+1)","1.01% - (-0.14%)"
"36","November 10, 2020","103,098,270 - (-8,803)","131 - (0)","4,001 - (0)","1.15% - (+0.02%)"
"37","November 9, 2020","103,107,073 - (+19,615)","131 - (0)","4,001 - (+2)","1.13% - (-0.42%)"
"38","November 9, 2020","103,087,458 - (+5,357)","131 - (0)","3,999 - (0)","1.55% - (0.00%)"
"39","November 9, 2020","103,082,101 - (+19,995)","131 - (0)","3,999 - (+1)","1.55% - (-0.09%)"
"40","November 8, 2020","103,062,106 - (-4,541)","131 - (0)","3,998 - (+1)","1.64% - (0.00%)"
"41","November 7, 2020","103,066,647 - (+12,348)","131 - (0)","3,997 - (0)","1.64% - (0.00%)"
"42","November 7, 2020","103,054,299 - (+5,676)","131 - (0)","3,997 - (0)","1.64% - (0.00%)"
"43","November 7, 2020","103,048,623 - (+9,793)","131 - (0)","3,997 - (0)","1.64% - (+0.01%)"
"44","November 6, 2020","103,038,830 - (+7,422)","131 - (0)","3,997 - (-1)","1.63% - (-0.02%)"
"45","November 6, 2020","103,031,408 - (+4,847)","131 - (0)","3,998 - (+2)","1.65% - (0.00%)"
"46","November 5, 2020","103,026,561 - (+49,119)","131 - (0)","3,996 - (0)","1.65% - (+0.02%)"
"47","November 4, 2020","102,977,442 - (+15,126)","131 - (0)","3,996 - (0)","1.63% - (+0.06%)"
"48","November 3, 2020","102,962,316 - (+12,794)","131 - (0)","3,996 - (+1)","1.57% - (0.00%)"
"49","November 3, 2020","102,949,522 - (+12,149)","131 - (0)","3,995 - (+1)","1.57% - (-0.09%)"
"50","November 2, 2020","102,937,373 - (+4,459)","131 - (0)","3,994 - (0)","1.66% - (0.00%)"
"51","November 2, 2020","102,932,914 - (+43,887)","131 - (0)","3,994 - (0)","1.66% - (+0.03%)"
"52","November 1, 2020","102,889,027 - (+13,705)","131 - (+1)","3,994 - (0)","1.63% - (+0.02%)"
"53","October 31, 2020","102,875,322 - (+3,696)","130 - (0)","3,994 - (0)","1.61% - (+0.05%)"
"54","October 31, 2020","102,871,626 - (+16,631)","130 - (0)","3,994 - (+2)","1.56% - (+0.07%)"
"55","October 30, 2020","102,854,995 - (+1,711)","130 - (0)","3,992 - (+1)","1.49% - (0.00%)"
