
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 6, 2021","208,135,012 - (+979,463)","27 - (-131)","6,609 - (+3)","4.05% - (-0.40%)"
"2","January 2, 2021","207,155,549 - (+491,249)","158 - (0)","6,606 - (+4)","4.45% - (+0.15%)"
"3","December 30, 2020","206,664,300 - (+1,700,976)","158 - (-1)","6,602 - (+5)","4.30% - (+0.32%)"
"4","December 22, 2020","204,963,324 - (+3,633,055)","159 - (0)","6,597 - (+17)","3.98% - (+0.76%)"
"5","November 25, 2020","201,330,269 - (+163,114)","159 - (0)","6,580 - (+4)","3.22% - (+0.02%)"
"6","November 22, 2020","201,167,155 - (+206,461)","159 - (-2)","6,576 - (+1)","3.20% - (+0.30%)"
"7","November 20, 2020","200,960,694 - (+65,913)","161 - (0)","6,575 - (+3)","2.90% - (+0.26%)"
"8","November 19, 2020","200,894,781 - (+31,890)","161 - (0)","6,572 - (+2)","2.64% - (+0.33%)"
"9","November 18, 2020","200,862,891 - (+71,928)","161 - (0)","6,570 - (+3)","2.31% - (-0.31%)"
"10","November 17, 2020","200,790,963 - (+18,981)","161 - (0)","6,567 - (0)","2.62% - (+0.10%)"
"11","November 17, 2020","200,771,982 - (+575)","161 - (0)","6,567 - (+1)","2.52% - (+0.19%)"
"12","November 16, 2020","200,771,407 - (+36,278)","161 - (0)","6,566 - (+1)","2.33% - (-0.17%)"
"13","November 16, 2020","200,735,129 - (+35,600)","161 - (0)","6,565 - (0)","2.50% - (+0.08%)"
"14","November 16, 2020","200,699,529 - (+18,837)","161 - (0)","6,565 - (+1)","2.42% - (+0.20%)"
"15","November 15, 2020","200,680,692 - (+1,928)","161 - (0)","6,564 - (0)","2.22% - (+0.01%)"
"16","November 15, 2020","200,678,764 - (+39,059)","161 - (-2)","6,564 - (0)","2.21% - (+0.06%)"
"17","November 15, 2020","200,639,705 - (+35,465)","163 - (0)","6,564 - (0)","2.15% - (+0.04%)"
"18","November 14, 2020","200,604,240 - (+3,383)","163 - (0)","6,564 - (+1)","2.11% - (0.00%)"
"19","November 14, 2020","200,600,857 - (+17,711)","163 - (0)","6,563 - (0)","2.11% - (+0.03%)"
"20","November 14, 2020","200,583,146 - (+742)","163 - (0)","6,563 - (0)","2.08% - (+0.08%)"
"21","November 14, 2020","200,582,404 - (+35,516)","163 - (+2)","6,563 - (+2)","2.00% - (-0.51%)"
"22","November 13, 2020","200,546,888 - (+80,062)","161 - (0)","6,561 - (+1)","2.51% - (-0.11%)"
"23","November 12, 2020","200,466,826 - (+17,462)","161 - (0)","6,560 - (0)","2.62% - (+0.22%)"
"24","November 12, 2020","200,449,364 - (+43,132)","161 - (0)","6,560 - (+3)","2.40% - (-0.47%)"
"25","November 11, 2020","200,406,232 - (+13,305)","161 - (0)","6,557 - (0)","2.87% - (+0.03%)"
"26","November 11, 2020","200,392,927 - (-7,393)","161 - (0)","6,557 - (0)","2.84% - (+0.10%)"
"27","November 11, 2020","200,400,320 - (+5,827)","161 - (0)","6,557 - (0)","2.74% - (+0.05%)"
"28","November 11, 2020","200,394,493 - (+21,708)","161 - (0)","6,557 - (+2)","2.69% - (-0.33%)"
"29","November 10, 2020","200,372,785 - (+6,155)","161 - (0)","6,555 - (+1)","3.02% - (+0.04%)"
"30","November 10, 2020","200,366,630 - (+20,330)","161 - (0)","6,554 - (0)","2.98% - (+0.01%)"
