
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 2, 2021","174,504,302 - (+596,077)","233 - (-1)","660 - (+2)","1.78% - (-0.32%)"
"2","December 29, 2020","173,908,225 - (+516,893)","234 - (0)","658 - (0)","2.10% - (+0.01%)"
"3","December 26, 2020","173,391,332 - (+110,847)","234 - (0)","658 - (0)","2.09% - (0.00%)"
"4","December 26, 2020","173,280,485 - (+403,384)","234 - (0)","658 - (0)","2.09% - (+0.10%)"
"5","December 24, 2020","172,877,101 - (+1,618,862)","234 - (+1)","658 - (+9)","1.99% - (-1.49%)"
"6","December 17, 2020","171,258,239 - (+2,250,698)","233 - (0)","649 - (+8)","3.48% - (+0.86%)"
"7","November 21, 2020","169,007,541 - (+90,030)","233 - (0)","641 - (+1)","2.62% - (-0.13%)"
"8","November 18, 2020","168,917,511 - (+10,875)","233 - (0)","640 - (0)","2.75% - (+0.13%)"
"9","November 18, 2020","168,906,636 - (+28,399)","233 - (0)","640 - (+1)","2.62% - (-0.21%)"
"10","November 17, 2020","168,878,237 - (+27,261)","233 - (0)","639 - (0)","2.83% - (+0.15%)"
"11","November 16, 2020","168,850,976 - (+5,919)","233 - (0)","639 - (+1)","2.68% - (-0.22%)"
"12","November 16, 2020","168,845,057 - (+7,701)","233 - (0)","638 - (0)","2.90% - (0.00%)"
"13","November 16, 2020","168,837,356 - (-4,256)","233 - (0)","638 - (0)","2.90% - (+0.01%)"
"14","November 15, 2020","168,841,612 - (+21,282)","233 - (0)","638 - (0)","2.89% - (+0.02%)"
"15","November 15, 2020","168,820,330 - (-575)","233 - (0)","638 - (0)","2.87% - (+0.07%)"
"16","November 15, 2020","168,820,905 - (+1,268)","233 - (0)","638 - (0)","2.80% - (+0.02%)"
"17","November 15, 2020","168,819,637 - (+15,367)","233 - (0)","638 - (+1)","2.78% - (+0.09%)"
"18","November 14, 2020","168,804,270 - (+5,016)","233 - (0)","637 - (0)","2.69% - (0.00%)"
"19","November 14, 2020","168,799,254 - (+31,953)","233 - (0)","637 - (0)","2.69% - (+0.01%)"
"20","November 13, 2020","168,767,301 - (-4,180)","233 - (0)","637 - (0)","2.68% - (0.00%)"
"21","November 13, 2020","168,771,481 - (+24,292)","233 - (0)","637 - (0)","2.68% - (+0.02%)"
"22","November 12, 2020","168,747,189 - (+3,076)","233 - (0)","637 - (0)","2.66% - (+0.01%)"
"23","November 12, 2020","168,744,113 - (+13,176)","233 - (0)","637 - (+1)","2.65% - (-0.22%)"
"24","November 11, 2020","168,730,937 - (+10,355)","233 - (0)","636 - (0)","2.87% - (+0.01%)"
"25","November 11, 2020","168,720,582 - (+2,323)","233 - (+1)","636 - (0)","2.86% - (+0.13%)"
"26","November 10, 2020","168,718,259 - (+25,997)","232 - (0)","636 - (+1)","2.73% - (-0.18%)"
"27","November 9, 2020","168,692,262 - (+14,786)","232 - (0)","635 - (0)","2.91% - (+0.04%)"
"28","November 9, 2020","168,677,476 - (+4,818)","232 - (0)","635 - (0)","2.87% - (+0.06%)"
"29","November 9, 2020","168,672,658 - (-10,847)","232 - (0)","635 - (0)","2.81% - (+0.07%)"
"30","November 9, 2020","168,683,505 - (+4,688)","232 - (0)","635 - (+1)","2.74% - (-0.03%)"
"31","November 8, 2020","168,678,817 - (+15,634)","232 - (0)","634 - (0)","2.77% - (0.00%)"
"32","November 7, 2020","168,663,183 - (+42,817)","232 - (0)","634 - (0)","2.77% - (+0.01%)"
"33","November 7, 2020","168,620,366 - (+26,525)","232 - (0)","634 - (0)","2.76% - (0.00%)"
"34","November 5, 2020","168,593,841 - (+10,561)","232 - (0)","634 - (0)","2.76% - (+0.01%)"
"35","November 5, 2020","168,583,280 - (-8,417)","232 - (0)","634 - (0)","2.75% - (0.00%)"
"36","November 5, 2020","168,591,697 - (+29,268)","232 - (0)","634 - (0)","2.75% - (+0.01%)"
"37","November 5, 2020","168,562,429 - (+25,253)","232 - (0)","634 - (+1)","2.74% - (-0.40%)"
"38","November 4, 2020","168,537,176 - (-8,893)","232 - (0)","633 - (0)","3.14% - (0.00%)"
"39","November 4, 2020","168,546,069 - (+14,209)","232 - (0)","633 - (0)","3.14% - (0.00%)"
"40","November 3, 2020","168,531,860 - (+15,947)","232 - (0)","633 - (0)","3.14% - (0.00%)"
"41","November 3, 2020","168,515,913 - (+22,259)","232 - (0)","633 - (0)","3.14% - (+0.01%)"
"42","November 2, 2020","168,493,654 - (+18,020)","232 - (0)","633 - (0)","3.13% - (0.00%)"
"43","November 2, 2020","168,475,634 - (-8,775)","232 - (0)","633 - (0)","3.13% - (0.00%)"
"44","November 2, 2020","168,484,409 - (+2,803)","232 - (0)","633 - (0)","3.13% - (0.00%)"
"45","November 1, 2020","168,481,606 - (+9,362)","232 - (0)","633 - (0)","3.13% - (0.00%)"
"46","November 1, 2020","168,472,244 - (+10,332)","232 - (0)","633 - (0)","3.13% - (0.00%)"
"47","November 1, 2020","168,461,912 - (+12,956)","232 - (0)","633 - (0)","3.13% - (0.00%)"
"48","November 1, 2020","168,448,956 - (-5,510)","232 - (0)","633 - (0)","3.13% - (0.00%)"
"49","November 1, 2020","168,454,466 - (+11,900)","232 - (0)","633 - (0)","3.13% - (0.00%)"
"50","October 31, 2020","168,442,566 - (+4,892)","232 - (0)","633 - (0)","3.13% - (0.00%)"
"51","October 31, 2020","168,437,674 - (+12,480)","232 - (0)","633 - (0)","3.13% - (0.00%)"
"52","October 31, 2020","168,425,194 - (+14,680)","232 - (0)","633 - (0)","3.13% - (0.00%)"
"53","October 31, 2020","168,410,514 - (-5,625)","232 - (0)","633 - (0)","3.13% - (0.00%)"
"54","October 30, 2020","168,416,139 - (+11,062)","232 - (0)","633 - (0)","3.13% - (0.00%)"
"55","October 30, 2020","168,405,077 - (+4,743)","232 - (0)","633 - (0)","3.13% - (+0.01%)"
"56","October 30, 2020","168,400,334 - (+13,471)","232 - (0)","633 - (0)","3.12% - (0.00%)"
"57","October 30, 2020","168,386,863 - (+4,598)","232 - (0)","633 - (0)","3.12% - (+0.01%)"
"58","October 30, 2020","168,382,265 - (+21,492)","232 - (0)","633 - (0)","3.11% - (+0.05%)"
"59","October 29, 2020","168,360,773 - (+11,541)","232 - (0)","633 - (0)","3.06% - (+0.12%)"
"60","October 29, 2020","168,349,232 - (-646)","232 - (0)","633 - (+1)","2.94% - (+0.07%)"
"61","October 28, 2020","168,349,878 - (+18,029)","232 - (0)","632 - (0)","2.87% - (0.00%)"
"62","October 28, 2020","168,331,849 - (+11,611)","232 - (0)","632 - (0)","2.87% - (0.00%)"
"63","October 28, 2020","168,320,238 - (+3,139)","232 - (0)","632 - (0)","2.87% - (0.00%)"
"64","October 28, 2020","168,317,099 - (+2,548)","232 - (0)","632 - (0)","2.87% - (0.00%)"
"65","October 28, 2020","168,314,551 - (+23,730)","232 - (0)","632 - (0)","2.87% - (+0.01%)"
"66","October 27, 2020","168,290,821 - (+8,403)","232 - (0)","632 - (0)","2.86% - (0.00%)"
"67","October 27, 2020","168,282,418 - (+7,233)","232 - (0)","632 - (0)","2.86% - (0.00%)"
"68","October 26, 2020","168,275,185 - (+6,510)","232 - (0)","632 - (0)","2.86% - (0.00%)"
"69","October 26, 2020","168,268,675 - (+11,396)","232 - (0)","632 - (0)","2.86% - (0.00%)"
"70","October 26, 2020","168,257,279 - (+3,197)","232 - (0)","632 - (0)","2.86% - (0.00%)"
"71","October 26, 2020","168,254,082 - (+10,876)","232 - (0)","632 - (0)","2.86% - (0.00%)"
"72","October 25, 2020","168,243,206 - (+6,192)","232 - (0)","632 - (0)","2.86% - (0.00%)"
"73","October 25, 2020","168,237,014 - (+34,169)","232 - (0)","632 - (0)","2.86% - (0.00%)"
"74","October 25, 2020","168,202,845 - (+24,044)","232 - (0)","632 - (0)","2.86% - (0.00%)"
"75","October 24, 2020","168,178,801 - (+20,041)","232 - (0)","632 - (0)","2.86% - (0.00%)"
"76","October 24, 2020","168,158,760 - (+2,612)","232 - (0)","632 - (0)","2.86% - (0.00%)"
"77","October 24, 2020","168,156,148 - (+4,102)","232 - (0)","632 - (0)","2.86% - (+0.01%)"
"78","October 23, 2020","168,152,046 - (+6,093)","232 - (0)","632 - (0)","2.85% - (0.00%)"
"79","October 23, 2020","168,145,953 - (+16,981)","232 - (0)","632 - (0)","2.85% - (0.00%)"
"80","October 23, 2020","168,128,972 - (-10,549)","232 - (0)","632 - (0)","2.85% - (0.00%)"
"81","October 23, 2020","168,139,521 - (+32,204)","232 - (0)","632 - (0)","2.85% - (0.00%)"
"82","October 22, 2020","168,107,317 - (+4,056)","232 - (0)","632 - (0)","2.85% - (+0.01%)"
"83","October 22, 2020","168,103,261 - (+3,451)","232 - (0)","632 - (0)","2.84% - (0.00%)"
"84","October 22, 2020","168,099,810 - (+2,989)","232 - (0)","632 - (0)","2.84% - (0.00%)"
"85","October 22, 2020","168,096,821 - (-6,610)","232 - (0)","632 - (0)","2.84% - (0.00%)"
"86","October 22, 2020","168,103,431 - (+44,631)","232 - (0)","632 - (0)","2.84% - (+0.10%)"
"87","October 21, 2020","168,058,800 - (-13,801)","232 - (0)","632 - (0)","2.74% - (+0.02%)"
"88","October 21, 2020","168,072,601 - (+19,435)","232 - (0)","632 - (0)","2.72% - (+0.08%)"
"89","October 20, 2020","168,053,166 - (+4,301)","232 - (0)","632 - (+1)","2.64% - (-0.13%)"
"90","October 20, 2020","168,048,865 - (+4,759)","232 - (0)","631 - (0)","2.77% - (0.00%)"
"91","October 20, 2020","168,044,106 - (+73,580)","232 - (0)","631 - (0)","2.77% - (+0.01%)"
"92","October 18, 2020","167,970,526 - (+3,217)","232 - (0)","631 - (0)","2.76% - (0.00%)"
"93","October 18, 2020","167,967,309 - (+3,402)","232 - (0)","631 - (0)","2.76% - (0.00%)"
"94","October 18, 2020","167,963,907 - (+21,716)","232 - (0)","631 - (0)","2.76% - (0.00%)"
"95","October 17, 2020","167,942,191 - (+13,835)","232 - (0)","631 - (0)","2.76% - (0.00%)"
"96","October 17, 2020","167,928,356 - (-12,610)","232 - (0)","631 - (0)","2.76% - (0.00%)"
"97","October 17, 2020","167,940,966 - (+63,034)","232 - (0)","631 - (0)","2.76% - (0.00%)"
"98","October 16, 2020","167,877,932 - (-7,389)","232 - (0)","631 - (0)","2.76% - (+0.01%)"
"99","October 16, 2020","167,885,321 - (+22,502)","232 - (0)","631 - (0)","2.75% - (0.00%)"
"100","October 16, 2020","167,862,819 - (+7,280)","232 - (0)","631 - (0)","2.75% - (0.00%)"
"101","October 15, 2020","167,855,539 - (-12,787)","232 - (0)","631 - (0)","2.75% - (0.00%)"
"102","October 15, 2020","167,868,326 - (+37,594)","232 - (0)","631 - (0)","2.75% - (+0.03%)"
"103","October 15, 2020","167,830,732 - (+20,547)","232 - (0)","631 - (0)","2.72% - (+0.03%)"
"104","October 14, 2020","167,810,185 - (-404)","232 - (0)","631 - (0)","2.69% - (+0.05%)"
"105","October 14, 2020","167,810,589 - (+18,046)","232 - (0)","631 - (+1)","2.64% - (-0.32%)"
"106","October 14, 2020","167,792,543 - (+8,194)","232 - (0)","630 - (0)","2.96% - (+0.03%)"
"107","October 14, 2020","167,784,349 - (+4,807)","232 - (0)","630 - (0)","2.93% - (+0.03%)"
"108","October 14, 2020","167,779,542 - (+26,271)","232 - (0)","630 - (+1)","2.90% - (-0.14%)"
"109","October 13, 2020","167,753,271 - (-1,757)","232 - (0)","629 - (0)","3.04% - (0.00%)"
"110","October 13, 2020","167,755,028 - (+31,317)","232 - (0)","629 - (0)","3.04% - (+0.01%)"
