
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","December 28, 2020","118,720,711 - (+232,808)","744 - (+1)","802 - (0)","0.59% - (+0.04%)"
"2","December 26, 2020","118,487,903 - (+96,430)","743 - (0)","802 - (+5)","0.55% - (+0.10%)"
"3","December 25, 2020","118,391,473 - (+188,601)","743 - (0)","797 - (+3)","0.45% - (-0.08%)"
"4","December 23, 2020","118,202,872 - (+746,900)","743 - (+8)","794 - (+12)","0.53% - (+0.29%)"
"5","December 15, 2020","117,455,972 - (+38,021)","735 - (0)","782 - (0)","0.24% - (0.00%)"
"6","December 15, 2020","117,417,951 - (+261,719)","735 - (+1)","782 - (+2)","0.24% - (-0.01%)"
"7","December 13, 2020","117,156,232 - (+477,335)","734 - (+14)","780 - (+30)","0.25% - (-0.04%)"
"8","December 1, 2020","116,678,897 - (+69,801)","720 - (+5)","750 - (+17)","0.29% - (-0.47%)"
"9","November 25, 2020","116,609,096 - (+74,166)","715 - (+2)","733 - (+4)","0.76% - (+0.29%)"
"10","November 22, 2020","116,534,930 - (-6,726)","713 - (+5)","729 - (+7)","0.47% - (+0.08%)"
"11","November 18, 2020","116,541,656 - (+3,426)","708 - (+1)","722 - (+1)","0.39% - (-0.04%)"
"12","November 18, 2020","116,538,230 - (+9,113)","707 - (0)","721 - (+3)","0.43% - (-0.17%)"
"13","November 17, 2020","116,529,117 - (-4,642)","707 - (+1)","718 - (0)","0.60% - (0.00%)"
"14","November 17, 2020","116,533,759 - (+1,604)","706 - (0)","718 - (0)","0.60% - (+0.02%)"
"15","November 16, 2020","116,532,155 - (+8,266)","706 - (0)","718 - (+1)","0.58% - (-0.01%)"
"16","November 16, 2020","116,523,889 - (-5,401)","706 - (+1)","717 - (0)","0.59% - (+0.01%)"
"17","November 16, 2020","116,529,290 - (+2,136)","705 - (0)","717 - (+1)","0.58% - (-0.02%)"
"18","November 15, 2020","116,527,154 - (+4,965)","705 - (0)","716 - (0)","0.60% - (0.00%)"
"19","November 15, 2020","116,522,189 - (-6,422)","705 - (+1)","716 - (0)","0.60% - (0.00%)"
"20","November 15, 2020","116,528,611 - (+8,846)","704 - (+2)","716 - (0)","0.60% - (+0.01%)"
"21","November 14, 2020","116,519,765 - (+2,989)","702 - (0)","716 - (0)","0.59% - (+0.04%)"
"22","November 13, 2020","116,516,776 - (-422)","702 - (+1)","716 - (0)","0.55% - (-0.12%)"
"23","November 13, 2020","116,517,198 - (+4,750)","701 - (+1)","716 - (0)","0.67% - (0.00%)"
"24","November 12, 2020","116,512,448 - (+7,176)","700 - (+1)","716 - (0)","0.67% - (0.00%)"
"25","November 12, 2020","116,505,272 - (-5,595)","699 - (+1)","716 - (0)","0.67% - (0.00%)"
"26","November 12, 2020","116,510,867 - (+11,786)","698 - (-1)","716 - (0)","0.67% - (0.00%)"
"27","November 12, 2020","116,499,081 - (+917)","699 - (+1)","716 - (0)","0.67% - (0.00%)"
"28","November 12, 2020","116,498,164 - (-4,466)","698 - (0)","716 - (0)","0.67% - (0.00%)"
"29","November 11, 2020","116,502,630 - (+8,512)","698 - (0)","716 - (0)","0.67% - (0.00%)"
"30","November 11, 2020","116,494,118 - (+4,622)","698 - (0)","716 - (0)","0.67% - (0.00%)"
"31","November 11, 2020","116,489,496 - (-8,456)","698 - (+1)","716 - (0)","0.67% - (0.00%)"
