
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 5, 2021","59,643,527 - (+9,485)","554 - (0)","3,245 - (0)","1.82% - (+0.04%)"
"2","January 5, 2021","59,634,042 - (+40,828)","554 - (0)","3,245 - (+1)","1.78% - (-0.02%)"
"3","January 2, 2021","59,593,214 - (+306,113)","554 - (0)","3,244 - (+7)","1.80% - (+0.09%)"
"4","December 22, 2020","59,287,101 - (+5,469)","554 - (0)","3,237 - (0)","1.71% - (+0.06%)"
"5","December 21, 2020","59,281,632 - (+23,728)","554 - (0)","3,237 - (+2)","1.65% - (-0.09%)"
"6","December 20, 2020","59,257,904 - (+72,709)","554 - (0)","3,235 - (+1)","1.74% - (-0.11%)"
"7","December 17, 2020","59,185,195 - (+25,679)","554 - (0)","3,234 - (0)","1.85% - (+0.04%)"
"8","December 17, 2020","59,159,516 - (+47,731)","554 - (0)","3,234 - (+2)","1.81% - (+0.16%)"
"9","December 14, 2020","59,111,785 - (+295,091)","554 - (+2)","3,232 - (+11)","1.65% - (-0.16%)"
"10","December 4, 2020","58,816,694 - (+214,698)","552 - (+1)","3,221 - (+7)","1.81% - (-0.32%)"
"11","November 23, 2020","58,601,996 - (+58,295)","551 - (0)","3,214 - (0)","2.13% - (+0.02%)"
"12","November 20, 2020","58,543,701 - (+86,018)","551 - (+1)","3,214 - (-4)","2.11% - (+0.07%)"
"13","November 17, 2020","58,457,683 - (+5,787)","550 - (0)","3,218 - (0)","2.04% - (+0.02%)"
"14","November 17, 2020","58,451,896 - (+7,536)","550 - (0)","3,218 - (0)","2.02% - (0.00%)"
"15","November 16, 2020","58,444,360 - (-4,266)","550 - (0)","3,218 - (0)","2.02% - (+0.01%)"
"16","November 16, 2020","58,448,626 - (+6,569)","550 - (0)","3,218 - (+1)","2.01% - (-0.13%)"
"17","November 16, 2020","58,442,057 - (+14,830)","550 - (0)","3,217 - (0)","2.14% - (+0.02%)"
"18","November 16, 2020","58,427,227 - (+1,226)","550 - (0)","3,217 - (0)","2.12% - (+0.01%)"
"19","November 15, 2020","58,426,001 - (+5,350)","550 - (0)","3,217 - (0)","2.11% - (+0.01%)"
"20","November 15, 2020","58,420,651 - (+32,692)","550 - (0)","3,217 - (0)","2.10% - (+0.34%)"
"21","November 14, 2020","58,387,959 - (-66)","550 - (0)","3,217 - (+1)","1.76% - (-0.07%)"
"22","November 14, 2020","58,388,025 - (+5,309)","550 - (0)","3,216 - (0)","1.83% - (+0.01%)"
"23","November 14, 2020","58,382,716 - (+20,240)","550 - (0)","3,216 - (0)","1.82% - (+0.03%)"
"24","November 13, 2020","58,362,476 - (+1,843)","550 - (0)","3,216 - (0)","1.79% - (+0.06%)"
"25","November 13, 2020","58,360,633 - (-3,454)","550 - (+1)","3,216 - (0)","1.73% - (+0.03%)"
"26","November 12, 2020","58,364,087 - (+17,588)","549 - (+1)","3,216 - (+1)","1.70% - (-0.09%)"
"27","November 12, 2020","58,346,499 - (+1,089)","548 - (0)","3,215 - (0)","1.79% - (0.00%)"
"28","November 11, 2020","58,345,410 - (+1,743)","548 - (0)","3,215 - (0)","1.79% - (0.00%)"
"29","November 11, 2020","58,343,667 - (+14,195)","548 - (0)","3,215 - (0)","1.79% - (+0.01%)"
"30","November 11, 2020","58,329,472 - (+11,074)","548 - (0)","3,215 - (0)","1.78% - (0.00%)"
"31","November 10, 2020","58,318,398 - (+5,436)","548 - (0)","3,215 - (0)","1.78% - (0.00%)"
"32","November 10, 2020","58,312,962 - (+6,366)","548 - (0)","3,215 - (0)","1.78% - (+0.02%)"
"33","November 9, 2020","58,306,596 - (+7,945)","548 - (0)","3,215 - (+1)","1.76% - (-0.12%)"
"34","November 9, 2020","58,298,651 - (+18,592)","548 - (0)","3,214 - (0)","1.88% - (+0.02%)"
"35","November 8, 2020","58,280,059 - (+5,554)","548 - (0)","3,214 - (0)","1.86% - (+0.01%)"
"36","November 8, 2020","58,274,505 - (-5,927)","548 - (+3)","3,214 - (+1)","1.85% - (+0.05%)"
"37","November 7, 2020","58,280,432 - (+10,897)","545 - (0)","3,213 - (0)","1.80% - (0.00%)"
"38","November 7, 2020","58,269,535 - (+6,558)","545 - (0)","3,213 - (0)","1.80% - (0.00%)"
"39","November 7, 2020","58,262,977 - (-3,683)","545 - (0)","3,213 - (0)","1.80% - (0.00%)"
"40","November 7, 2020","58,266,660 - (+4,874)","545 - (0)","3,213 - (0)","1.80% - (0.00%)"
"41","November 7, 2020","58,261,786 - (+3,999)","545 - (0)","3,213 - (0)","1.80% - (+0.01%)"
"42","November 6, 2020","58,257,787 - (+18,693)","545 - (0)","3,213 - (0)","1.79% - (+0.02%)"
"43","November 6, 2020","58,239,094 - (+11,239)","545 - (0)","3,213 - (0)","1.77% - (+0.03%)"
"44","November 5, 2020","58,227,855 - (+33,053)","545 - (0)","3,213 - (0)","1.74% - (+0.31%)"
"45","November 5, 2020","58,194,802 - (-2,179)","545 - (0)","3,213 - (+1)","1.43% - (-0.10%)"
"46","November 5, 2020","58,196,981 - (+5,867)","545 - (0)","3,212 - (0)","1.53% - (+0.01%)"
"47","November 4, 2020","58,191,114 - (+18,238)","545 - (0)","3,212 - (0)","1.52% - (+0.01%)"
"48","November 4, 2020","58,172,876 - (+2,506)","545 - (0)","3,212 - (+1)","1.51% - (-0.10%)"
"49","November 4, 2020","58,170,370 - (+2,667)","545 - (0)","3,211 - (0)","1.61% - (0.00%)"
"50","November 3, 2020","58,167,703 - (+14,770)","545 - (0)","3,211 - (0)","1.61% - (+0.02%)"
"51","November 3, 2020","58,152,933 - (+11,728)","545 - (+1)","3,211 - (+2)","1.59% - (+0.36%)"
"52","November 1, 2020","58,141,205 - (+15,285)","544 - (0)","3,209 - (0)","1.23% - (+0.01%)"
"53","November 1, 2020","58,125,920 - (+6,251)","544 - (+1)","3,209 - (0)","1.22% - (0.00%)"
"54","November 1, 2020","58,119,669 - (-3,742)","543 - (0)","3,209 - (0)","1.22% - (0.00%)"
