
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 4, 2021","69,822,011 - (+119,713)","107 - (0)","1,720 - (+1)","1.14% - (+0.04%)"
"2","December 30, 2020","69,702,298 - (+158,178)","107 - (0)","1,719 - (+6)","1.10% - (+0.14%)"
"3","December 22, 2020","69,544,120 - (+53,066)","107 - (+1)","1,713 - (+4)","0.96% - (-0.15%)"
"4","December 20, 2020","69,491,054 - (+366,541)","106 - (+1)","1,709 - (+15)","1.11% - (-0.62%)"
"5","December 6, 2020","69,124,513 - (+76,521)","105 - (+4)","1,694 - (+9)","1.73% - (+0.68%)"
"6","November 18, 2020","69,047,992 - (-703)","101 - (0)","1,685 - (0)","1.05% - (+0.04%)"
"7","November 17, 2020","69,048,695 - (-751)","101 - (0)","1,685 - (0)","1.01% - (+0.03%)"
"8","November 17, 2020","69,049,446 - (-2,820)","101 - (0)","1,685 - (+1)","0.98% - (-0.02%)"
"9","November 16, 2020","69,052,266 - (+621)","101 - (0)","1,684 - (0)","1.00% - (0.00%)"
"10","November 16, 2020","69,051,645 - (-1,872)","101 - (0)","1,684 - (0)","1.00% - (0.00%)"
"11","November 16, 2020","69,053,517 - (+3,691)","101 - (0)","1,684 - (0)","1.00% - (0.00%)"
"12","November 15, 2020","69,049,826 - (-30)","101 - (0)","1,684 - (0)","1.00% - (0.00%)"
"13","November 15, 2020","69,049,856 - (+405)","101 - (0)","1,684 - (+1)","1.00% - (+0.01%)"
"14","November 14, 2020","69,049,451 - (-1,141)","101 - (0)","1,683 - (0)","0.99% - (0.00%)"
"15","November 13, 2020","69,050,592 - (+1,771)","101 - (+1)","1,683 - (0)","0.99% - (0.00%)"
"16","November 13, 2020","69,048,821 - (+182)","100 - (0)","1,683 - (0)","0.99% - (0.00%)"
"17","November 13, 2020","69,048,639 - (-2,398)","100 - (0)","1,683 - (0)","0.99% - (0.00%)"
"18","November 12, 2020","69,051,037 - (+174)","100 - (0)","1,683 - (0)","0.99% - (0.00%)"
"19","November 11, 2020","69,050,863 - (+1,656)","100 - (0)","1,683 - (0)","0.99% - (0.00%)"
"20","November 11, 2020","69,049,207 - (+1,582)","100 - (0)","1,683 - (0)","0.99% - (0.00%)"
"21","November 11, 2020","69,047,625 - (+1,242)","100 - (0)","1,683 - (0)","0.99% - (0.00%)"
"22","November 11, 2020","69,046,383 - (-362)","100 - (0)","1,683 - (0)","0.99% - (0.00%)"
"23","November 10, 2020","69,046,745 - (+455)","100 - (0)","1,683 - (0)","0.99% - (0.00%)"
"24","November 9, 2020","69,046,290 - (-697)","100 - (0)","1,683 - (0)","0.99% - (0.00%)"
"25","November 9, 2020","69,046,987 - (+4,191)","100 - (0)","1,683 - (0)","0.99% - (0.00%)"
"26","November 9, 2020","69,042,796 - (+2,171)","100 - (0)","1,683 - (0)","0.99% - (0.00%)"
"27","November 8, 2020","69,040,625 - (+4,741)","100 - (0)","1,683 - (0)","0.99% - (0.00%)"
"28","November 8, 2020","69,035,884 - (+898)","100 - (0)","1,683 - (0)","0.99% - (0.00%)"
"29","November 8, 2020","69,034,986 - (+1,765)","100 - (0)","1,683 - (0)","0.99% - (0.00%)"
"30","November 8, 2020","69,033,221 - (-5,425)","100 - (0)","1,683 - (0)","0.99% - (0.00%)"
"31","November 8, 2020","69,038,646 - (+6,183)","100 - (0)","1,683 - (0)","0.99% - (0.00%)"
"32","November 7, 2020","69,032,463 - (+272)","100 - (0)","1,683 - (0)","0.99% - (0.00%)"
"33","November 7, 2020","69,032,191 - (+4,564)","100 - (0)","1,683 - (0)","0.99% - (0.00%)"
"34","November 7, 2020","69,027,627 - (+2,533)","100 - (0)","1,683 - (0)","0.99% - (+0.01%)"
"35","November 6, 2020","69,025,094 - (+4,562)","100 - (0)","1,683 - (0)","0.98% - (0.00%)"
"36","November 6, 2020","69,020,532 - (+1,660)","100 - (0)","1,683 - (0)","0.98% - (0.00%)"
"37","November 6, 2020","69,018,872 - (+2,528)","100 - (0)","1,683 - (+1)","0.98% - (+0.06%)"
"38","November 5, 2020","69,016,344 - (+1,368)","100 - (0)","1,682 - (0)","0.92% - (0.00%)"
"39","November 5, 2020","69,014,976 - (-1,918)","100 - (0)","1,682 - (0)","0.92% - (0.00%)"
"40","November 5, 2020","69,016,894 - (+6,794)","100 - (0)","1,682 - (0)","0.92% - (0.00%)"
"41","November 4, 2020","69,010,100 - (+2,028)","100 - (0)","1,682 - (0)","0.92% - (0.00%)"
"42","November 4, 2020","69,008,072 - (+9,049)","100 - (0)","1,682 - (+1)","0.92% - (-0.05%)"
"43","November 3, 2020","68,999,023 - (+868)","100 - (0)","1,681 - (0)","0.97% - (+0.01%)"
"44","November 3, 2020","68,998,155 - (+889)","100 - (0)","1,681 - (0)","0.96% - (0.00%)"
"45","November 3, 2020","68,997,266 - (-1,590)","100 - (0)","1,681 - (0)","0.96% - (0.00%)"
"46","November 2, 2020","68,998,856 - (+1,635)","100 - (0)","1,681 - (0)","0.96% - (0.00%)"
"47","November 2, 2020","68,997,221 - (+4,290)","100 - (0)","1,681 - (0)","0.96% - (0.00%)"
"48","November 2, 2020","68,992,931 - (+1,773)","100 - (0)","1,681 - (0)","0.96% - (0.00%)"
"49","November 2, 2020","68,991,158 - (+2,226)","100 - (0)","1,681 - (0)","0.96% - (0.00%)"
"50","November 2, 2020","68,988,932 - (+11,557)","100 - (0)","1,681 - (0)","0.96% - (0.00%)"
"51","November 1, 2020","68,977,375 - (+1,894)","100 - (0)","1,681 - (0)","0.96% - (0.00%)"
"52","November 1, 2020","68,975,481 - (+2,636)","100 - (0)","1,681 - (0)","0.96% - (+0.01%)"
"53","October 31, 2020","68,972,845 - (+1,547)","100 - (0)","1,681 - (+1)","0.95% - (0.00%)"
"54","October 31, 2020","68,971,298 - (+4,524)","100 - (0)","1,680 - (0)","0.95% - (0.00%)"
"55","October 31, 2020","68,966,774 - (+1,257)","100 - (0)","1,680 - (0)","0.95% - (0.00%)"
"56","October 30, 2020","68,965,517 - (+9,976)","100 - (0)","1,680 - (0)","0.95% - (+0.01%)"
"57","October 30, 2020","68,955,541 - (+1,836)","100 - (0)","1,680 - (0)","0.94% - (0.00%)"
"58","October 30, 2020","68,953,705 - (+5,381)","100 - (0)","1,680 - (0)","0.94% - (+0.01%)"
"59","October 29, 2020","68,948,324 - (+2,851)","100 - (0)","1,680 - (0)","0.93% - (+0.01%)"
"60","October 29, 2020","68,945,473 - (+1,578)","100 - (0)","1,680 - (0)","0.92% - (+0.01%)"
"61","October 29, 2020","68,943,895 - (+2,129)","100 - (0)","1,680 - (0)","0.91% - (+0.02%)"
"62","October 29, 2020","68,941,766 - (+5,611)","100 - (0)","1,680 - (+1)","0.89% - (+0.04%)"
"63","October 28, 2020","68,936,155 - (+9,247)","100 - (0)","1,679 - (0)","0.85% - (0.00%)"
"64","October 27, 2020","68,926,908 - (+5,504)","100 - (0)","1,679 - (0)","0.85% - (0.00%)"
"65","October 27, 2020","68,921,404 - (+2,264)","100 - (0)","1,679 - (0)","0.85% - (0.00%)"
"66","October 27, 2020","68,919,140 - (+1,432)","100 - (0)","1,679 - (0)","0.85% - (0.00%)"
"67","October 27, 2020","68,917,708 - (+7,314)","100 - (0)","1,679 - (0)","0.85% - (0.00%)"
"68","October 26, 2020","68,910,394 - (+2,105)","100 - (0)","1,679 - (0)","0.85% - (0.00%)"
"69","October 26, 2020","68,908,289 - (+710)","100 - (0)","1,679 - (0)","0.85% - (0.00%)"
"70","October 26, 2020","68,907,579 - (+3,040)","100 - (0)","1,679 - (0)","0.85% - (0.00%)"
"71","October 26, 2020","68,904,539 - (+2,595)","100 - (0)","1,679 - (0)","0.85% - (0.00%)"
"72","October 25, 2020","68,901,944 - (+8,636)","100 - (0)","1,679 - (0)","0.85% - (0.00%)"
"73","October 25, 2020","68,893,308 - (+1,058)","100 - (0)","1,679 - (0)","0.85% - (0.00%)"
"74","October 25, 2020","68,892,250 - (+3,202)","100 - (0)","1,679 - (0)","0.85% - (+0.01%)"
"75","October 25, 2020","68,889,048 - (-407)","100 - (0)","1,679 - (0)","0.84% - (0.00%)"
"76","October 25, 2020","68,889,455 - (+8,723)","100 - (0)","1,679 - (+1)","0.84% - (-0.01%)"
"77","October 24, 2020","68,880,732 - (+4,927)","100 - (0)","1,678 - (0)","0.85% - (0.00%)"
"78","October 24, 2020","68,875,805 - (+8,348)","100 - (0)","1,678 - (0)","0.85% - (+0.02%)"
"79","October 23, 2020","68,867,457 - (+1,961)","100 - (0)","1,678 - (0)","0.83% - (0.00%)"
"80","October 23, 2020","68,865,496 - (+6,279)","100 - (0)","1,678 - (0)","0.83% - (+0.04%)"
"81","October 23, 2020","68,859,217 - (-1,925)","100 - (0)","1,678 - (0)","0.79% - (+0.06%)"
"82","October 22, 2020","68,861,142 - (+3,701)","100 - (0)","1,678 - (+1)","0.73% - (+0.01%)"
"83","October 22, 2020","68,857,441 - (+8,839)","100 - (0)","1,677 - (0)","0.72% - (0.00%)"
"84","October 22, 2020","68,848,602 - (+3,853)","100 - (0)","1,677 - (0)","0.72% - (+0.01%)"
"85","October 21, 2020","68,844,749 - (-1,032)","100 - (0)","1,677 - (0)","0.71% - (0.00%)"
"86","October 21, 2020","68,845,781 - (+9,578)","100 - (0)","1,677 - (0)","0.71% - (0.00%)"
"87","October 21, 2020","68,836,203 - (-1,006)","100 - (0)","1,677 - (0)","0.71% - (0.00%)"
"88","October 21, 2020","68,837,209 - (+6,668)","100 - (0)","1,677 - (0)","0.71% - (0.00%)"
"89","October 21, 2020","68,830,541 - (+8,979)","100 - (0)","1,677 - (0)","0.71% - (0.00%)"
"90","October 20, 2020","68,821,562 - (+2,317)","100 - (0)","1,677 - (0)","0.71% - (0.00%)"
"91","October 20, 2020","68,819,245 - (+10,881)","100 - (0)","1,677 - (0)","0.71% - (+0.01%)"
"92","October 20, 2020","68,808,364 - (+2,804)","100 - (0)","1,677 - (0)","0.70% - (0.00%)"
"93","October 19, 2020","68,805,560 - (+10,630)","100 - (0)","1,677 - (0)","0.70% - (+0.01%)"
"94","October 19, 2020","68,794,930 - (+5,142)","100 - (0)","1,677 - (0)","0.69% - (+0.01%)"
"95","October 19, 2020","68,789,788 - (+10,820)","100 - (0)","1,677 - (0)","0.68% - (-0.12%)"
"96","October 18, 2020","68,778,968 - (+8,927)","100 - (0)","1,677 - (0)","0.80% - (+0.16%)"
"97","October 18, 2020","68,770,041 - (+9,924)","100 - (0)","1,677 - (0)","0.64% - (-0.15%)"
"98","October 17, 2020","68,760,117 - (+5,573)","100 - (0)","1,677 - (+1)","0.79% - (+0.01%)"
"99","October 17, 2020","68,754,544 - (+1,929)","100 - (0)","1,676 - (0)","0.78% - (+0.01%)"
"100","October 17, 2020","68,752,615 - (+1,393)","100 - (0)","1,676 - (0)","0.77% - (+0.01%)"
"101","October 17, 2020","68,751,222 - (+9,494)","100 - (0)","1,676 - (+1)","0.76% - (-0.08%)"
"102","October 16, 2020","68,741,728 - (-464)","100 - (0)","1,675 - (0)","0.84% - (+0.06%)"
"103","October 15, 2020","68,742,192 - (+4,559)","100 - (0)","1,675 - (+2)","0.78% - (-0.06%)"
"104","October 15, 2020","68,737,633 - (+2,495)","100 - (0)","1,673 - (0)","0.84% - (+0.01%)"
"105","October 15, 2020","68,735,138 - (+8,374)","100 - (0)","1,673 - (0)","0.83% - (+0.03%)"
"106","October 14, 2020","68,726,764 - (+2,134)","100 - (0)","1,673 - (+1)","0.80% - (-0.12%)"
"107","October 14, 2020","68,724,630 - (+2,511)","100 - (0)","1,672 - (0)","0.92% - (0.00%)"
"108","October 14, 2020","68,722,119 - (+693)","100 - (0)","1,672 - (0)","0.92% - (+0.01%)"
"109","October 13, 2020","68,721,426 - (+4,998)","100 - (0)","1,672 - (0)","0.91% - (0.00%)"
"110","October 13, 2020","68,716,428 - (-2,914)","100 - (0)","1,672 - (0)","0.91% - (0.00%)"
"111","October 13, 2020","68,719,342 - (+11,421)","100 - (0)","1,672 - (+1)","0.91% - (-0.15%)"
"112","October 12, 2020","68,707,921 - (+11,147)","100 - (0)","1,671 - (0)","1.06% - (0.00%)"
"113","October 11, 2020","68,696,774 - (+10,128)","100 - (0)","1,671 - (0)","1.06% - (+0.01%)"
"114","October 10, 2020","68,686,646 - (+1,610)","100 - (0)","1,671 - (0)","1.05% - (0.00%)"
"115","October 10, 2020","68,685,036 - (-797)","100 - (0)","1,671 - (0)","1.05% - (+0.01%)"
"116","October 10, 2020","68,685,833 - (+6,056)","100 - (0)","1,671 - (0)","1.04% - (0.00%)"
"117","October 9, 2020","68,679,777 - (+7,907)","100 - (0)","1,671 - (0)","1.04% - (+0.02%)"
"118","October 9, 2020","68,671,870 - (+2,510)","100 - (0)","1,671 - (0)","1.02% - (+0.01%)"
"119","October 9, 2020","68,669,360 - (+2,607)","100 - (0)","1,671 - (0)","1.01% - (+0.01%)"
"120","October 9, 2020","68,666,753 - (+3,086)","100 - (0)","1,671 - (+2)","1.00% - (-0.65%)"
"121","October 8, 2020","68,663,667 - (+7,735)","100 - (0)","1,669 - (+1)","1.65% - (-0.10%)"
"122","October 8, 2020","68,655,932 - (+1,500)","100 - (0)","1,668 - (0)","1.75% - (0.00%)"
"123","October 8, 2020","68,654,432 - (-2,134)","100 - (0)","1,668 - (0)","1.75% - (0.00%)"
"124","October 7, 2020","68,656,566 - (+6,008)","100 - (0)","1,668 - (0)","1.75% - (+0.02%)"
"125","October 7, 2020","68,650,558 - (+1,734)","100 - (0)","1,668 - (0)","1.73% - (+0.01%)"
"126","October 7, 2020","68,648,824 - (+1,062)","100 - (0)","1,668 - (0)","1.72% - (+0.01%)"
"127","October 7, 2020","68,647,762 - (+2,722)","100 - (0)","1,668 - (+3)","1.71% - (-0.28%)"
"128","October 6, 2020","68,645,040 - (+3,257)","100 - (0)","1,665 - (0)","1.99% - (0.00%)"
"129","October 6, 2020","68,641,783 - (+3,405)","100 - (0)","1,665 - (0)","1.99% - (+0.01%)"
"130","October 5, 2020","68,638,378 - (+2,586)","100 - (0)","1,665 - (0)","1.98% - (+0.01%)"
"131","October 5, 2020","68,635,792 - (-1,665)","100 - (0)","1,665 - (0)","1.97% - (+0.02%)"
"132","October 5, 2020","68,637,457 - (+24,789)","100 - (0)","1,665 - (+2)","1.95% - (-0.23%)"
"133","September 30, 2020","68,612,668 - (-1,371)","100 - (0)","1,663 - (0)","2.18% - (0.00%)"
"134","September 30, 2020","68,614,039 - (+2,859)","100 - (0)","1,663 - (0)","2.18% - (0.00%)"
"135","September 30, 2020","68,611,180 - (-2,144)","100 - (0)","1,663 - (0)","2.18% - (0.00%)"
"136","September 29, 2020","68,613,324 - (+24,978)","100 - (0)","1,663 - (0)","2.18% - (0.00%)"
"137","September 27, 2020","68,588,346 - (+27,784)","100 - (0)","1,663 - (0)","2.18% - (+0.01%)"
"138","September 25, 2020","68,560,562 - (+12,924)","100 - (0)","1,663 - (0)","2.17% - (0.00%)"
