
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 2, 2021","57,425,863 - (+46,599)","671 - (+4)","1,707 - (+1)","2.71% - (+0.05%)"
"2","December 29, 2020","57,379,264 - (+18,091)","667 - (+1)","1,706 - (0)","2.66% - (+0.02%)"
"3","December 28, 2020","57,361,173 - (+8,045)","666 - (+1)","1,706 - (0)","2.64% - (+0.06%)"
"4","December 26, 2020","57,353,128 - (+37,758)","665 - (+4)","1,706 - (+1)","2.58% - (+0.39%)"
"5","December 23, 2020","57,315,370 - (+95,217)","661 - (+11)","1,705 - (+4)","2.19% - (+0.41%)"
"6","December 13, 2020","57,220,153 - (+12,461)","650 - (+1)","1,701 - (+1)","1.78% - (+0.09%)"
"7","December 11, 2020","57,207,692 - (+78,766)","649 - (+3)","1,700 - (0)","1.69% - (+0.01%)"
"8","December 6, 2020","57,128,926 - (+17,263)","646 - (+2)","1,700 - (0)","1.68% - (0.00%)"
"9","December 5, 2020","57,111,663 - (+118,624)","644 - (+7)","1,700 - (+1)","1.68% - (-0.20%)"
"10","November 27, 2020","56,993,039 - (+33,697)","637 - (+5)","1,699 - (0)","1.88% - (+0.01%)"
"11","November 25, 2020","56,959,342 - (+61,467)","632 - (0)","1,699 - (0)","1.87% - (+0.01%)"
"12","November 21, 2020","56,897,875 - (+48,055)","632 - (+3)","1,699 - (0)","1.86% - (+0.02%)"
"13","November 19, 2020","56,849,820 - (+9,481)","629 - (+1)","1,699 - (0)","1.84% - (0.00%)"
"14","November 19, 2020","56,840,339 - (+19,118)","628 - (+1)","1,699 - (0)","1.84% - (+0.07%)"
"15","November 18, 2020","56,821,221 - (+19,558)","627 - (+2)","1,699 - (+1)","1.77% - (+0.10%)"
"16","November 17, 2020","56,801,663 - (+12,265)","625 - (+2)","1,698 - (0)","1.67% - (0.00%)"
"17","November 17, 2020","56,789,398 - (+205)","623 - (0)","1,698 - (0)","1.67% - (0.00%)"
"18","November 16, 2020","56,789,193 - (+11,868)","623 - (0)","1,698 - (0)","1.67% - (0.00%)"
"19","November 16, 2020","56,777,325 - (+9,798)","623 - (0)","1,698 - (0)","1.67% - (0.00%)"
