
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 13, 2021","68,145,717 - (+197,377)","64 - (0)","1,653 - (+2)","1.97% - (-0.01%)"
"2","January 3, 2021","67,948,340 - (+41,686)","64 - (0)","1,651 - (+1)","1.98% - (+0.03%)"
"3","December 30, 2020","67,906,654 - (+32,045)","64 - (0)","1,650 - (0)","1.95% - (+0.01%)"
"4","December 29, 2020","67,874,609 - (+40,493)","64 - (0)","1,650 - (+1)","1.94% - (+0.07%)"
"5","December 26, 2020","67,834,116 - (+16,392)","64 - (0)","1,649 - (0)","1.87% - (0.00%)"
"6","December 25, 2020","67,817,724 - (+42,931)","64 - (0)","1,649 - (0)","1.87% - (+0.01%)"
"7","December 23, 2020","67,774,793 - (+36,648)","64 - (+1)","1,649 - (+1)","1.86% - (+0.07%)"
"8","December 21, 2020","67,738,145 - (+41,080)","63 - (0)","1,648 - (+1)","1.79% - (-0.34%)"
"9","December 18, 2020","67,697,065 - (+31,134)","63 - (0)","1,647 - (0)","2.13% - (0.00%)"
"10","December 16, 2020","67,665,931 - (+297,093)","63 - (0)","1,647 - (+5)","2.13% - (+0.18%)"
"11","December 3, 2020","67,368,838 - (+365,491)","63 - (0)","1,642 - (+4)","1.95% - (+0.29%)"
"12","November 19, 2020","67,003,347 - (+18,611)","63 - (0)","1,638 - (+1)","1.66% - (+0.06%)"
"13","November 18, 2020","66,984,736 - (+23,426)","63 - (0)","1,637 - (+1)","1.60% - (-0.04%)"
"14","November 17, 2020","66,961,310 - (+8,380)","63 - (0)","1,636 - (0)","1.64% - (0.00%)"
"15","November 17, 2020","66,952,930 - (+1,455)","63 - (0)","1,636 - (0)","1.64% - (0.00%)"
"16","November 17, 2020","66,951,475 - (+2,057)","63 - (0)","1,636 - (0)","1.64% - (0.00%)"
"17","November 16, 2020","66,949,418 - (+234)","63 - (0)","1,636 - (0)","1.64% - (+0.01%)"
"18","November 16, 2020","66,949,184 - (+9,475)","63 - (0)","1,636 - (0)","1.63% - (0.00%)"
"19","November 16, 2020","66,939,709 - (-2,196)","63 - (0)","1,636 - (0)","1.63% - (+0.01%)"
"20","November 16, 2020","66,941,905 - (+2,602)","63 - (0)","1,636 - (0)","1.62% - (+0.01%)"
"21","November 16, 2020","66,939,303 - (+7,403)","63 - (0)","1,636 - (0)","1.61% - (+0.03%)"
"22","November 15, 2020","66,931,900 - (+6,876)","63 - (0)","1,636 - (0)","1.58% - (+0.05%)"
"23","November 15, 2020","66,925,024 - (+1,653)","63 - (0)","1,636 - (0)","1.53% - (+0.02%)"
"24","November 15, 2020","66,923,371 - (+1,866)","63 - (0)","1,636 - (0)","1.51% - (+0.11%)"
"25","November 15, 2020","66,921,505 - (-3,191)","63 - (0)","1,636 - (+1)","1.40% - (+0.15%)"
"26","November 14, 2020","66,924,696 - (+5,423)","63 - (0)","1,635 - (0)","1.25% - (0.00%)"
"27","November 14, 2020","66,919,273 - (+6,886)","63 - (0)","1,635 - (0)","1.25% - (0.00%)"
"28","November 14, 2020","66,912,387 - (+9,343)","63 - (0)","1,635 - (0)","1.25% - (0.00%)"
"29","November 13, 2020","66,903,044 - (-6,133)","63 - (0)","1,635 - (0)","1.25% - (0.00%)"
"30","November 13, 2020","66,909,177 - (+6,118)","63 - (0)","1,635 - (0)","1.25% - (0.00%)"
"31","November 13, 2020","66,903,059 - (+2,663)","63 - (0)","1,635 - (0)","1.25% - (0.00%)"
"32","November 13, 2020","66,900,396 - (-2,734)","63 - (0)","1,635 - (0)","1.25% - (0.00%)"
"33","November 13, 2020","66,903,130 - (+9,588)","63 - (0)","1,635 - (0)","1.25% - (0.00%)"
"34","November 12, 2020","66,893,542 - (+2,592)","63 - (0)","1,635 - (0)","1.25% - (0.00%)"
"35","November 12, 2020","66,890,950 - (+15,640)","63 - (0)","1,635 - (0)","1.25% - (0.00%)"
"36","November 12, 2020","66,875,310 - (-2,152)","63 - (0)","1,635 - (0)","1.25% - (0.00%)"
"37","November 12, 2020","66,877,462 - (+9,753)","63 - (0)","1,635 - (0)","1.25% - (0.00%)"
"38","November 12, 2020","66,867,709 - (+21,756)","63 - (0)","1,635 - (0)","1.25% - (0.00%)"
"39","November 10, 2020","66,845,953 - (+6,957)","63 - (0)","1,635 - (0)","1.25% - (0.00%)"
"40","November 10, 2020","66,838,996 - (+3,263)","63 - (0)","1,635 - (0)","1.25% - (0.00%)"
"41","November 10, 2020","66,835,733 - (+10,900)","63 - (0)","1,635 - (0)","1.25% - (0.00%)"
"42","November 10, 2020","66,824,833 - (+17,458)","63 - (0)","1,635 - (0)","1.25% - (+0.01%)"
"43","November 9, 2020","66,807,375 - (+1,899)","63 - (0)","1,635 - (0)","1.24% - (0.00%)"
"44","November 9, 2020","66,805,476 - (+15,629)","63 - (0)","1,635 - (0)","1.24% - (+0.02%)"
"45","November 8, 2020","66,789,847 - (+8,948)","63 - (0)","1,635 - (0)","1.22% - (+0.03%)"
"46","November 8, 2020","66,780,899 - (+4,217)","63 - (0)","1,635 - (0)","1.19% - (+0.03%)"
"47","November 8, 2020","66,776,682 - (+11,947)","63 - (0)","1,635 - (+1)","1.16% - (+0.03%)"
"48","November 7, 2020","66,764,735 - (+49,475)","63 - (0)","1,634 - (0)","1.13% - (+0.01%)"
"49","November 7, 2020","66,715,260 - (+2,541)","63 - (0)","1,634 - (0)","1.12% - (0.00%)"
"50","November 6, 2020","66,712,719 - (+10,827)","63 - (0)","1,634 - (0)","1.12% - (0.00%)"
"51","November 6, 2020","66,701,892 - (+14,327)","63 - (0)","1,634 - (0)","1.12% - (0.00%)"
"52","November 6, 2020","66,687,565 - (+21,967)","63 - (0)","1,634 - (0)","1.12% - (0.00%)"
"53","November 5, 2020","66,665,598 - (-1,424)","63 - (0)","1,634 - (0)","1.12% - (0.00%)"
"54","November 5, 2020","66,667,022 - (+2,361)","63 - (0)","1,634 - (0)","1.12% - (0.00%)"
"55","November 4, 2020","66,664,661 - (+13,172)","63 - (-1)","1,634 - (0)","1.12% - (0.00%)"
"56","November 4, 2020","66,651,489 - (+3,049)","64 - (0)","1,634 - (0)","1.12% - (0.00%)"
"57","November 4, 2020","66,648,440 - (+15,422)","64 - (0)","1,634 - (0)","1.12% - (+0.01%)"
"58","November 3, 2020","66,633,018 - (+9,426)","64 - (0)","1,634 - (0)","1.11% - (+0.01%)"
"59","November 3, 2020","66,623,592 - (+2,010)","64 - (0)","1,634 - (0)","1.10% - (+0.01%)"
"60","November 2, 2020","66,621,582 - (+2,640)","64 - (0)","1,634 - (0)","1.09% - (0.00%)"
"61","November 2, 2020","66,618,942 - (+6,436)","64 - (0)","1,634 - (0)","1.09% - (+0.02%)"
"62","November 2, 2020","66,612,506 - (+10,832)","64 - (0)","1,634 - (+2)","1.07% - (+0.01%)"
