
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 3, 2021","87,123,777 - (+1,259,742)","198 - (0)","1,107 - (+1)","3.64% - (+0.34%)"
"2","December 28, 2020","85,864,035 - (+339,726)","198 - (0)","1,106 - (0)","3.30% - (0.00%)"
"3","December 26, 2020","85,524,309 - (+137,458)","198 - (0)","1,106 - (0)","3.30% - (0.00%)"
"4","December 25, 2020","85,386,851 - (+49,218)","198 - (0)","1,106 - (0)","3.30% - (-0.01%)"
"5","December 25, 2020","85,337,633 - (+418,679)","198 - (0)","1,106 - (0)","3.31% - (0.00%)"
"6","December 22, 2020","84,918,954 - (+466,239)","198 - (0)","1,106 - (0)","3.31% - (0.00%)"
"7","December 20, 2020","84,452,715 - (+1,608,277)","198 - (0)","1,106 - (+15)","3.31% - (+0.32%)"
"8","November 20, 2020","82,844,438 - (+18,447)","198 - (0)","1,091 - (+1)","2.99% - (-0.04%)"
"9","November 19, 2020","82,825,991 - (+9,792)","198 - (0)","1,090 - (0)","3.03% - (0.00%)"
"10","November 19, 2020","82,816,199 - (+40,864)","198 - (0)","1,090 - (+1)","3.03% - (+0.15%)"
"11","November 17, 2020","82,775,335 - (+4,896)","198 - (0)","1,089 - (+2)","2.88% - (-0.11%)"
"12","November 17, 2020","82,770,439 - (-4,846)","198 - (0)","1,087 - (0)","2.99% - (+0.01%)"
"13","November 17, 2020","82,775,285 - (+5,049)","198 - (0)","1,087 - (0)","2.98% - (+0.01%)"
"14","November 16, 2020","82,770,236 - (+8,154)","198 - (0)","1,087 - (0)","2.97% - (+0.01%)"
"15","November 16, 2020","82,762,082 - (+5,939)","198 - (0)","1,087 - (0)","2.96% - (+0.02%)"
"16","November 16, 2020","82,756,143 - (+8,979)","198 - (0)","1,087 - (+1)","2.94% - (-0.22%)"
"17","November 16, 2020","82,747,164 - (+13,361)","198 - (0)","1,086 - (0)","3.16% - (+0.02%)"
"18","November 15, 2020","82,733,803 - (+21,464)","198 - (0)","1,086 - (0)","3.14% - (+0.03%)"
