
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 4, 2021","82,825,085 - (+811,204)","1,537 - (+4)","3,467 - (+1)","5.37% - (+0.83%)"
"2","December 26, 2020","82,013,881 - (+198,048)","1,533 - (0)","3,466 - (0)","4.54% - (-0.01%)"
"3","December 24, 2020","81,815,833 - (+159,448)","1,533 - (0)","3,466 - (0)","4.55% - (0.00%)"
"4","December 21, 2020","81,656,385 - (+221,849)","1,533 - (0)","3,466 - (0)","4.55% - (0.00%)"
"5","December 19, 2020","81,434,536 - (+335,468)","1,533 - (-1)","3,466 - (0)","4.55% - (0.00%)"
"6","December 14, 2020","81,099,068 - (+83,209)","1,534 - (+3)","3,466 - (0)","4.55% - (0.00%)"
"7","December 14, 2020","81,015,859 - (+139,494)","1,531 - (-1)","3,466 - (0)","4.55% - (0.00%)"
"8","December 11, 2020","80,876,365 - (+37,206)","1,532 - (+2)","3,466 - (0)","4.55% - (+0.01%)"
"9","December 9, 2020","80,839,159 - (+22,114)","1,530 - (0)","3,466 - (0)","4.54% - (+0.01%)"
"10","December 8, 2020","80,817,045 - (+124,451)","1,530 - (-1)","3,466 - (+1)","4.53% - (+0.26%)"
"11","December 3, 2020","80,692,594 - (+27,443)","1,531 - (+1)","3,465 - (0)","4.27% - (0.00%)"
"12","December 2, 2020","80,665,151 - (+99,034)","1,530 - (+3)","3,465 - (+2)","4.27% - (-0.51%)"
"13","November 24, 2020","80,566,117 - (+21,468)","1,527 - (0)","3,463 - (0)","4.78% - (+0.01%)"
"14","November 22, 2020","80,544,649 - (+30,963)","1,527 - (+2)","3,463 - (0)","4.77% - (+0.21%)"
"15","November 20, 2020","80,513,686 - (-9,515)","1,525 - (0)","3,463 - (0)","4.56% - (+0.04%)"
"16","November 20, 2020","80,523,201 - (-2,433)","1,525 - (0)","3,463 - (+1)","4.52% - (-0.66%)"
"17","November 20, 2020","80,525,634 - (+11,045)","1,525 - (+1)","3,462 - (0)","5.18% - (+0.37%)"
"18","November 19, 2020","80,514,589 - (+21,100)","1,524 - (+5)","3,462 - (+3)","4.81% - (-1.30%)"
"19","November 17, 2020","80,493,489 - (+11,556)","1,519 - (0)","3,459 - (0)","6.11% - (0.00%)"
"20","November 17, 2020","80,481,933 - (+24,160)","1,519 - (+1)","3,459 - (0)","6.11% - (0.00%)"
"21","November 16, 2020","80,457,773 - (+550)","1,518 - (0)","3,459 - (0)","6.11% - (0.00%)"
