
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 6, 2021","159,885,441 - (+227,400)","0 - (0)","1,939 - (+1)","1.40% - (+0.04%)"
"2","January 4, 2021","159,658,041 - (+2,533,457)","0 - (0)","1,938 - (0)","1.36% - (0.00%)"
"3","December 15, 2020","157,124,584 - (+303,515)","0 - (0)","1,938 - (-2)","1.36% - (0.00%)"
"4","December 13, 2020","156,821,069 - (+93,882)","0 - (0)","1,940 - (0)","1.36% - (0.00%)"
"5","December 9, 2020","156,727,187 - (+7,789)","0 - (0)","1,940 - (0)","1.36% - (0.00%)"
"6","December 8, 2020","156,719,398 - (+299,131)","0 - (0)","1,940 - (0)","1.36% - (+0.01%)"
"7","November 28, 2020","156,420,267 - (+349,512)","0 - (0)","1,940 - (+3)","1.35% - (-0.15%)"
"8","November 17, 2020","156,070,755 - (+60,659)","0 - (0)","1,937 - (0)","1.50% - (0.00%)"
"9","November 16, 2020","156,010,096 - (+18,360)","0 - (0)","1,937 - (0)","1.50% - (0.00%)"
"10","November 16, 2020","155,991,736 - (+48,029)","0 - (0)","1,937 - (0)","1.50% - (+0.01%)"
"11","November 15, 2020","155,943,707 - (+30,533)","0 - (0)","1,937 - (0)","1.49% - (0.00%)"
"12","November 14, 2020","155,913,174 - (+21,125)","0 - (0)","1,937 - (0)","1.49% - (0.00%)"
"13","November 14, 2020","155,892,049 - (+19,558)","0 - (0)","1,937 - (0)","1.49% - (0.00%)"
"14","November 13, 2020","155,872,491 - (+16,790)","0 - (0)","1,937 - (0)","1.49% - (0.00%)"
"15","November 13, 2020","155,855,701 - (+13,355)","0 - (0)","1,937 - (0)","1.49% - (0.00%)"
"16","November 13, 2020","155,842,346 - (+5,064)","0 - (0)","1,937 - (0)","1.49% - (0.00%)"
"17","November 13, 2020","155,837,282 - (-2,754)","0 - (0)","1,937 - (0)","1.49% - (0.00%)"
"18","November 13, 2020","155,840,036 - (+14,302)","0 - (0)","1,937 - (0)","1.49% - (+0.01%)"
"19","November 12, 2020","155,825,734 - (+12,785)","0 - (0)","1,937 - (0)","1.48% - (0.00%)"
"20","November 12, 2020","155,812,949 - (+13,324)","0 - (0)","1,937 - (0)","1.48% - (0.00%)"
"21","November 12, 2020","155,799,625 - (+14,359)","0 - (0)","1,937 - (0)","1.48% - (+0.01%)"
"22","November 12, 2020","155,785,266 - (-486)","0 - (0)","1,937 - (0)","1.47% - (0.00%)"
"23","November 12, 2020","155,785,752 - (+28,769)","0 - (0)","1,937 - (0)","1.47% - (+0.01%)"
"24","November 11, 2020","155,756,983 - (-5,376)","0 - (0)","1,937 - (0)","1.46% - (+0.01%)"
"25","November 11, 2020","155,762,359 - (+18,942)","0 - (0)","1,937 - (0)","1.45% - (+0.04%)"
"26","November 11, 2020","155,743,417 - (-6,202)","0 - (0)","1,937 - (0)","1.41% - (+0.07%)"
"27","November 11, 2020","155,749,619 - (+23,315)","0 - (0)","1,937 - (+3)","1.34% - (-0.15%)"
"28","November 10, 2020","155,726,304 - (+8,154)","0 - (0)","1,934 - (0)","1.49% - (0.00%)"
"29","November 10, 2020","155,718,150 - (+27,876)","0 - (0)","1,934 - (0)","1.49% - (+0.01%)"
"30","November 10, 2020","155,690,274 - (-7,011)","0 - (0)","1,934 - (0)","1.48% - (+0.01%)"
"31","November 10, 2020","155,697,285 - (+25,281)","0 - (0)","1,934 - (0)","1.47% - (+0.03%)"
"32","November 9, 2020","155,672,004 - (+7,698)","0 - (0)","1,934 - (0)","1.44% - (+0.02%)"
"33","November 9, 2020","155,664,306 - (+14,739)","0 - (0)","1,934 - (0)","1.42% - (+0.18%)"
"34","November 9, 2020","155,649,567 - (+6,845)","0 - (0)","1,934 - (+3)","1.24% - (-0.51%)"
"35","November 9, 2020","155,642,722 - (+23,780)","0 - (0)","1,931 - (0)","1.75% - (+0.02%)"
"36","November 8, 2020","155,618,942 - (+19,535)","0 - (0)","1,931 - (0)","1.73% - (+0.05%)"
"37","November 8, 2020","155,599,407 - (+20,352)","0 - (0)","1,931 - (+4)","1.68% - (-0.02%)"
"38","November 7, 2020","155,579,055 - (+22,251)","0 - (0)","1,927 - (0)","1.70% - (+0.04%)"
"39","November 7, 2020","155,556,804 - (+3,775)","0 - (0)","1,927 - (0)","1.66% - (+0.02%)"
"40","November 7, 2020","155,553,029 - (-10,223)","0 - (0)","1,927 - (0)","1.64% - (+0.03%)"
"41","November 7, 2020","155,563,252 - (+16,641)","0 - (0)","1,927 - (0)","1.61% - (+0.07%)"
"42","November 7, 2020","155,546,611 - (+18,915)","0 - (0)","1,927 - (+2)","1.54% - (-0.02%)"
"43","November 6, 2020","155,527,696 - (+19,206)","0 - (0)","1,925 - (0)","1.56% - (0.00%)"
"44","November 6, 2020","155,508,490 - (+5,110)","0 - (0)","1,925 - (0)","1.56% - (0.00%)"
"45","November 6, 2020","155,503,380 - (+10,258)","0 - (0)","1,925 - (0)","1.56% - (0.00%)"
