
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","December 26, 2020","248,589,877 - (+3,026,027)","461 - (0)","2,964 - (+11)","2.35% - (+0.10%)"
"2","December 14, 2020","245,563,850 - (+290,803)","461 - (0)","2,953 - (+2)","2.25% - (-0.47%)"
"3","December 13, 2020","245,273,047 - (+300,905)","461 - (0)","2,951 - (0)","2.72% - (+0.01%)"
"4","December 11, 2020","244,972,142 - (+1,553,330)","461 - (0)","2,951 - (+9)","2.71% - (+0.24%)"
"5","November 28, 2020","243,418,812 - (+149,703)","461 - (0)","2,942 - (+1)","2.47% - (+0.05%)"
"6","November 26, 2020","243,269,109 - (+400,555)","461 - (-1)","2,941 - (+3)","2.42% - (+0.45%)"
"7","November 23, 2020","242,868,554 - (+38,582)","462 - (0)","2,938 - (0)","1.97% - (0.00%)"
"8","November 23, 2020","242,829,972 - (+172,916)","462 - (0)","2,938 - (+3)","1.97% - (+0.08%)"
"9","November 20, 2020","242,657,056 - (+202,527)","462 - (+2)","2,935 - (+1)","1.89% - (-0.03%)"
"10","November 18, 2020","242,454,529 - (+58,151)","460 - (0)","2,934 - (+1)","1.92% - (-0.16%)"
"11","November 17, 2020","242,396,378 - (+35,405)","460 - (0)","2,933 - (0)","2.08% - (+0.03%)"
"12","November 17, 2020","242,360,973 - (+53,508)","460 - (0)","2,933 - (+1)","2.05% - (-0.21%)"
"13","November 16, 2020","242,307,465 - (+13,134)","460 - (0)","2,932 - (0)","2.26% - (0.00%)"
"14","November 16, 2020","242,294,331 - (+18,270)","460 - (+1)","2,932 - (0)","2.26% - (+0.01%)"
"15","November 16, 2020","242,276,061 - (+71,811)","459 - (0)","2,932 - (0)","2.25% - (+0.02%)"
"16","November 15, 2020","242,204,250 - (+41,180)","459 - (0)","2,932 - (+1)","2.23% - (-0.22%)"
"17","November 14, 2020","242,163,070 - (+69,543)","459 - (0)","2,931 - (0)","2.45% - (+0.05%)"
"18","November 13, 2020","242,093,527 - (+9,643)","459 - (0)","2,931 - (0)","2.40% - (+0.01%)"
"19","November 13, 2020","242,083,884 - (+58,079)","459 - (0)","2,931 - (+1)","2.39% - (-0.20%)"
"20","November 13, 2020","242,025,805 - (+19,298)","459 - (0)","2,930 - (0)","2.59% - (+0.03%)"
"21","November 12, 2020","242,006,507 - (+39,906)","459 - (0)","2,930 - (0)","2.56% - (+0.14%)"
"22","November 12, 2020","241,966,601 - (+95,125)","459 - (0)","2,930 - (+2)","2.42% - (-0.52%)"
"23","November 11, 2020","241,871,476 - (+35,673)","459 - (0)","2,928 - (0)","2.94% - (+0.02%)"
"24","November 11, 2020","241,835,803 - (+6,490)","459 - (0)","2,928 - (0)","2.92% - (0.00%)"
"25","November 10, 2020","241,829,313 - (+33,593)","459 - (0)","2,928 - (0)","2.92% - (+0.05%)"
"26","November 10, 2020","241,795,720 - (+10,736)","459 - (0)","2,928 - (+1)","2.87% - (-0.41%)"
"27","November 10, 2020","241,784,984 - (+20,006)","459 - (0)","2,927 - (0)","3.28% - (0.00%)"
"28","November 10, 2020","241,764,978 - (+23,050)","459 - (0)","2,927 - (0)","3.28% - (+0.01%)"
"29","November 9, 2020","241,741,928 - (+55,416)","459 - (0)","2,927 - (0)","3.27% - (+0.01%)"
"30","November 9, 2020","241,686,512 - (+121,677)","459 - (0)","2,927 - (+1)","3.26% - (-0.31%)"
"31","November 8, 2020","241,564,835 - (+2,092)","459 - (0)","2,926 - (0)","3.57% - (+0.01%)"
"32","November 7, 2020","241,562,743 - (+3,638)","459 - (0)","2,926 - (0)","3.56% - (0.00%)"
"33","November 7, 2020","241,559,105 - (+2,615)","459 - (0)","2,926 - (0)","3.56% - (0.00%)"
"34","November 7, 2020","241,556,490 - (+4,655)","459 - (0)","2,926 - (0)","3.56% - (+0.01%)"
"35","November 6, 2020","241,551,835 - (+11,016)","459 - (0)","2,926 - (0)","3.55% - (+0.02%)"
"36","November 6, 2020","241,540,819 - (-13,695)","459 - (0)","2,926 - (+1)","3.53% - (-0.38%)"
"37","November 6, 2020","241,554,514 - (+7,903)","459 - (0)","2,925 - (0)","3.91% - (+0.01%)"
"38","November 5, 2020","241,546,611 - (+6,636)","459 - (0)","2,925 - (0)","3.90% - (+0.01%)"
"39","November 5, 2020","241,539,975 - (-5,567)","459 - (0)","2,925 - (+1)","3.89% - (-0.19%)"
"40","November 4, 2020","241,545,542 - (+10,645)","459 - (0)","2,924 - (0)","4.08% - (+0.01%)"
"41","November 4, 2020","241,534,897 - (-12,341)","459 - (0)","2,924 - (0)","4.07% - (+0.01%)"
"42","November 4, 2020","241,547,238 - (+2,110)","459 - (0)","2,924 - (0)","4.06% - (+0.01%)"
"43","November 3, 2020","241,545,128 - (-7,032)","459 - (0)","2,924 - (+1)","4.05% - (-0.19%)"
"44","November 3, 2020","241,552,160 - (+1,822)","459 - (0)","2,923 - (0)","4.24% - (0.00%)"
"45","November 3, 2020","241,550,338 - (+3,387)","459 - (0)","2,923 - (0)","4.24% - (+0.02%)"
"46","November 3, 2020","241,546,951 - (+2,114)","459 - (0)","2,923 - (0)","4.22% - (+0.02%)"
"47","November 3, 2020","241,544,837 - (+5,770)","459 - (0)","2,923 - (+1)","4.20% - (+0.04%)"
"48","November 2, 2020","241,539,067 - (+18,432)","459 - (0)","2,922 - (+1)","4.16% - (+0.01%)"
"49","November 1, 2020","241,520,635 - (-10,306)","459 - (0)","2,921 - (0)","4.15% - (0.00%)"
"50","November 1, 2020","241,530,941 - (+20,368)","459 - (0)","2,921 - (0)","4.15% - (+0.01%)"
"51","November 1, 2020","241,510,573 - (-15,174)","459 - (0)","2,921 - (0)","4.14% - (0.00%)"
"52","October 31, 2020","241,525,747 - (+2,400)","459 - (0)","2,921 - (0)","4.14% - (0.00%)"
"53","October 31, 2020","241,523,347 - (-1,655)","459 - (0)","2,921 - (0)","4.14% - (+0.05%)"
"54","October 31, 2020","241,525,002 - (+13,897)","459 - (0)","2,921 - (0)","4.09% - (+0.11%)"
"55","October 30, 2020","241,511,105 - (-2,555)","459 - (0)","2,921 - (0)","3.98% - (+0.08%)"
"56","October 30, 2020","241,513,660 - (-22,790)","459 - (0)","2,921 - (+1)","3.90% - (-0.01%)"
"57","October 30, 2020","241,536,450 - (+1,070)","459 - (0)","2,920 - (0)","3.91% - (0.00%)"
"58","October 30, 2020","241,535,380 - (+18,879)","459 - (0)","2,920 - (0)","3.91% - (+0.03%)"
"59","October 29, 2020","241,516,501 - (+7,050)","459 - (0)","2,920 - (0)","3.88% - (+0.02%)"
