
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 3, 2021","65,234,842 - (+7,868)","502 - (0)","1,285 - (0)","1.69% - (+0.01%)"
"2","January 2, 2021","65,226,974 - (+7,064)","502 - (0)","1,285 - (+1)","1.68% - (-0.26%)"
"3","December 30, 2020","65,219,910 - (+7,593)","502 - (+2)","1,284 - (+1)","1.94% - (+0.11%)"
"4","December 26, 2020","65,212,317 - (+4,012)","500 - (0)","1,283 - (+1)","1.83% - (+0.28%)"
"5","December 24, 2020","65,208,305 - (+35,319)","500 - (+6)","1,282 - (+2)","1.55% - (0.00%)"
"6","December 14, 2020","65,172,986 - (+4,613)","494 - (0)","1,280 - (0)","1.55% - (0.00%)"
"7","December 14, 2020","65,168,373 - (+5,497)","494 - (0)","1,280 - (0)","1.55% - (0.00%)"
"8","December 13, 2020","65,162,876 - (+54,565)","494 - (+1)","1,280 - (+1)","1.55% - (+0.12%)"
"9","December 8, 2020","65,108,311 - (+50,387)","493 - (+1)","1,279 - (0)","1.43% - (0.00%)"
"10","December 5, 2020","65,057,924 - (+104,135)","492 - (0)","1,279 - (+5)","1.43% - (+0.37%)"
"11","November 28, 2020","64,953,789 - (+42,182)","492 - (0)","1,274 - (+2)","1.06% - (+0.32%)"
"12","November 25, 2020","64,911,607 - (+10,165)","492 - (0)","1,272 - (0)","0.74% - (0.00%)"
"13","November 22, 2020","64,901,442 - (+35,519)","492 - (-21)","1,272 - (+6)","0.74% - (-0.42%)"
"14","November 16, 2020","64,865,923 - (-373)","513 - (0)","1,266 - (0)","1.16% - (0.00%)"
"15","November 15, 2020","64,866,296 - (+555)","513 - (0)","1,266 - (0)","1.16% - (0.00%)"
"16","November 15, 2020","64,865,741 - (-5,498)","513 - (0)","1,266 - (+1)","1.16% - (-0.08%)"
"17","November 14, 2020","64,871,239 - (+8,470)","513 - (0)","1,265 - (0)","1.24% - (0.00%)"
"18","November 14, 2020","64,862,769 - (-6,641)","513 - (+1)","1,265 - (0)","1.24% - (0.00%)"
"19","November 13, 2020","64,869,410 - (+6,921)","512 - (0)","1,265 - (0)","1.24% - (0.00%)"
"20","November 13, 2020","64,862,489 - (-5,093)","512 - (0)","1,265 - (0)","1.24% - (0.00%)"
"21","November 13, 2020","64,867,582 - (+3,436)","512 - (0)","1,265 - (0)","1.24% - (0.00%)"
"22","November 12, 2020","64,864,146 - (+1,760)","512 - (0)","1,265 - (+1)","1.24% - (-0.19%)"
"23","November 11, 2020","64,862,386 - (+5,202)","512 - (0)","1,264 - (0)","1.43% - (+0.06%)"
"24","November 10, 2020","64,857,184 - (+2,478)","512 - (0)","1,264 - (+1)","1.37% - (-0.01%)"
"25","November 10, 2020","64,854,706 - (+4,271)","512 - (0)","1,263 - (0)","1.38% - (0.00%)"
"26","November 9, 2020","64,850,435 - (-1,968)","512 - (0)","1,263 - (0)","1.38% - (+0.01%)"
"27","November 9, 2020","64,852,403 - (+2,109)","512 - (0)","1,263 - (0)","1.37% - (0.00%)"
"28","November 9, 2020","64,850,294 - (-1,413)","512 - (0)","1,263 - (0)","1.37% - (+0.03%)"
"29","November 8, 2020","64,851,707 - (+2,313)","512 - (0)","1,263 - (0)","1.34% - (+0.02%)"
"30","November 8, 2020","64,849,394 - (+2,280)","512 - (+2)","1,263 - (+1)","1.32% - (-0.06%)"
"31","November 8, 2020","64,847,114 - (-6,390)","510 - (0)","1,262 - (0)","1.38% - (0.00%)"
"32","November 7, 2020","64,853,504 - (+11,736)","510 - (0)","1,262 - (0)","1.38% - (0.00%)"
"33","November 7, 2020","64,841,768 - (+6,532)","510 - (0)","1,262 - (0)","1.38% - (0.00%)"
"34","November 6, 2020","64,835,236 - (+3,779)","510 - (0)","1,262 - (0)","1.38% - (0.00%)"
"35","November 6, 2020","64,831,457 - (-1,716)","510 - (+1)","1,262 - (0)","1.38% - (0.00%)"
"36","November 6, 2020","64,833,173 - (+5,742)","509 - (0)","1,262 - (0)","1.38% - (0.00%)"
