
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 6, 2021","73,896,882 - (+67,116)","2,401 - (+1)","5,036 - (0)","1.83% - (+0.01%)"
"2","January 4, 2021","73,829,766 - (+350,231)","2,400 - (+5)","5,036 - (0)","1.82% - (+0.02%)"
"3","December 28, 2020","73,479,535 - (+60,290)","2,395 - (+1)","5,036 - (0)","1.80% - (0.00%)"
"4","December 26, 2020","73,419,245 - (+77,627)","2,394 - (-4)","5,036 - (0)","1.80% - (0.00%)"
"5","December 25, 2020","73,341,618 - (+121,865)","2,398 - (+1)","5,036 - (0)","1.80% - (0.00%)"
"6","December 22, 2020","73,219,753 - (+412,125)","2,397 - (+13)","5,036 - (+3)","1.80% - (-0.04%)"
"7","December 14, 2020","72,807,628 - (+121,562)","2,384 - (-1)","5,033 - (+2)","1.84% - (-0.01%)"
"8","December 7, 2020","72,686,066 - (+84,386)","2,385 - (+12)","5,031 - (+6)","1.85% - (-0.16%)"
"9","November 27, 2020","72,601,680 - (-1,552)","2,373 - (+1)","5,025 - (0)","2.01% - (+0.01%)"
"10","November 26, 2020","72,603,232 - (+32,175)","2,372 - (+9)","5,025 - (+2)","2.00% - (+0.15%)"
"11","November 20, 2020","72,571,057 - (-11,329)","2,363 - (+5)","5,023 - (0)","1.85% - (0.00%)"
"12","November 19, 2020","72,582,386 - (+4,571)","2,358 - (-1)","5,023 - (0)","1.85% - (+0.01%)"
"13","November 17, 2020","72,577,815 - (+1,223)","2,359 - (+1)","5,023 - (0)","1.84% - (0.00%)"
"14","November 16, 2020","72,576,592 - (+4,218)","2,358 - (-1)","5,023 - (0)","1.84% - (0.00%)"
"15","November 16, 2020","72,572,374 - (+2,240)","2,359 - (+3)","5,023 - (0)","1.84% - (0.00%)"
"16","November 15, 2020","72,570,134 - (-422)","2,356 - (0)","5,023 - (0)","1.84% - (0.00%)"
"17","November 15, 2020","72,570,556 - (+5,674)","2,356 - (0)","5,023 - (0)","1.84% - (0.00%)"
"18","November 15, 2020","72,564,882 - (+5,470)","2,356 - (0)","5,023 - (0)","1.84% - (0.00%)"
"19","November 14, 2020","72,559,412 - (-1,692)","2,356 - (0)","5,023 - (0)","1.84% - (0.00%)"
"20","November 14, 2020","72,561,104 - (-5,462)","2,356 - (+3)","5,023 - (0)","1.84% - (0.00%)"
"21","November 13, 2020","72,566,566 - (+7,869)","2,353 - (-1)","5,023 - (0)","1.84% - (+0.01%)"
"22","November 12, 2020","72,558,697 - (-5,319)","2,354 - (0)","5,023 - (0)","1.83% - (0.00%)"
"23","November 12, 2020","72,564,016 - (+978)","2,354 - (0)","5,023 - (0)","1.83% - (0.00%)"
"24","November 12, 2020","72,563,038 - (+4,947)","2,354 - (-2)","5,023 - (0)","1.83% - (+0.02%)"
"25","November 11, 2020","72,558,091 - (-7,000)","2,356 - (+1)","5,023 - (+1)","1.81% - (-0.18%)"
"26","November 10, 2020","72,565,091 - (+1,704)","2,355 - (+1)","5,022 - (0)","1.99% - (+0.02%)"
"27","November 10, 2020","72,563,387 - (+10,621)","2,354 - (0)","5,022 - (+1)","1.97% - (-0.17%)"
"28","November 9, 2020","72,552,766 - (-4,432)","2,354 - (0)","5,021 - (0)","2.14% - (0.00%)"
"29","November 9, 2020","72,557,198 - (+1,102)","2,354 - (0)","5,021 - (0)","2.14% - (0.00%)"
"30","November 9, 2020","72,556,096 - (+217)","2,354 - (0)","5,021 - (0)","2.14% - (+0.01%)"
"31","November 8, 2020","72,555,879 - (+6,563)","2,354 - (0)","5,021 - (0)","2.13% - (0.00%)"
"32","November 8, 2020","72,549,316 - (-7,155)","2,354 - (+1)","5,021 - (0)","2.13% - (0.00%)"
"33","November 8, 2020","72,556,471 - (+1,236)","2,353 - (0)","5,021 - (0)","2.13% - (0.00%)"
"34","November 8, 2020","72,555,235 - (+50)","2,353 - (0)","5,021 - (0)","2.13% - (0.00%)"
"35","November 8, 2020","72,555,185 - (-77)","2,353 - (0)","5,021 - (0)","2.13% - (0.00%)"
"36","November 8, 2020","72,555,262 - (+173)","2,353 - (+3)","5,021 - (0)","2.13% - (0.00%)"
"37","November 7, 2020","72,555,089 - (+1,567)","2,350 - (0)","5,021 - (0)","2.13% - (0.00%)"
"38","November 7, 2020","72,553,522 - (+5,484)","2,350 - (+1)","5,021 - (0)","2.13% - (0.00%)"
"39","November 6, 2020","72,548,038 - (+4,442)","2,349 - (0)","5,021 - (0)","2.13% - (0.00%)"
"40","November 6, 2020","72,543,596 - (-7,269)","2,349 - (0)","5,021 - (0)","2.13% - (0.00%)"
"41","November 6, 2020","72,550,865 - (+2,841)","2,349 - (0)","5,021 - (0)","2.13% - (0.00%)"
"42","November 6, 2020","72,548,024 - (+5,060)","2,349 - (0)","5,021 - (0)","2.13% - (+0.01%)"
"43","November 5, 2020","72,542,964 - (-172)","2,349 - (-3)","5,021 - (0)","2.12% - (0.00%)"
"44","November 5, 2020","72,543,136 - (+1,811)","2,352 - (0)","5,021 - (0)","2.12% - (0.00%)"
"45","November 4, 2020","72,541,325 - (+1,513)","2,352 - (0)","5,021 - (0)","2.12% - (0.00%)"
"46","November 4, 2020","72,539,812 - (+2,258)","2,352 - (0)","5,021 - (0)","2.12% - (0.00%)"
"47","November 3, 2020","72,537,554 - (+526)","2,352 - (0)","5,021 - (0)","2.12% - (0.00%)"
"48","November 3, 2020","72,537,028 - (+2,197)","2,352 - (0)","5,021 - (0)","2.12% - (0.00%)"
"49","November 2, 2020","72,534,831 - (+1,203)","2,352 - (0)","5,021 - (0)","2.12% - (0.00%)"
"50","November 2, 2020","72,533,628 - (+4,934)","2,352 - (0)","5,021 - (0)","2.12% - (0.00%)"
"51","November 2, 2020","72,528,694 - (+1,323)","2,352 - (0)","5,021 - (0)","2.12% - (0.00%)"
"52","November 2, 2020","72,527,371 - (+6,357)","2,352 - (+1)","5,021 - (0)","2.12% - (0.00%)"
"53","November 1, 2020","72,521,014 - (-2,549)","2,351 - (0)","5,021 - (0)","2.12% - (0.00%)"
"54","November 1, 2020","72,523,563 - (+3,055)","2,351 - (0)","5,021 - (0)","2.12% - (0.00%)"
"55","November 1, 2020","72,520,508 - (+4,124)","2,351 - (+1)","5,021 - (0)","2.12% - (+0.01%)"
"56","November 1, 2020","72,516,384 - (+6,402)","2,350 - (-1)","5,021 - (0)","2.11% - (0.00%)"
"57","October 31, 2020","72,509,982 - (-4,015)","2,351 - (0)","5,021 - (0)","2.11% - (0.00%)"
"58","October 31, 2020","72,513,997 - (+3,437)","2,351 - (0)","5,021 - (0)","2.11% - (0.00%)"
"59","October 30, 2020","72,510,560 - (+7,642)","2,351 - (0)","5,021 - (0)","2.11% - (0.00%)"
"60","October 30, 2020","72,502,918 - (-6,539)","2,351 - (+2)","5,021 - (0)","2.11% - (0.00%)"
"61","October 30, 2020","72,509,457 - (+922)","2,349 - (-1)","5,021 - (0)","2.11% - (0.00%)"
"62","October 30, 2020","72,508,535 - (+8,948)","2,350 - (+1)","5,021 - (0)","2.11% - (0.00%)"
"63","October 30, 2020","72,499,587 - (-5,966)","2,349 - (+1)","5,021 - (0)","2.11% - (0.00%)"
"64","October 30, 2020","72,505,553 - (+2,331)","2,348 - (0)","5,021 - (0)","2.11% - (0.00%)"
"65","October 29, 2020","72,503,222 - (+1,641)","2,348 - (0)","5,021 - (0)","2.11% - (+0.01%)"
"66","October 29, 2020","72,501,581 - (+4,754)","2,348 - (0)","5,021 - (0)","2.10% - (0.00%)"
"67","October 29, 2020","72,496,827 - (+1,033)","2,348 - (0)","5,021 - (0)","2.10% - (0.00%)"
"68","October 29, 2020","72,495,794 - (+975)","2,348 - (0)","5,021 - (0)","2.10% - (0.00%)"
"69","October 29, 2020","72,494,819 - (-4,265)","2,348 - (0)","5,021 - (0)","2.10% - (0.00%)"
"70","October 29, 2020","72,499,084 - (+7,163)","2,348 - (0)","5,021 - (0)","2.10% - (0.00%)"
"71","October 28, 2020","72,491,921 - (-1,011)","2,348 - (0)","5,021 - (0)","2.10% - (+0.01%)"
"72","October 28, 2020","72,492,932 - (+1,599)","2,348 - (0)","5,021 - (0)","2.09% - (0.00%)"
"73","October 28, 2020","72,491,333 - (+9,734)","2,348 - (0)","5,021 - (0)","2.09% - (+0.01%)"
"74","October 27, 2020","72,481,599 - (-918)","2,348 - (0)","5,021 - (0)","2.08% - (+0.04%)"
"75","October 27, 2020","72,482,517 - (-6,217)","2,348 - (0)","5,021 - (0)","2.04% - (+0.02%)"
"76","October 27, 2020","72,488,734 - (+1,236)","2,348 - (+1)","5,021 - (0)","2.02% - (+0.05%)"
"77","October 27, 2020","72,487,498 - (+2,026)","2,347 - (0)","5,021 - (+2)","1.97% - (-0.09%)"
"78","October 26, 2020","72,485,472 - (+9,434)","2,347 - (0)","5,019 - (0)","2.06% - (0.00%)"
"79","October 26, 2020","72,476,038 - (+8,266)","2,347 - (+1)","5,019 - (0)","2.06% - (+0.13%)"
"80","October 26, 2020","72,467,772 - (-3,296)","2,346 - (0)","5,019 - (0)","1.93% - (+0.06%)"
"81","October 26, 2020","72,471,068 - (+11,068)","2,346 - (0)","5,019 - (+1)","1.87% - (-0.02%)"
"82","October 25, 2020","72,460,000 - (+13,375)","2,346 - (0)","5,018 - (0)","1.89% - (+0.01%)"
"83","October 25, 2020","72,446,625 - (+5,298)","2,346 - (0)","5,018 - (0)","1.88% - (+0.01%)"
"84","October 25, 2020","72,441,327 - (+44,693)","2,346 - (+3)","5,018 - (+1)","1.87% - (+0.04%)"
"85","October 24, 2020","72,396,634 - (+12,893)","2,343 - (0)","5,017 - (0)","1.83% - (0.00%)"
"86","October 24, 2020","72,383,741 - (+16,676)","2,343 - (0)","5,017 - (0)","1.83% - (+0.01%)"
