
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 1, 2021","93,097,555 - (+145,223)","415 - (0)","9,220 - (+3)","0.13% - (-0.03%)"
"2","December 28, 2020","92,952,332 - (+65,185)","415 - (0)","9,217 - (+1)","0.16% - (-0.05%)"
"3","December 27, 2020","92,887,147 - (+151,657)","415 - (0)","9,216 - (+3)","0.21% - (-0.02%)"
"4","December 23, 2020","92,735,490 - (+24,923)","415 - (0)","9,213 - (0)","0.23% - (+0.01%)"
"5","December 23, 2020","92,710,567 - (+76,871)","415 - (0)","9,213 - (+1)","0.22% - (+0.01%)"
"6","December 21, 2020","92,633,696 - (+129,039)","415 - (0)","9,212 - (+2)","0.21% - (-0.26%)"
"7","December 19, 2020","92,504,657 - (+156,889)","415 - (0)","9,210 - (+5)","0.47% - (+0.02%)"
"8","December 16, 2020","92,347,768 - (+98,722)","415 - (0)","9,205 - (+17)","0.45% - (+0.22%)"
"9","December 7, 2020","92,249,046 - (+15,449)","415 - (-1)","9,188 - (+20)","0.23% - (+0.10%)"
"10","November 25, 2020","92,233,597 - (+8,696)","416 - (+2)","9,168 - (+13)","0.13% - (+0.03%)"
"11","November 19, 2020","92,224,901 - (+3,857)","414 - (-1)","9,155 - (+8)","0.10% - (-0.11%)"
"12","November 17, 2020","92,221,044 - (+4,859)","415 - (0)","9,147 - (0)","0.21% - (0.00%)"
"13","November 17, 2020","92,216,185 - (-4,680)","415 - (0)","9,147 - (0)","0.21% - (+0.01%)"
"14","November 16, 2020","92,220,865 - (+5,139)","415 - (0)","9,147 - (+2)","0.20% - (-0.06%)"
"15","November 16, 2020","92,215,726 - (+6,236)","415 - (0)","9,145 - (0)","0.26% - (0.00%)"
"16","November 16, 2020","92,209,490 - (+5,754)","415 - (0)","9,145 - (0)","0.26% - (0.00%)"
"17","November 16, 2020","92,203,736 - (+1,760)","415 - (0)","9,145 - (0)","0.26% - (0.00%)"
"18","November 15, 2020","92,201,976 - (+7,519)","415 - (0)","9,145 - (0)","0.26% - (+0.01%)"
"19","November 14, 2020","92,194,457 - (+1,847)","415 - (0)","9,145 - (0)","0.25% - (+0.01%)"
"20","November 14, 2020","92,192,610 - (+6,107)","415 - (0)","9,145 - (0)","0.24% - (+0.01%)"
"21","November 14, 2020","92,186,503 - (-11,645)","415 - (0)","9,145 - (+1)","0.23% - (+0.01%)"
"22","November 13, 2020","92,198,148 - (+9,465)","415 - (0)","9,144 - (+2)","0.22% - (+0.01%)"
"23","November 13, 2020","92,188,683 - (-9,759)","415 - (+1)","9,142 - (+5)","0.21% - (-0.04%)"
