posting_date,num_followers,influencer
2018-10-14,153813262.0233023,Cristiano Ronaldo
2018-10-16,154000967.23795122,Cristiano Ronaldo
2018-10-17,154094905.72721863,Cristiano Ronaldo
2018-10-18,154188901.51768303,Cristiano Ronaldo
2018-10-19,154282954.64429742,Cristiano Ronaldo
2018-10-20,154377065.14203605,Cristiano Ronaldo
2018-10-22,154565458.3908898,Cristiano Ronaldo
2018-10-23,154659741.21206018,Cristiano Ronaldo
2018-10-24,154754081.54446536,Cristiano Ronaldo
2018-10-27,155037447.9600073,Cristiano Ronaldo
2018-10-29,155226647.1035997,Cristiano Ronaldo
2018-10-31,155416077.13538334,Cristiano Ronaldo
2018-11-01,155510878.82238448,Cristiano Ronaldo
2018-11-02,155605738.33712146,Cristiano Ronaldo
2018-11-03,155700655.71486843,Cristiano Ronaldo
2018-11-04,155795630.99092105,Cristiano Ronaldo
2018-11-06,155985755.3792335,Cristiano Ronaldo
2018-11-08,156176111.7848548,Cristiano Ronaldo
2018-11-09,156271377.08262435,Cristiano Ronaldo
2018-11-11,156462082.04520646,Cristiano Ronaldo
2018-11-12,156557521.7809339,Cristiano Ronaldo
2018-11-13,156653019.73359817,Cristiano Ronaldo
2018-11-14,156748575.9387109,Cristiano Ronaldo
2018-11-15,156844190.43180525,Cristiano Ronaldo
2018-11-16,156939863.24843612,Cristiano Ronaldo
2018-11-17,157035594.42418003,Cristiano Ronaldo
2018-11-19,157227231.9954218,Cristiano Ronaldo
2018-11-20,157323138.46218133,Cristiano Ronaldo
2018-11-22,157515126.93629497,Cristiano Ronaldo
2018-11-23,157611209.0150412,Cristiano Ronaldo
2018-11-24,157707349.7025448,Cristiano Ronaldo
2018-11-25,157803549.03455636,Cristiano Ronaldo
2018-11-26,157899807.04684815,Cristiano Ronaldo
2018-11-28,158092499.25547102,Cristiano Ronaldo
2018-11-30,158285426.6150289,Cristiano Ronaldo
2018-12-01,158381978.56607142,Cristiano Ronaldo
2018-12-05,158768775.68333542,Cristiano Ronaldo
2018-12-07,158962528.33331618,Cristiano Ronaldo
