
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 8, 2021","110,376,117 - (+447,742)","635 - (-1)","1,705 - (+1)","0.45% - (-0.01%)"
"2","January 2, 2021","109,928,375 - (+143,650)","636 - (-1)","1,704 - (+2)","0.46% - (+0.05%)"
"3","December 31, 2020","109,784,725 - (+37,104)","637 - (+1)","1,702 - (0)","0.41% - (0.00%)"
"4","December 30, 2020","109,747,621 - (+152,863)","636 - (0)","1,702 - (+1)","0.41% - (0.00%)"
"5","December 28, 2020","109,594,758 - (+42,506)","636 - (-1)","1,701 - (0)","0.41% - (0.00%)"
"6","December 28, 2020","109,552,252 - (+167,958)","637 - (0)","1,701 - (0)","0.41% - (+0.01%)"
"7","December 26, 2020","109,384,294 - (+936,095)","637 - (0)","1,701 - (+15)","0.40% - (-0.37%)"
"8","December 12, 2020","108,448,199 - (+19,268)","637 - (0)","1,686 - (0)","0.77% - (0.00%)"
"9","December 12, 2020","108,428,931 - (+4,423)","637 - (0)","1,686 - (0)","0.77% - (0.00%)"
"10","December 11, 2020","108,424,508 - (+27,941)","637 - (0)","1,686 - (0)","0.77% - (+0.01%)"
"11","December 10, 2020","108,396,567 - (+93,905)","637 - (+3)","1,686 - (+3)","0.76% - (+0.17%)"
"12","December 5, 2020","108,302,662 - (+153,750)","634 - (+4)","1,683 - (+6)","0.59% - (-0.10%)"
"13","November 28, 2020","108,148,912 - (-39,608)","630 - (0)","1,677 - (+1)","0.69% - (-0.01%)"
"14","November 27, 2020","108,188,520 - (+87,221)","630 - (+6)","1,676 - (+4)","0.70% - (+0.32%)"
"15","November 18, 2020","108,101,299 - (+15,694)","624 - (0)","1,672 - (0)","0.38% - (+0.02%)"
"16","November 17, 2020","108,085,605 - (-3,730)","624 - (0)","1,672 - (+1)","0.36% - (+0.02%)"
"17","November 17, 2020","108,089,335 - (+887)","624 - (0)","1,671 - (0)","0.34% - (+0.01%)"
"18","November 17, 2020","108,088,448 - (+675)","624 - (0)","1,671 - (0)","0.33% - (+0.01%)"
"19","November 16, 2020","108,087,773 - (+1,740)","624 - (0)","1,671 - (0)","0.32% - (+0.03%)"
"20","November 16, 2020","108,086,033 - (-1,656)","624 - (0)","1,671 - (+1)","0.29% - (+0.01%)"
"21","November 16, 2020","108,087,689 - (+6,311)","624 - (0)","1,670 - (0)","0.28% - (0.00%)"
"22","November 15, 2020","108,081,378 - (+11,669)","624 - (0)","1,670 - (0)","0.28% - (0.00%)"
"23","November 15, 2020","108,069,709 - (-6,448)","624 - (0)","1,670 - (0)","0.28% - (0.00%)"
"24","November 15, 2020","108,076,157 - (+21,845)","624 - (0)","1,670 - (0)","0.28% - (+0.01%)"
"25","November 14, 2020","108,054,312 - (+2,791)","624 - (0)","1,670 - (0)","0.27% - (0.00%)"
"26","November 13, 2020","108,051,521 - (+921)","624 - (0)","1,670 - (+1)","0.27% - (0.00%)"
"27","November 12, 2020","108,050,600 - (+4,748)","624 - (0)","1,669 - (0)","0.27% - (0.00%)"
"28","November 12, 2020","108,045,852 - (+11,025)","624 - (0)","1,669 - (0)","0.27% - (0.00%)"
"29","November 11, 2020","108,034,827 - (+12,401)","624 - (0)","1,669 - (0)","0.27% - (0.00%)"
"30","November 11, 2020","108,022,426 - (-3,687)","624 - (0)","1,669 - (0)","0.27% - (0.00%)"
"31","November 10, 2020","108,026,113 - (+8,404)","624 - (0)","1,669 - (0)","0.27% - (0.00%)"
"32","November 10, 2020","108,017,709 - (+7,803)","624 - (0)","1,669 - (0)","0.27% - (0.00%)"
"33","November 10, 2020","108,009,906 - (+1,860)","624 - (0)","1,669 - (0)","0.27% - (0.00%)"
"34","November 10, 2020","108,008,046 - (-712)","624 - (+1)","1,669 - (0)","0.27% - (0.00%)"
"35","November 9, 2020","108,008,758 - (+10,791)","623 - (0)","1,669 - (0)","0.27% - (0.00%)"
"36","November 9, 2020","107,997,967 - (-1,180)","623 - (+1)","1,669 - (0)","0.27% - (0.00%)"
"37","November 9, 2020","107,999,147 - (+1,832)","622 - (0)","1,669 - (0)","0.27% - (+0.01%)"
"38","November 9, 2020","107,997,315 - (+11,951)","622 - (0)","1,669 - (0)","0.26% - (0.00%)"
"39","November 8, 2020","107,985,364 - (-7,111)","622 - (0)","1,669 - (0)","0.26% - (0.00%)"
"40","November 8, 2020","107,992,475 - (+95)","622 - (0)","1,669 - (+1)","0.26% - (0.00%)"
"41","November 7, 2020","107,992,380 - (+5,089)","622 - (0)","1,668 - (0)","0.26% - (0.00%)"
"42","November 7, 2020","107,987,291 - (+2,650)","622 - (0)","1,668 - (0)","0.26% - (+0.01%)"
"43","November 7, 2020","107,984,641 - (+4,114)","622 - (0)","1,668 - (0)","0.25% - (0.00%)"
"44","November 7, 2020","107,980,527 - (+10,290)","622 - (0)","1,668 - (0)","0.25% - (0.00%)"
"45","November 6, 2020","107,970,237 - (+2,542)","622 - (0)","1,668 - (0)","0.25% - (0.00%)"
"46","November 6, 2020","107,967,695 - (+3,950)","622 - (0)","1,668 - (0)","0.25% - (0.00%)"
"47","November 6, 2020","107,963,745 - (-5,249)","622 - (0)","1,668 - (0)","0.25% - (+0.01%)"
"48","November 6, 2020","107,968,994 - (+2,253)","622 - (0)","1,668 - (+1)","0.24% - (-0.02%)"
"49","November 6, 2020","107,966,741 - (+11,148)","622 - (0)","1,667 - (+2)","0.26% - (-0.05%)"
"50","November 5, 2020","107,955,593 - (+4,601)","622 - (0)","1,665 - (0)","0.31% - (0.00%)"
"51","November 4, 2020","107,950,992 - (+14,620)","622 - (0)","1,665 - (0)","0.31% - (+0.01%)"
"52","November 4, 2020","107,936,372 - (+3,215)","622 - (0)","1,665 - (+2)","0.30% - (0.00%)"
"53","November 3, 2020","107,933,157 - (-5,312)","622 - (0)","1,663 - (0)","0.30% - (+0.01%)"
"54","November 3, 2020","107,938,469 - (+10,580)","622 - (0)","1,663 - (0)","0.29% - (0.00%)"
"55","November 3, 2020","107,927,889 - (+2,250)","622 - (0)","1,663 - (+1)","0.29% - (0.00%)"
"56","November 3, 2020","107,925,639 - (-6,981)","622 - (0)","1,662 - (0)","0.29% - (0.00%)"
"57","November 3, 2020","107,932,620 - (+11,859)","622 - (0)","1,662 - (+1)","0.29% - (0.00%)"
"58","November 2, 2020","107,920,761 - (-2,193)","622 - (0)","1,661 - (0)","0.29% - (0.00%)"
"59","November 2, 2020","107,922,954 - (+4,476)","622 - (0)","1,661 - (0)","0.29% - (0.00%)"
"60","November 1, 2020","107,918,478 - (+11,924)","622 - (0)","1,661 - (0)","0.29% - (0.00%)"
"61","November 1, 2020","107,906,554 - (+13,441)","622 - (0)","1,661 - (0)","0.29% - (+0.01%)"
"62","October 31, 2020","107,893,113 - (+2,012)","622 - (0)","1,661 - (0)","0.28% - (0.00%)"
"63","October 31, 2020","107,891,101 - (+664)","622 - (0)","1,661 - (0)","0.28% - (+0.01%)"
"64","October 31, 2020","107,890,437 - (-6,958)","622 - (0)","1,661 - (+1)","0.27% - (-0.07%)"
"65","October 30, 2020","107,897,395 - (+1,420)","622 - (0)","1,660 - (0)","0.34% - (0.00%)"
"66","October 30, 2020","107,895,975 - (+16,396)","622 - (0)","1,660 - (0)","0.34% - (+0.01%)"
"67","October 29, 2020","107,879,579 - (-4,120)","622 - (0)","1,660 - (+1)","0.33% - (-0.18%)"
"68","October 29, 2020","107,883,699 - (-129)","622 - (+1)","1,659 - (0)","0.51% - (+0.03%)"
"69","October 28, 2020","107,883,828 - (+8,544)","621 - (+1)","1,659 - (+1)","0.48% - (+0.02%)"
"70","October 28, 2020","107,875,284 - (-2,227)","620 - (0)","1,658 - (+2)","0.46% - (+0.03%)"
"71","October 27, 2020","107,877,511 - (+12,034)","620 - (0)","1,656 - (0)","0.43% - (0.00%)"
"72","October 27, 2020","107,865,477 - (-3,536)","620 - (0)","1,656 - (0)","0.43% - (0.00%)"
"73","October 27, 2020","107,869,013 - (-4,096)","620 - (0)","1,656 - (0)","0.43% - (0.00%)"
"74","October 27, 2020","107,873,109 - (+16,478)","620 - (0)","1,656 - (0)","0.43% - (0.00%)"
"75","October 27, 2020","107,856,631 - (-1,417)","620 - (0)","1,656 - (0)","0.43% - (0.00%)"
"76","October 26, 2020","107,858,048 - (+7,182)","620 - (0)","1,656 - (0)","0.43% - (0.00%)"
"77","October 26, 2020","107,850,866 - (+17,106)","620 - (0)","1,656 - (0)","0.43% - (+0.02%)"
"78","October 25, 2020","107,833,760 - (+7,446)","620 - (0)","1,656 - (+1)","0.41% - (-0.01%)"
"79","October 25, 2020","107,826,314 - (+9,988)","620 - (0)","1,655 - (0)","0.42% - (+0.01%)"
"80","October 25, 2020","107,816,326 - (+2,876)","620 - (0)","1,655 - (0)","0.41% - (0.00%)"
"81","October 24, 2020","107,813,450 - (+2,036)","620 - (0)","1,655 - (0)","0.41% - (0.00%)"
"82","October 24, 2020","107,811,414 - (+1,876)","620 - (0)","1,655 - (0)","0.41% - (0.00%)"
"83","October 24, 2020","107,809,538 - (+10,506)","620 - (0)","1,655 - (+1)","0.41% - (-0.01%)"
"84","October 23, 2020","107,799,032 - (+2,793)","620 - (0)","1,654 - (0)","0.42% - (0.00%)"
"85","October 23, 2020","107,796,239 - (-2,099)","620 - (0)","1,654 - (0)","0.42% - (+0.01%)"
"86","October 23, 2020","107,798,338 - (+11,067)","620 - (+1)","1,654 - (0)","0.41% - (+0.03%)"
"87","October 22, 2020","107,787,271 - (+2,395)","619 - (0)","1,654 - (+1)","0.38% - (+0.01%)"
"88","October 21, 2020","107,784,876 - (+4,840)","619 - (0)","1,653 - (0)","0.37% - (0.00%)"
"89","October 21, 2020","107,780,036 - (+3,512)","619 - (0)","1,653 - (0)","0.37% - (0.00%)"
