
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 2, 2021","146,174,785 - (+1,006,291)","225 - (0)","3,011 - (+2)","4.33% - (+0.08%)"
"2","December 26, 2020","145,168,494 - (+1,142,242)","225 - (0)","3,009 - (+2)","4.25% - (+0.19%)"
"3","December 17, 2020","144,026,252 - (+613,495)","225 - (+1)","3,007 - (-6)","4.06% - (-0.32%)"
"4","December 11, 2020","143,412,757 - (+70,040)","224 - (0)","3,013 - (0)","4.38% - (0.00%)"
"5","December 9, 2020","143,342,717 - (+69,992)","224 - (0)","3,013 - (0)","4.38% - (+0.01%)"
"6","December 8, 2020","143,272,725 - (+637,521)","224 - (0)","3,013 - (0)","4.37% - (+0.12%)"
"7","November 30, 2020","142,635,204 - (+66,055)","224 - (0)","3,013 - (+1)","4.25% - (+0.12%)"
"8","November 25, 2020","142,569,149 - (+133,404)","224 - (0)","3,012 - (-1)","4.13% - (+0.21%)"
"9","November 22, 2020","142,435,745 - (+44,158)","224 - (+1)","3,013 - (0)","3.92% - (+0.31%)"
"10","November 20, 2020","142,391,587 - (+8,892)","223 - (0)","3,013 - (+1)","3.61% - (-0.16%)"
"11","November 19, 2020","142,382,695 - (+31,113)","223 - (0)","3,012 - (0)","3.77% - (0.00%)"
"12","November 19, 2020","142,351,582 - (+30,983)","223 - (0)","3,012 - (0)","3.77% - (0.00%)"
"13","November 18, 2020","142,320,599 - (+42,610)","223 - (0)","3,012 - (0)","3.77% - (0.00%)"
"14","November 17, 2020","142,277,989 - (+17,194)","223 - (0)","3,012 - (0)","3.77% - (0.00%)"
"15","November 17, 2020","142,260,795 - (+19,212)","223 - (0)","3,012 - (0)","3.77% - (0.00%)"
"16","November 16, 2020","142,241,583 - (+15,335)","223 - (0)","3,012 - (0)","3.77% - (0.00%)"
"17","November 16, 2020","142,226,248 - (+391)","223 - (0)","3,012 - (0)","3.77% - (0.00%)"
"18","November 16, 2020","142,225,857 - (+40,280)","223 - (0)","3,012 - (0)","3.77% - (0.00%)"
"19","November 15, 2020","142,185,577 - (+2,747)","223 - (0)","3,012 - (0)","3.77% - (0.00%)"
"20","November 15, 2020","142,182,830 - (+4,124)","223 - (0)","3,012 - (0)","3.77% - (0.00%)"
"21","November 15, 2020","142,178,706 - (+30,640)","223 - (0)","3,012 - (0)","3.77% - (0.00%)"
"22","November 14, 2020","142,148,066 - (+6,180)","223 - (0)","3,012 - (0)","3.77% - (+0.01%)"
"23","November 14, 2020","142,141,886 - (+10,711)","223 - (0)","3,012 - (0)","3.76% - (0.00%)"
"24","November 14, 2020","142,131,175 - (+17,627)","223 - (+1)","3,012 - (0)","3.76% - (0.00%)"
"25","November 13, 2020","142,113,548 - (+25,963)","222 - (0)","3,012 - (0)","3.76% - (0.00%)"
"26","November 13, 2020","142,087,585 - (+8,530)","222 - (0)","3,012 - (0)","3.76% - (0.00%)"
"27","November 12, 2020","142,079,055 - (+30,524)","222 - (0)","3,012 - (0)","3.76% - (0.00%)"
"28","November 12, 2020","142,048,531 - (+2,421)","222 - (0)","3,012 - (0)","3.76% - (0.00%)"
"29","November 12, 2020","142,046,110 - (+34,137)","222 - (0)","3,012 - (0)","3.76% - (0.00%)"
"30","November 11, 2020","142,011,973 - (+27,463)","222 - (0)","3,012 - (0)","3.76% - (0.00%)"
"31","November 11, 2020","141,984,510 - (+17,316)","222 - (0)","3,012 - (0)","3.76% - (0.00%)"
"32","November 10, 2020","141,967,194 - (+8,074)","222 - (0)","3,012 - (0)","3.76% - (0.00%)"
"33","November 10, 2020","141,959,120 - (+26,761)","222 - (0)","3,012 - (0)","3.76% - (0.00%)"
"34","November 10, 2020","141,932,359 - (+24,995)","222 - (0)","3,012 - (0)","3.76% - (+0.01%)"
"35","November 9, 2020","141,907,364 - (+87,842)","222 - (+1)","3,012 - (0)","3.75% - (-0.17%)"
"36","November 7, 2020","141,819,522 - (+12,947)","221 - (0)","3,012 - (0)","3.92% - (0.00%)"
"37","November 7, 2020","141,806,575 - (+38,765)","221 - (0)","3,012 - (0)","3.92% - (0.00%)"
"38","November 6, 2020","141,767,810 - (+28,182)","221 - (0)","3,012 - (-1)","3.92% - (0.00%)"
"39","November 6, 2020","141,739,628 - (+10,271)","221 - (0)","3,013 - (0)","3.92% - (+0.01%)"
"40","November 6, 2020","141,729,357 - (+25,654)","221 - (0)","3,013 - (0)","3.91% - (0.00%)"
"41","November 5, 2020","141,703,703 - (+64,893)","221 - (0)","3,013 - (0)","3.91% - (+0.01%)"
"42","November 4, 2020","141,638,810 - (+70,987)","221 - (0)","3,013 - (0)","3.90% - (+0.03%)"
"43","November 4, 2020","141,567,823 - (+67,150)","221 - (0)","3,013 - (0)","3.87% - (+0.03%)"
"44","November 3, 2020","141,500,673 - (+34,094)","221 - (-1)","3,013 - (0)","3.84% - (+0.19%)"
"45","November 3, 2020","141,466,579 - (+997)","222 - (0)","3,013 - (+1)","3.65% - (-0.20%)"
"46","November 2, 2020","141,465,582 - (+6,286)","222 - (0)","3,012 - (0)","3.85% - (+0.01%)"
"47","November 2, 2020","141,459,296 - (+15,979)","222 - (0)","3,012 - (0)","3.84% - (+0.02%)"
"48","November 2, 2020","141,443,317 - (+25,077)","222 - (0)","3,012 - (0)","3.82% - (+0.11%)"
"49","November 2, 2020","141,418,240 - (+35,094)","222 - (0)","3,012 - (+1)","3.71% - (-0.11%)"
"50","November 1, 2020","141,383,146 - (+62,398)","222 - (0)","3,011 - (0)","3.82% - (+0.10%)"
"51","November 1, 2020","141,320,748 - (+58,765)","222 - (0)","3,011 - (+1)","3.72% - (-0.25%)"
"52","October 31, 2020","141,261,983 - (+13,840)","222 - (0)","3,010 - (0)","3.97% - (0.00%)"
"53","October 31, 2020","141,248,143 - (+7,982)","222 - (0)","3,010 - (0)","3.97% - (0.00%)"
"54","October 31, 2020","141,240,161 - (+36,028)","222 - (0)","3,010 - (0)","3.97% - (0.00%)"
"55","October 30, 2020","141,204,133 - (+59,173)","222 - (0)","3,010 - (0)","3.97% - (+0.05%)"
"56","October 29, 2020","141,144,960 - (+21,196)","222 - (0)","3,010 - (0)","3.92% - (+0.04%)"
"57","October 29, 2020","141,123,764 - (+19,885)","222 - (0)","3,010 - (+1)","3.88% - (+0.09%)"
"58","October 28, 2020","141,103,879 - (+27,779)","222 - (0)","3,009 - (-1)","3.79% - (+0.17%)"
"59","October 27, 2020","141,076,100 - (-6,570)","222 - (0)","3,010 - (0)","3.62% - (0.00%)"
"60","October 27, 2020","141,082,670 - (+9,824)","222 - (0)","3,010 - (0)","3.62% - (+0.01%)"
"61","October 26, 2020","141,072,846 - (+14,474)","222 - (+1)","3,010 - (0)","3.61% - (0.00%)"
"62","October 26, 2020","141,058,372 - (+17,819)","221 - (0)","3,010 - (0)","3.61% - (0.00%)"
"63","October 26, 2020","141,040,553 - (+47,725)","221 - (0)","3,010 - (0)","3.61% - (+0.01%)"
"64","October 25, 2020","140,992,828 - (+3,123)","221 - (0)","3,010 - (0)","3.60% - (+0.01%)"
"65","October 24, 2020","140,989,705 - (+17,149)","221 - (0)","3,010 - (0)","3.59% - (+0.01%)"
"66","October 24, 2020","140,972,556 - (+10,945)","221 - (0)","3,010 - (0)","3.58% - (+0.02%)"
"67","October 24, 2020","140,961,611 - (-6,589)","221 - (0)","3,010 - (0)","3.56% - (+0.04%)"
"68","October 24, 2020","140,968,200 - (+20,330)","221 - (0)","3,010 - (0)","3.52% - (+0.02%)"
"69","October 24, 2020","140,947,870 - (-8,731)","221 - (0)","3,010 - (+1)","3.50% - (-0.27%)"
"70","October 23, 2020","140,956,601 - (+5,789)","221 - (0)","3,009 - (0)","3.77% - (0.00%)"
"71","October 23, 2020","140,950,812 - (+14,157)","221 - (0)","3,009 - (0)","3.77% - (0.00%)"
"72","October 23, 2020","140,936,655 - (+19,443)","221 - (0)","3,009 - (0)","3.77% - (0.00%)"
"73","October 23, 2020","140,917,212 - (+7,220)","221 - (0)","3,009 - (0)","3.77% - (+0.01%)"
"74","October 23, 2020","140,909,992 - (+18,799)","221 - (0)","3,009 - (0)","3.76% - (0.00%)"
"75","October 22, 2020","140,891,193 - (+19,582)","221 - (0)","3,009 - (0)","3.76% - (0.00%)"
"76","October 22, 2020","140,871,611 - (+8,005)","221 - (0)","3,009 - (0)","3.76% - (0.00%)"
"77","October 22, 2020","140,863,606 - (+29,953)","221 - (0)","3,009 - (0)","3.76% - (+0.01%)"
"78","October 21, 2020","140,833,653 - (+22,109)","221 - (0)","3,009 - (0)","3.75% - (0.00%)"
"79","October 21, 2020","140,811,544 - (-10,988)","221 - (0)","3,009 - (0)","3.75% - (+0.01%)"
"80","October 20, 2020","140,822,532 - (+17,874)","221 - (0)","3,009 - (0)","3.74% - (+0.01%)"
"81","October 20, 2020","140,804,658 - (+18,141)","221 - (0)","3,009 - (0)","3.73% - (+0.02%)"
"82","October 20, 2020","140,786,517 - (+5,416)","221 - (0)","3,009 - (0)","3.71% - (+0.01%)"
"83","October 20, 2020","140,781,101 - (-6,204)","221 - (0)","3,009 - (0)","3.70% - (+0.04%)"
"84","October 19, 2020","140,787,305 - (+24,476)","221 - (0)","3,009 - (+1)","3.66% - (-0.11%)"
"85","October 19, 2020","140,762,829 - (+18,603)","221 - (0)","3,008 - (0)","3.77% - (0.00%)"
"86","October 19, 2020","140,744,226 - (-4,277)","221 - (0)","3,008 - (0)","3.77% - (0.00%)"
"87","October 18, 2020","140,748,503 - (+11,013)","221 - (0)","3,008 - (0)","3.77% - (0.00%)"
"88","October 18, 2020","140,737,490 - (+38,361)","221 - (0)","3,008 - (0)","3.77% - (+0.01%)"
"89","October 18, 2020","140,699,129 - (-6,925)","221 - (0)","3,008 - (0)","3.76% - (+0.01%)"
