
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 6, 2021","102,064,660 - (+283,628)","765 - (+2)","7,149 - (+6)","0.45% - (-0.11%)"
"2","January 1, 2021","101,781,032 - (+3,544)","763 - (-1)","7,143 - (0)","0.56% - (0.00%)"
"3","January 1, 2021","101,777,488 - (+177,308)","764 - (0)","7,143 - (0)","0.56% - (+0.01%)"
"4","December 29, 2020","101,600,180 - (+117,817)","764 - (+1)","7,143 - (+1)","0.55% - (+0.03%)"
"5","December 27, 2020","101,482,363 - (+419,417)","763 - (+5)","7,142 - (+8)","0.52% - (+0.24%)"
"6","December 21, 2020","101,062,946 - (+499,510)","758 - (+2)","7,134 - (+12)","0.28% - (-0.02%)"
"7","December 14, 2020","100,563,436 - (+40,496)","756 - (+1)","7,122 - (+1)","0.30% - (0.00%)"
"8","December 14, 2020","100,522,940 - (+144,226)","755 - (+1)","7,121 - (+12)","0.30% - (+0.07%)"
"9","December 9, 2020","100,378,714 - (+230,235)","754 - (+16)","7,109 - (+42)","0.23% - (-0.07%)"
"10","November 22, 2020","100,148,479 - (+64,966)","738 - (+5)","7,067 - (+16)","0.30% - (+0.03%)"
"11","November 17, 2020","100,083,513 - (+9,407)","733 - (+1)","7,051 - (+1)","0.27% - (+0.05%)"
"12","November 17, 2020","100,074,106 - (+7,292)","732 - (0)","7,050 - (+2)","0.22% - (+0.02%)"
"13","November 16, 2020","100,066,814 - (+3,308)","732 - (+1)","7,048 - (+3)","0.20% - (-0.08%)"
"14","November 16, 2020","100,063,506 - (+8,447)","731 - (0)","7,045 - (0)","0.28% - (+0.01%)"
"15","November 15, 2020","100,055,059 - (+8,329)","731 - (0)","7,045 - (0)","0.27% - (+0.03%)"
"16","November 15, 2020","100,046,730 - (+9,409)","731 - (0)","7,045 - (+3)","0.24% - (-0.09%)"
"17","November 14, 2020","100,037,321 - (+9,254)","731 - (0)","7,042 - (+1)","0.33% - (+0.01%)"
"18","November 13, 2020","100,028,067 - (+3,509)","731 - (0)","7,041 - (+5)","0.32% - (-0.02%)"
"19","November 12, 2020","100,024,558 - (-3,194)","731 - (0)","7,036 - (+2)","0.34% - (+0.02%)"
"20","November 11, 2020","100,027,752 - (+3,619)","731 - (0)","7,034 - (+1)","0.32% - (-0.02%)"
"21","November 11, 2020","100,024,133 - (+4,948)","731 - (0)","7,033 - (+1)","0.34% - (-0.01%)"
"22","November 11, 2020","100,019,185 - (+8,996)","731 - (0)","7,032 - (0)","0.35% - (+0.03%)"
"23","November 10, 2020","100,010,189 - (-4,895)","731 - (0)","7,032 - (+1)","0.32% - (-0.17%)"
"24","November 10, 2020","100,015,084 - (+3,633)","731 - (0)","7,031 - (+1)","0.49% - (0.00%)"
"25","November 10, 2020","100,011,451 - (+6,674)","731 - (0)","7,030 - (0)","0.49% - (+0.01%)"
"26","November 10, 2020","100,004,777 - (-4,162)","731 - (0)","7,030 - (+1)","0.48% - (-0.07%)"
"27","November 9, 2020","100,008,939 - (+4,842)","731 - (+1)","7,029 - (0)","0.55% - (0.00%)"
"28","November 9, 2020","100,004,097 - (+1,544)","730 - (+1)","7,029 - (+1)","0.55% - (-0.02%)"
"29","November 9, 2020","100,002,553 - (+1,480)","729 - (0)","7,028 - (0)","0.57% - (0.00%)"
"30","November 9, 2020","100,001,073 - (+7,756)","729 - (0)","7,028 - (-1)","0.57% - (-0.04%)"
"31","November 8, 2020","99,993,317 - (+1,761)","729 - (-1)","7,029 - (0)","0.61% - (0.00%)"
"32","November 8, 2020","99,991,556 - (-17,156)","730 - (+1)","7,029 - (0)","0.61% - (+0.02%)"
"33","November 7, 2020","100,008,712 - (-791)","729 - (0)","7,029 - (+1)","0.59% - (+0.03%)"
