
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 4, 2021","76,514,842 - (+147,922)","365 - (+1)","2,114 - (0)","2.87% - (+0.04%)"
"2","January 3, 2021","76,366,920 - (+438,882)","364 - (+3)","2,114 - (+4)","2.83% - (+0.25%)"
"3","December 28, 2020","75,928,038 - (+29,612)","361 - (0)","2,110 - (0)","2.58% - (+0.06%)"
"4","December 28, 2020","75,898,426 - (+94,535)","361 - (-1)","2,110 - (+1)","2.52% - (+0.15%)"
"5","December 27, 2020","75,803,891 - (+187,759)","362 - (0)","2,109 - (+2)","2.37% - (+0.06%)"
"6","December 24, 2020","75,616,132 - (+570,572)","362 - (+3)","2,107 - (+5)","2.31% - (+0.13%)"
"7","December 15, 2020","75,045,560 - (+121,990)","359 - (+1)","2,102 - (+2)","2.18% - (-0.19%)"
"8","December 13, 2020","74,923,570 - (+43,641)","358 - (0)","2,100 - (0)","2.37% - (+0.01%)"
"9","December 13, 2020","74,879,929 - (-3,806)","358 - (0)","2,100 - (0)","2.36% - (0.00%)"
"10","December 13, 2020","74,883,735 - (+113,852)","358 - (-1)","2,100 - (+2)","2.36% - (+0.02%)"
"11","December 7, 2020","74,769,883 - (+11,871)","359 - (0)","2,098 - (0)","2.34% - (+0.01%)"
"12","December 6, 2020","74,758,012 - (+17,742)","359 - (0)","2,098 - (0)","2.33% - (0.00%)"
"13","December 5, 2020","74,740,270 - (+70,315)","359 - (-1)","2,098 - (+1)","2.33% - (-0.20%)"
"14","December 2, 2020","74,669,955 - (+105,610)","360 - (+2)","2,097 - (0)","2.53% - (+0.28%)"
"15","November 26, 2020","74,564,345 - (+42,714)","358 - (0)","2,097 - (+1)","2.25% - (-0.08%)"
"16","November 23, 2020","74,521,631 - (+52,918)","358 - (0)","2,096 - (0)","2.33% - (+0.01%)"
"17","November 20, 2020","74,468,713 - (+24,379)","358 - (0)","2,096 - (+1)","2.32% - (-0.07%)"
"18","November 18, 2020","74,444,334 - (+3,902)","358 - (0)","2,095 - (0)","2.39% - (0.00%)"
"19","November 18, 2020","74,440,432 - (+23,989)","358 - (+1)","2,095 - (0)","2.39% - (+0.01%)"
"20","November 16, 2020","74,416,443 - (+10,547)","357 - (0)","2,095 - (0)","2.38% - (0.00%)"
"21","November 16, 2020","74,405,896 - (+15,116)","357 - (0)","2,095 - (0)","2.38% - (+0.05%)"
"22","November 15, 2020","74,390,780 - (+2,685)","357 - (0)","2,095 - (0)","2.33% - (+0.02%)"
"23","November 15, 2020","74,388,095 - (+8,836)","357 - (0)","2,095 - (+1)","2.31% - (+0.24%)"
"24","November 14, 2020","74,379,259 - (+6,631)","357 - (+1)","2,094 - (0)","2.07% - (0.00%)"
"25","November 13, 2020","74,372,628 - (+19,119)","356 - (0)","2,094 - (0)","2.07% - (+0.01%)"
"26","November 13, 2020","74,353,509 - (+1,693)","356 - (-1)","2,094 - (0)","2.06% - (+0.01%)"
"27","November 12, 2020","74,351,816 - (+19,743)","357 - (0)","2,094 - (+1)","2.05% - (-0.30%)"
"28","November 12, 2020","74,332,073 - (+6,232)","357 - (0)","2,093 - (0)","2.35% - (0.00%)"
"29","November 11, 2020","74,325,841 - (+10,792)","357 - (0)","2,093 - (0)","2.35% - (0.00%)"
"30","November 11, 2020","74,315,049 - (+16,353)","357 - (0)","2,093 - (0)","2.35% - (0.00%)"
"31","November 10, 2020","74,298,696 - (+23,189)","357 - (0)","2,093 - (0)","2.35% - (+0.01%)"
"32","November 9, 2020","74,275,507 - (+11,006)","357 - (0)","2,093 - (0)","2.34% - (0.00%)"
"33","November 9, 2020","74,264,501 - (+5,545)","357 - (-1)","2,093 - (0)","2.34% - (0.00%)"
"34","November 9, 2020","74,258,956 - (+17,125)","358 - (0)","2,093 - (0)","2.34% - (+0.08%)"
"35","November 8, 2020","74,241,831 - (-17,200)","358 - (0)","2,093 - (+1)","2.26% - (-0.27%)"
"36","November 7, 2020","74,259,031 - (+41,142)","358 - (+1)","2,092 - (+1)","2.53% - (+0.10%)"
"37","November 6, 2020","74,217,889 - (+12,673)","357 - (0)","2,091 - (+1)","2.43% - (-0.46%)"
"38","November 6, 2020","74,205,216 - (+21,179)","357 - (0)","2,090 - (0)","2.89% - (+0.01%)"
"39","November 5, 2020","74,184,037 - (+4,184)","357 - (0)","2,090 - (0)","2.88% - (0.00%)"
"40","November 5, 2020","74,179,853 - (-8,290)","357 - (0)","2,090 - (0)","2.88% - (0.00%)"
"41","November 5, 2020","74,188,143 - (+1,954)","357 - (0)","2,090 - (0)","2.88% - (+0.01%)"
"42","November 5, 2020","74,186,189 - (+3,194)","357 - (0)","2,090 - (0)","2.87% - (+0.02%)"
"43","November 4, 2020","74,182,995 - (+5,529)","357 - (0)","2,090 - (+1)","2.85% - (-0.58%)"
"44","November 4, 2020","74,177,466 - (+15,937)","357 - (0)","2,089 - (0)","3.43% - (+0.02%)"
"45","November 3, 2020","74,161,529 - (+12,074)","357 - (0)","2,089 - (0)","3.41% - (+0.06%)"
"46","November 3, 2020","74,149,455 - (-12,736)","357 - (-1)","2,089 - (+1)","3.35% - (-0.16%)"
"47","November 2, 2020","74,162,191 - (+11,044)","358 - (0)","2,088 - (0)","3.51% - (+0.01%)"
"48","November 2, 2020","74,151,147 - (+6,919)","358 - (0)","2,088 - (0)","3.50% - (0.00%)"
"49","November 2, 2020","74,144,228 - (+3,653)","358 - (0)","2,088 - (0)","3.50% - (0.00%)"
"50","November 2, 2020","74,140,575 - (+4,527)","358 - (0)","2,088 - (0)","3.50% - (0.00%)"
"51","November 1, 2020","74,136,048 - (+6,493)","358 - (0)","2,088 - (0)","3.50% - (+0.01%)"
"52","November 1, 2020","74,129,555 - (+18,282)","358 - (+1)","2,088 - (+1)","3.49% - (-0.04%)"
"53","October 31, 2020","74,111,273 - (+6,778)","357 - (0)","2,087 - (0)","3.53% - (0.00%)"
"54","October 31, 2020","74,104,495 - (+8,811)","357 - (0)","2,087 - (0)","3.53% - (0.00%)"
"55","October 31, 2020","74,095,684 - (+4,370)","357 - (0)","2,087 - (0)","3.53% - (+0.01%)"
"56","October 31, 2020","74,091,314 - (+4,779)","357 - (0)","2,087 - (0)","3.52% - (+0.01%)"
"57","October 30, 2020","74,086,535 - (+11,609)","357 - (0)","2,087 - (0)","3.51% - (+0.02%)"
"58","October 30, 2020","74,074,926 - (+29,992)","357 - (0)","2,087 - (+1)","3.49% - (-0.19%)"
"59","October 28, 2020","74,044,934 - (+24,097)","357 - (0)","2,086 - (+1)","3.68% - (+0.13%)"
"60","October 28, 2020","74,020,837 - (+214)","357 - (0)","2,085 - (+1)","3.55% - (-0.34%)"
"61","October 27, 2020","74,020,623 - (+18,774)","357 - (0)","2,084 - (0)","3.89% - (0.00%)"
"62","October 27, 2020","74,001,849 - (+8,897)","357 - (0)","2,084 - (0)","3.89% - (0.00%)"
"63","October 27, 2020","73,992,952 - (+14,481)","357 - (0)","2,084 - (0)","3.89% - (0.00%)"
"64","October 26, 2020","73,978,471 - (-231)","357 - (0)","2,084 - (0)","3.89% - (0.00%)"
"65","October 26, 2020","73,978,702 - (+9,798)","357 - (0)","2,084 - (0)","3.89% - (0.00%)"
"66","October 26, 2020","73,968,904 - (+3,864)","357 - (0)","2,084 - (0)","3.89% - (0.00%)"
"67","October 26, 2020","73,965,040 - (-1,950)","357 - (0)","2,084 - (0)","3.89% - (+0.01%)"
"68","October 25, 2020","73,966,990 - (+7,261)","357 - (0)","2,084 - (0)","3.88% - (0.00%)"
"69","October 25, 2020","73,959,729 - (+13,127)","357 - (0)","2,084 - (0)","3.88% - (0.00%)"
"70","October 25, 2020","73,946,602 - (-1,996)","357 - (+1)","2,084 - (0)","3.88% - (0.00%)"
"71","October 25, 2020","73,948,598 - (+8,447)","356 - (0)","2,084 - (0)","3.88% - (+0.01%)"
"72","October 24, 2020","73,940,151 - (+12,591)","356 - (0)","2,084 - (0)","3.87% - (+0.01%)"
"73","October 24, 2020","73,927,560 - (+6,141)","356 - (0)","2,084 - (0)","3.86% - (+0.01%)"
"74","October 24, 2020","73,921,419 - (+2,396)","356 - (0)","2,084 - (+1)","3.85% - (-0.11%)"
"75","October 23, 2020","73,919,023 - (+8,347)","356 - (0)","2,083 - (0)","3.96% - (0.00%)"
"76","October 23, 2020","73,910,676 - (+12,869)","356 - (0)","2,083 - (0)","3.96% - (0.00%)"
"77","October 23, 2020","73,897,807 - (+6,886)","356 - (0)","2,083 - (0)","3.96% - (0.00%)"
"78","October 23, 2020","73,890,921 - (-7,144)","356 - (0)","2,083 - (0)","3.96% - (0.00%)"
