
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 11, 2021","56,680,553 - (+177,066)","232 - (0)","7,763 - (+6)","1.91% - (+0.34%)"
"2","January 3, 2021","56,503,487 - (+192,649)","232 - (0)","7,757 - (+8)","1.57% - (-0.13%)"
"3","December 27, 2020","56,310,838 - (+289,381)","232 - (+1)","7,749 - (+13)","1.70% - (+0.13%)"
"4","December 14, 2020","56,021,457 - (+76,183)","231 - (0)","7,736 - (+3)","1.57% - (-0.19%)"
"5","December 12, 2020","55,945,274 - (+95,731)","231 - (0)","7,733 - (+2)","1.76% - (+0.13%)"
"6","December 8, 2020","55,849,543 - (+44,031)","231 - (0)","7,731 - (+1)","1.63% - (-0.12%)"
"7","December 7, 2020","55,805,512 - (+87,917)","231 - (0)","7,730 - (+4)","1.75% - (-0.45%)"
"8","December 4, 2020","55,717,595 - (+405,899)","231 - (0)","7,726 - (+15)","2.20% - (+0.41%)"
"9","November 20, 2020","55,311,696 - (+57,145)","231 - (+1)","7,711 - (+5)","1.79% - (-0.67%)"
"10","November 18, 2020","55,254,551 - (+36,989)","230 - (0)","7,706 - (+2)","2.46% - (+0.02%)"
"11","November 16, 2020","55,217,562 - (+15,920)","230 - (-1)","7,704 - (0)","2.44% - (+0.09%)"
"12","November 15, 2020","55,201,642 - (+24,004)","231 - (0)","7,704 - (+1)","2.35% - (+0.01%)"
"13","November 14, 2020","55,177,638 - (+33,348)","231 - (0)","7,703 - (+1)","2.34% - (-0.07%)"
"14","November 13, 2020","55,144,290 - (+2,269)","231 - (0)","7,702 - (0)","2.41% - (0.00%)"
"15","November 13, 2020","55,142,021 - (+26,795)","231 - (0)","7,702 - (0)","2.41% - (+0.02%)"
"16","November 12, 2020","55,115,226 - (+1,301)","231 - (0)","7,702 - (0)","2.39% - (0.00%)"
"17","November 12, 2020","55,113,925 - (+27,669)","231 - (+1)","7,702 - (+1)","2.39% - (-0.01%)"
"18","November 11, 2020","55,086,256 - (+2,779)","230 - (0)","7,701 - (0)","2.40% - (+0.05%)"
"19","November 11, 2020","55,083,477 - (+5,985)","230 - (0)","7,701 - (0)","2.35% - (+0.09%)"
"20","November 10, 2020","55,077,492 - (+16,163)","230 - (0)","7,701 - (+1)","2.26% - (+0.06%)"
"21","November 10, 2020","55,061,329 - (+8,792)","230 - (0)","7,700 - (0)","2.20% - (+0.07%)"
"22","November 10, 2020","55,052,537 - (+5,659)","230 - (0)","7,700 - (+1)","2.13% - (0.00%)"
"23","November 10, 2020","55,046,878 - (+40,612)","230 - (-1)","7,699 - (+3)","2.13% - (+0.24%)"
"24","November 8, 2020","55,006,266 - (+21,034)","231 - (0)","7,696 - (+1)","1.89% - (+0.05%)"
"25","November 7, 2020","54,985,232 - (+4,045)","231 - (0)","7,695 - (0)","1.84% - (0.00%)"
"26","November 7, 2020","54,981,187 - (+3,218)","231 - (0)","7,695 - (0)","1.84% - (+0.01%)"
"27","November 7, 2020","54,977,969 - (+10,584)","231 - (0)","7,695 - (0)","1.83% - (+0.03%)"
"28","November 6, 2020","54,967,385 - (+2,976)","231 - (0)","7,695 - (0)","1.80% - (+0.01%)"
"29","November 6, 2020","54,964,409 - (+6,103)","231 - (0)","7,695 - (+1)","1.79% - (-0.12%)"
"30","November 6, 2020","54,958,306 - (+2,578)","231 - (0)","7,694 - (0)","1.91% - (+0.01%)"
"31","November 6, 2020","54,955,728 - (+4,254)","231 - (0)","7,694 - (0)","1.90% - (+0.03%)"
"32","November 6, 2020","54,951,474 - (+4,174)","231 - (0)","7,694 - (0)","1.87% - (+0.04%)"
"33","November 6, 2020","54,947,300 - (+33,013)","231 - (0)","7,694 - (+2)","1.83% - (+0.05%)"
"34","November 5, 2020","54,914,287 - (+8,981)","231 - (0)","7,692 - (0)","1.78% - (+0.04%)"
"35","November 5, 2020","54,905,306 - (+18,956)","231 - (0)","7,692 - (+1)","1.74% - (+0.01%)"
"36","November 4, 2020","54,886,350 - (+5,488)","231 - (0)","7,691 - (0)","1.73% - (0.00%)"
"37","November 4, 2020","54,880,862 - (+62,224)","231 - (0)","7,691 - (0)","1.73% - (+0.06%)"
"38","November 1, 2020","54,818,638 - (+10,797)","231 - (0)","7,691 - (0)","1.67% - (+0.13%)"
"39","November 1, 2020","54,807,841 - (+2,333)","231 - (0)","7,691 - (+1)","1.54% - (-0.12%)"
"40","October 31, 2020","54,805,508 - (+24,268)","231 - (0)","7,690 - (0)","1.66% - (+0.06%)"
"41","October 30, 2020","54,781,240 - (+10,865)","231 - (0)","7,690 - (0)","1.60% - (+0.07%)"
"42","October 30, 2020","54,770,375 - (+3,386)","231 - (0)","7,690 - (+1)","1.53% - (-0.14%)"
"43","October 30, 2020","54,766,989 - (+13,437)","231 - (0)","7,689 - (0)","1.67% - (+0.01%)"
"44","October 30, 2020","54,753,552 - (+7,497)","231 - (0)","7,689 - (0)","1.66% - (+0.01%)"
"45","October 29, 2020","54,746,055 - (+50,444)","231 - (0)","7,689 - (+1)","1.65% - (-0.09%)"
"46","October 28, 2020","54,695,611 - (+11,479)","231 - (0)","7,688 - (0)","1.74% - (+0.01%)"
"47","October 28, 2020","54,684,132 - (+13,666)","231 - (0)","7,688 - (0)","1.73% - (+0.03%)"
"48","October 27, 2020","54,670,466 - (+19,339)","231 - (0)","7,688 - (+1)","1.70% - (-0.11%)"
"49","October 27, 2020","54,651,127 - (+24,488)","231 - (+1)","7,687 - (0)","1.81% - (+0.05%)"
"50","October 26, 2020","54,626,639 - (+4,723)","230 - (0)","7,687 - (0)","1.76% - (+0.02%)"
"51","October 26, 2020","54,621,916 - (+14,177)","230 - (0)","7,687 - (+1)","1.74% - (+0.21%)"
"52","October 25, 2020","54,607,739 - (+68,426)","230 - (0)","7,686 - (+1)","1.53% - (+0.02%)"
"53","October 23, 2020","54,539,313 - (+3,428)","230 - (0)","7,685 - (0)","1.51% - (+0.02%)"
"54","October 23, 2020","54,535,885 - (+886)","230 - (0)","7,685 - (0)","1.49% - (+0.01%)"
"55","October 23, 2020","54,534,999 - (+3,793)","230 - (0)","7,685 - (+1)","1.48% - (-0.14%)"
"56","October 23, 2020","54,531,206 - (+6,117)","230 - (0)","7,684 - (0)","1.62% - (+0.05%)"
"57","October 23, 2020","54,525,089 - (+9,604)","230 - (0)","7,684 - (+2)","1.57% - (-0.30%)"
"58","October 22, 2020","54,515,485 - (+11,861)","230 - (0)","7,682 - (0)","1.87% - (+0.07%)"
"59","October 22, 2020","54,503,624 - (+6,583)","230 - (0)","7,682 - (+1)","1.80% - (-0.14%)"
"60","October 21, 2020","54,497,041 - (+3,123)","230 - (0)","7,681 - (0)","1.94% - (+0.01%)"
"61","October 21, 2020","54,493,918 - (+13,585)","230 - (0)","7,681 - (0)","1.93% - (0.00%)"
"62","October 21, 2020","54,480,333 - (+2,189)","230 - (0)","7,681 - (0)","1.93% - (0.00%)"
"63","October 21, 2020","54,478,144 - (+7,329)","230 - (0)","7,681 - (0)","1.93% - (+0.01%)"
"64","October 21, 2020","54,470,815 - (+15,762)","230 - (0)","7,681 - (+1)","1.92% - (-0.02%)"
"65","October 20, 2020","54,455,053 - (+7,463)","230 - (0)","7,680 - (0)","1.94% - (+0.02%)"
"66","October 20, 2020","54,447,590 - (+17,523)","230 - (0)","7,680 - (+1)","1.92% - (-0.07%)"
"67","October 19, 2020","54,430,067 - (+2,519)","230 - (0)","7,679 - (0)","1.99% - (+0.01%)"
"68","October 19, 2020","54,427,548 - (+5,748)","230 - (0)","7,679 - (0)","1.98% - (0.00%)"
"69","October 19, 2020","54,421,800 - (+3,114)","230 - (0)","7,679 - (0)","1.98% - (0.00%)"
"70","October 19, 2020","54,418,686 - (+5,714)","230 - (0)","7,679 - (0)","1.98% - (+0.01%)"
"71","October 18, 2020","54,412,972 - (+6,003)","230 - (0)","7,679 - (0)","1.97% - (+0.01%)"
