
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 4, 2021","144,722,277 - (+354,208)","1,431 - (+3)","4,867 - (+4)","1.57% - (+0.30%)"
"2","December 27, 2020","144,368,069 - (+61,522)","1,428 - (+2)","4,863 - (0)","1.27% - (+0.07%)"
"3","December 25, 2020","144,306,547 - (+163,800)","1,426 - (+3)","4,863 - (+3)","1.20% - (-0.08%)"
"4","December 19, 2020","144,142,747 - (+51,100)","1,423 - (+1)","4,860 - (0)","1.28% - (+0.01%)"
"5","December 18, 2020","144,091,647 - (+34,640)","1,422 - (+2)","4,860 - (0)","1.27% - (0.00%)"
"6","December 17, 2020","144,057,007 - (+83,045)","1,420 - (+1)","4,860 - (+1)","1.27% - (-0.04%)"
"7","December 15, 2020","143,973,962 - (+498,959)","1,419 - (+1)","4,859 - (+16)","1.31% - (+0.34%)"
"8","November 28, 2020","143,475,003 - (+4,526)","1,418 - (0)","4,843 - (+2)","0.97% - (-0.04%)"
"9","November 27, 2020","143,470,477 - (+116,028)","1,418 - (+3)","4,841 - (+6)","1.01% - (-0.02%)"
"10","November 20, 2020","143,354,449 - (+13,054)","1,415 - (+2)","4,835 - (+2)","1.03% - (-0.06%)"
"11","November 18, 2020","143,341,395 - (+6,551)","1,413 - (0)","4,833 - (0)","1.09% - (+0.01%)"
"12","November 18, 2020","143,334,844 - (+5,158)","1,413 - (0)","4,833 - (+1)","1.08% - (-0.04%)"
"13","November 17, 2020","143,329,686 - (+691)","1,413 - (0)","4,832 - (0)","1.12% - (+0.01%)"
"14","November 17, 2020","143,328,995 - (+1,470)","1,413 - (0)","4,832 - (0)","1.11% - (0.00%)"
"15","November 17, 2020","143,327,525 - (-2,135)","1,413 - (+1)","4,832 - (0)","1.11% - (+0.02%)"
"16","November 16, 2020","143,329,660 - (+5,639)","1,412 - (+1)","4,832 - (+1)","1.09% - (+0.04%)"
"17","November 16, 2020","143,324,021 - (-2,833)","1,411 - (+1)","4,831 - (0)","1.05% - (+0.01%)"
"18","November 16, 2020","143,326,854 - (+1,730)","1,410 - (0)","4,831 - (0)","1.04% - (+0.01%)"
"19","November 16, 2020","143,325,124 - (+3,518)","1,410 - (0)","4,831 - (0)","1.03% - (+0.03%)"
"20","November 15, 2020","143,321,606 - (+5,814)","1,410 - (0)","4,831 - (+1)","1.00% - (-0.07%)"
"21","November 15, 2020","143,315,792 - (+13,604)","1,410 - (-1)","4,830 - (0)","1.07% - (0.00%)"
"22","November 14, 2020","143,302,188 - (+7,361)","1,411 - (0)","4,830 - (0)","1.07% - (0.00%)"
"23","November 13, 2020","143,294,827 - (-2,175)","1,411 - (+1)","4,830 - (0)","1.07% - (0.00%)"
"24","November 13, 2020","143,297,002 - (+1,478)","1,410 - (0)","4,830 - (0)","1.07% - (0.00%)"
"25","November 13, 2020","143,295,524 - (-6,513)","1,410 - (0)","4,830 - (0)","1.07% - (0.00%)"
"26","November 13, 2020","143,302,037 - (+16,299)","1,410 - (+2)","4,830 - (0)","1.07% - (+0.01%)"
"27","November 12, 2020","143,285,738 - (+9,318)","1,408 - (0)","4,830 - (0)","1.06% - (0.00%)"
"28","November 12, 2020","143,276,420 - (+3,020)","1,408 - (0)","4,830 - (0)","1.06% - (0.00%)"
"29","November 12, 2020","143,273,400 - (+3,112)","1,408 - (0)","4,830 - (0)","1.06% - (+0.01%)"
"30","November 12, 2020","143,270,288 - (+6,994)","1,408 - (+1)","4,830 - (0)","1.05% - (0.00%)"
"31","November 11, 2020","143,263,294 - (+224)","1,407 - (-1)","4,830 - (+1)","1.05% - (-0.16%)"
"32","November 11, 2020","143,263,070 - (+3,817)","1,408 - (0)","4,829 - (0)","1.21% - (0.00%)"
"33","November 11, 2020","143,259,253 - (+10,220)","1,408 - (+2)","4,829 - (0)","1.21% - (+0.01%)"
"34","November 10, 2020","143,249,033 - (-4,501)","1,406 - (0)","4,829 - (0)","1.20% - (+0.02%)"
"35","November 10, 2020","143,253,534 - (+7,033)","1,406 - (+1)","4,829 - (0)","1.18% - (+0.04%)"
"36","November 9, 2020","143,246,501 - (+2,326)","1,405 - (+2)","4,829 - (+3)","1.14% - (-0.11%)"
"37","November 9, 2020","143,244,175 - (+8,234)","1,403 - (0)","4,826 - (0)","1.25% - (0.00%)"
"38","November 9, 2020","143,235,941 - (+4,186)","1,403 - (+2)","4,826 - (0)","1.25% - (+0.01%)"
"39","November 8, 2020","143,231,755 - (+2,656)","1,401 - (0)","4,826 - (0)","1.24% - (0.00%)"
"40","November 8, 2020","143,229,099 - (+5,817)","1,401 - (0)","4,826 - (0)","1.24% - (0.00%)"
"41","November 8, 2020","143,223,282 - (-1,923)","1,401 - (-1)","4,826 - (0)","1.24% - (0.00%)"
"42","November 8, 2020","143,225,205 - (+12,321)","1,402 - (0)","4,826 - (0)","1.24% - (0.00%)"
"43","November 7, 2020","143,212,884 - (-4,424)","1,402 - (0)","4,826 - (0)","1.24% - (0.00%)"
