
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 10, 2021","126,775,283 - (+1,119,795)","443 - (-925)","6,122 - (+4)","1.71% - (+0.38%)"
"2","December 31, 2020","125,655,488 - (+725,312)","1,368 - (-3)","6,118 - (+5)","1.33% - (+0.13%)"
"3","December 20, 2020","124,930,176 - (+253,598)","1,371 - (-1)","6,113 - (0)","1.20% - (0.00%)"
"4","December 16, 2020","124,676,578 - (+515,177)","1,372 - (+25)","6,113 - (0)","1.20% - (-0.03%)"
"5","December 2, 2020","124,161,401 - (+111,019)","1,347 - (0)","6,113 - (+1)","1.23% - (-0.06%)"
"6","November 27, 2020","124,050,382 - (+43,648)","1,347 - (0)","6,112 - (+1)","1.29% - (+0.05%)"
"7","November 24, 2020","124,006,734 - (+67,913)","1,347 - (+22)","6,111 - (+7)","1.24% - (-0.47%)"
"8","November 18, 2020","123,938,821 - (+16,026)","1,325 - (+1)","6,104 - (0)","1.71% - (0.00%)"
"9","November 17, 2020","123,922,795 - (+5,189)","1,324 - (0)","6,104 - (0)","1.71% - (0.00%)"
"10","November 17, 2020","123,917,606 - (-3,392)","1,324 - (0)","6,104 - (0)","1.71% - (0.00%)"
"11","November 17, 2020","123,920,998 - (+15,913)","1,324 - (0)","6,104 - (0)","1.71% - (0.00%)"
"12","November 16, 2020","123,905,085 - (-1,216)","1,324 - (0)","6,104 - (0)","1.71% - (0.00%)"
"13","November 16, 2020","123,906,301 - (+11,348)","1,324 - (0)","6,104 - (0)","1.71% - (0.00%)"
"14","November 16, 2020","123,894,953 - (-5,541)","1,324 - (0)","6,104 - (0)","1.71% - (0.00%)"
"15","November 15, 2020","123,900,494 - (+8,355)","1,324 - (0)","6,104 - (0)","1.71% - (+0.01%)"
"16","November 15, 2020","123,892,139 - (+8,791)","1,324 - (0)","6,104 - (0)","1.70% - (0.00%)"
"17","November 15, 2020","123,883,348 - (-4,457)","1,324 - (0)","6,104 - (0)","1.70% - (0.00%)"
"18","November 15, 2020","123,887,805 - (+9,825)","1,324 - (0)","6,104 - (0)","1.70% - (0.00%)"
"19","November 14, 2020","123,877,980 - (+20,013)","1,324 - (0)","6,104 - (0)","1.70% - (+0.02%)"
