
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 9, 2021","89,041,480 - (+150,793)","1,522 - (0)","4,721 - (0)","3.13% - (0.00%)"
"2","January 6, 2021","88,890,687 - (+182,037)","1,522 - (0)","4,721 - (0)","3.13% - (+0.02%)"
"3","January 3, 2021","88,708,650 - (+99,074)","1,522 - (0)","4,721 - (+1)","3.11% - (+0.51%)"
"4","January 1, 2021","88,609,576 - (+223,423)","1,522 - (+2)","4,720 - (+2)","2.60% - (-0.12%)"
"5","December 27, 2020","88,386,153 - (+201,017)","1,520 - (+2)","4,718 - (0)","2.72% - (+0.01%)"
"6","December 23, 2020","88,185,136 - (-2,917)","1,518 - (+1)","4,718 - (0)","2.71% - (0.00%)"
"7","December 23, 2020","88,188,053 - (+183,991)","1,517 - (+2)","4,718 - (-1)","2.71% - (+0.03%)"
"8","December 20, 2020","88,004,062 - (+71,174)","1,515 - (0)","4,719 - (+1)","2.68% - (+0.36%)"
"9","December 18, 2020","87,932,888 - (+35,713)","1,515 - (0)","4,718 - (0)","2.32% - (+0.01%)"
"10","December 18, 2020","87,897,175 - (+260,285)","1,515 - (+3)","4,718 - (+2)","2.31% - (0.00%)"
"11","December 14, 2020","87,636,890 - (+57,297)","1,512 - (0)","4,716 - (0)","2.31% - (+0.01%)"
"12","December 13, 2020","87,579,593 - (+32,442)","1,512 - (+4)","4,716 - (+2)","2.30% - (+0.28%)"
"13","December 6, 2020","87,547,151 - (+2,879)","1,508 - (+1)","4,714 - (0)","2.02% - (0.00%)"
"14","December 5, 2020","87,544,272 - (+32,627)","1,507 - (0)","4,714 - (0)","2.02% - (+0.02%)"
"15","December 2, 2020","87,511,645 - (-5,565)","1,507 - (0)","4,714 - (0)","2.00% - (0.00%)"
"16","December 2, 2020","87,517,210 - (+156,689)","1,507 - (0)","4,714 - (+1)","2.00% - (-0.41%)"
"17","November 30, 2020","87,360,521 - (-184,716)","1,507 - (+7)","4,713 - (-3)","2.41% - (+0.82%)"
"18","November 20, 2020","87,545,237 - (-3,469)","1,500 - (-1)","4,716 - (0)","1.59% - (0.00%)"
"19","November 18, 2020","87,548,706 - (-3,799)","1,501 - (-1)","4,716 - (0)","1.59% - (0.00%)"
"20","November 17, 2020","87,552,505 - (+630)","1,502 - (0)","4,716 - (0)","1.59% - (0.00%)"
"21","November 17, 2020","87,551,875 - (+565)","1,502 - (+1)","4,716 - (0)","1.59% - (0.00%)"
"22","November 17, 2020","87,551,310 - (-6,856)","1,501 - (+1)","4,716 - (0)","1.59% - (0.00%)"
"23","November 16, 2020","87,558,166 - (+241)","1,500 - (0)","4,716 - (0)","1.59% - (0.00%)"
"24","November 16, 2020","87,557,925 - (+1,377)","1,500 - (0)","4,716 - (0)","1.59% - (0.00%)"
"25","November 16, 2020","87,556,548 - (-5,164)","1,500 - (0)","4,716 - (0)","1.59% - (0.00%)"
"26","November 14, 2020","87,561,712 - (-8,201)","1,500 - (-1)","4,716 - (0)","1.59% - (0.00%)"
"27","November 14, 2020","87,569,913 - (-252)","1,501 - (+2)","4,716 - (0)","1.59% - (0.00%)"
"28","November 14, 2020","87,570,165 - (-3,878)","1,499 - (0)","4,716 - (0)","1.59% - (0.00%)"
"29","November 13, 2020","87,574,043 - (+7,142)","1,499 - (0)","4,716 - (0)","1.59% - (+0.01%)"
"30","November 13, 2020","87,566,901 - (-4,107)","1,499 - (0)","4,716 - (0)","1.58% - (0.00%)"
"31","November 12, 2020","87,571,008 - (-4,644)","1,499 - (-1)","4,716 - (0)","1.58% - (0.00%)"
"32","November 12, 2020","87,575,652 - (+2,737)","1,500 - (0)","4,716 - (0)","1.58% - (0.00%)"
"33","November 11, 2020","87,572,915 - (+1,608)","1,500 - (0)","4,716 - (0)","1.58% - (0.00%)"
"34","November 11, 2020","87,571,307 - (+422)","1,500 - (0)","4,716 - (0)","1.58% - (0.00%)"
"35","November 11, 2020","87,570,885 - (-3,697)","1,500 - (-1)","4,716 - (0)","1.58% - (0.00%)"
"36","November 10, 2020","87,574,582 - (+598)","1,501 - (0)","4,716 - (0)","1.58% - (0.00%)"
"37","November 10, 2020","87,573,984 - (+600)","1,501 - (-1)","4,716 - (0)","1.58% - (0.00%)"
"38","November 10, 2020","87,573,384 - (-7,286)","1,502 - (-1)","4,716 - (0)","1.58% - (0.00%)"
"39","November 9, 2020","87,580,670 - (+293)","1,503 - (0)","4,716 - (0)","1.58% - (0.00%)"
"40","November 9, 2020","87,580,377 - (+778)","1,503 - (0)","4,716 - (0)","1.58% - (+0.01%)"
