
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 3, 2021","200,910,625 - (+294,461)","152 - (0)","1,690 - (0)","2.42% - (0.00%)"
"2","January 2, 2021","200,616,164 - (+1,939,006)","152 - (0)","1,690 - (0)","2.42% - (0.00%)"
"3","December 23, 2020","198,677,158 - (+1,373,370)","152 - (-1)","1,690 - (0)","2.42% - (+0.03%)"
"4","December 18, 2020","197,303,788 - (+1,403,682)","153 - (0)","1,690 - (+2)","2.39% - (+0.30%)"
"5","December 12, 2020","195,900,106 - (+15,844)","153 - (0)","1,688 - (0)","2.09% - (+0.01%)"
"6","December 11, 2020","195,884,262 - (+512,995)","153 - (+3)","1,688 - (+9)","2.08% - (-0.29%)"
"7","November 17, 2020","195,371,267 - (-7,215)","150 - (0)","1,679 - (0)","2.37% - (0.00%)"
"8","November 17, 2020","195,378,482 - (+16,481)","150 - (0)","1,679 - (0)","2.37% - (0.00%)"
"9","November 17, 2020","195,362,001 - (-1,978)","150 - (+1)","1,679 - (0)","2.37% - (0.00%)"
"10","November 16, 2020","195,363,979 - (+4,124)","149 - (0)","1,679 - (0)","2.37% - (0.00%)"
"11","November 16, 2020","195,359,855 - (+5,642)","149 - (0)","1,679 - (0)","2.37% - (0.00%)"
"12","November 16, 2020","195,354,213 - (+4,465)","149 - (0)","1,679 - (0)","2.37% - (0.00%)"
"13","November 16, 2020","195,349,748 - (+19,217)","149 - (0)","1,679 - (0)","2.37% - (0.00%)"
"14","November 14, 2020","195,330,531 - (-251)","149 - (0)","1,679 - (0)","2.37% - (+0.01%)"
"15","November 14, 2020","195,330,782 - (+5,973)","149 - (0)","1,679 - (0)","2.36% - (0.00%)"
"16","November 13, 2020","195,324,809 - (+15,382)","149 - (0)","1,679 - (0)","2.36% - (0.00%)"
"17","November 13, 2020","195,309,427 - (+11,555)","149 - (0)","1,679 - (0)","2.36% - (+0.01%)"
"18","November 12, 2020","195,297,872 - (+28,317)","149 - (0)","1,679 - (0)","2.35% - (+0.05%)"
"19","November 11, 2020","195,269,555 - (-13,077)","149 - (0)","1,679 - (0)","2.30% - (+0.02%)"
"20","November 10, 2020","195,282,632 - (+1,909)","149 - (0)","1,679 - (0)","2.28% - (+0.02%)"
"21","November 10, 2020","195,280,723 - (-3,229)","149 - (0)","1,679 - (+1)","2.26% - (+0.05%)"
"22","November 10, 2020","195,283,952 - (+20,571)","149 - (0)","1,678 - (0)","2.21% - (0.00%)"
"23","November 10, 2020","195,263,381 - (-357)","149 - (0)","1,678 - (0)","2.21% - (+0.01%)"
"24","November 9, 2020","195,263,738 - (+17,768)","149 - (0)","1,678 - (0)","2.20% - (0.00%)"
"25","November 9, 2020","195,245,970 - (+1,476)","149 - (0)","1,678 - (0)","2.20% - (0.00%)"
"26","November 8, 2020","195,244,494 - (+1,798)","149 - (0)","1,678 - (0)","2.20% - (0.00%)"
"27","November 8, 2020","195,242,696 - (-11,971)","149 - (0)","1,678 - (0)","2.20% - (0.00%)"
"28","November 8, 2020","195,254,667 - (-11,668)","149 - (0)","1,678 - (0)","2.20% - (0.00%)"
"29","November 7, 2020","195,266,335 - (+26,777)","149 - (0)","1,678 - (0)","2.20% - (0.00%)"
"30","November 7, 2020","195,239,558 - (+16,341)","149 - (0)","1,678 - (0)","2.20% - (0.00%)"
"31","November 6, 2020","195,223,217 - (+3,661)","149 - (0)","1,678 - (0)","2.20% - (0.00%)"
"32","November 6, 2020","195,219,556 - (-12,893)","149 - (0)","1,678 - (0)","2.20% - (0.00%)"
"33","November 6, 2020","195,232,449 - (+11,486)","149 - (0)","1,678 - (0)","2.20% - (+0.01%)"
"34","November 5, 2020","195,220,963 - (+8,273)","149 - (0)","1,678 - (0)","2.19% - (+0.01%)"
"35","November 4, 2020","195,212,690 - (+7,354)","149 - (0)","1,678 - (0)","2.18% - (0.00%)"
"36","November 4, 2020","195,205,336 - (-3,767)","149 - (0)","1,678 - (0)","2.18% - (+0.02%)"
"37","November 4, 2020","195,209,103 - (+2,259)","149 - (0)","1,678 - (0)","2.16% - (+0.01%)"
"38","November 4, 2020","195,206,844 - (-215)","149 - (0)","1,678 - (+1)","2.15% - (-0.33%)"
"39","November 3, 2020","195,207,059 - (-2,189)","149 - (0)","1,677 - (0)","2.48% - (0.00%)"
"40","November 3, 2020","195,209,248 - (+2,589)","149 - (0)","1,677 - (0)","2.48% - (0.00%)"
"41","November 3, 2020","195,206,659 - (+5,672)","149 - (0)","1,677 - (0)","2.48% - (0.00%)"
"42","November 3, 2020","195,200,987 - (+21,758)","149 - (0)","1,677 - (0)","2.48% - (0.00%)"
"43","November 3, 2020","195,179,229 - (-12,847)","149 - (0)","1,677 - (0)","2.48% - (0.00%)"
"44","November 2, 2020","195,192,076 - (+16,911)","149 - (0)","1,677 - (0)","2.48% - (0.00%)"
"45","November 2, 2020","195,175,165 - (+2,795)","149 - (0)","1,677 - (0)","2.48% - (0.00%)"
"46","November 2, 2020","195,172,370 - (+4,139)","149 - (0)","1,677 - (0)","2.48% - (0.00%)"
"47","November 1, 2020","195,168,231 - (+6,896)","149 - (0)","1,677 - (0)","2.48% - (0.00%)"
"48","November 1, 2020","195,161,335 - (+3,996)","149 - (0)","1,677 - (0)","2.48% - (0.00%)"
"49","November 1, 2020","195,157,339 - (+6,388)","149 - (0)","1,677 - (0)","2.48% - (0.00%)"
"50","November 1, 2020","195,150,951 - (-8,065)","149 - (0)","1,677 - (0)","2.48% - (+0.01%)"
"51","November 1, 2020","195,159,016 - (+13,917)","149 - (0)","1,677 - (0)","2.47% - (0.00%)"
"52","October 31, 2020","195,145,099 - (+14,089)","149 - (0)","1,677 - (0)","2.47% - (0.00%)"
"53","October 31, 2020","195,131,010 - (+9,173)","149 - (0)","1,677 - (0)","2.47% - (+0.02%)"
"54","October 31, 2020","195,121,837 - (+11,538)","149 - (0)","1,677 - (+1)","2.45% - (-0.13%)"
"55","October 30, 2020","195,110,299 - (+12,833)","149 - (0)","1,676 - (+1)","2.58% - (-0.16%)"
"56","October 29, 2020","195,097,466 - (-2,512)","149 - (0)","1,675 - (0)","2.74% - (0.00%)"
"57","October 29, 2020","195,099,978 - (+21,597)","149 - (0)","1,675 - (0)","2.74% - (0.00%)"
"58","October 29, 2020","195,078,381 - (+10,012)","149 - (0)","1,675 - (0)","2.74% - (0.00%)"
"59","October 28, 2020","195,068,369 - (+19,964)","149 - (0)","1,675 - (0)","2.74% - (0.00%)"
