
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 9, 2021","59,063,567 - (+30,502)","1,149 - (+3)","2,350 - (0)","2.18% - (0.00%)"
"2","January 6, 2021","59,033,065 - (+2,260)","1,146 - (0)","2,350 - (0)","2.18% - (+0.01%)"
"3","January 5, 2021","59,030,805 - (+280,293)","1,146 - (+10)","2,350 - (0)","2.17% - (+0.02%)"
"4","December 25, 2020","58,750,512 - (+562,979)","1,136 - (+5)","2,350 - (+3)","2.15% - (+0.56%)"
"5","December 13, 2020","58,187,533 - (+399,258)","1,131 - (+4)","2,347 - (+13)","1.59% - (+0.10%)"
"6","December 5, 2020","57,788,275 - (+345,881)","1,127 - (+3)","2,334 - (+22)","1.49% - (-0.77%)"
"7","November 28, 2020","57,442,394 - (+159,113)","1,124 - (-1)","2,312 - (+4)","2.26% - (+0.12%)"
"8","November 25, 2020","57,283,281 - (+112,809)","1,125 - (0)","2,308 - (+4)","2.14% - (-0.40%)"
"9","November 23, 2020","57,170,472 - (+204,377)","1,125 - (+4)","2,304 - (+8)","2.54% - (-0.03%)"
"10","November 20, 2020","56,966,095 - (+67,981)","1,121 - (+5)","2,296 - (+9)","2.57% - (-0.90%)"
"11","November 17, 2020","56,898,114 - (+6,516)","1,116 - (0)","2,287 - (+2)","3.47% - (-1.01%)"
"12","November 17, 2020","56,891,598 - (+2,890)","1,116 - (+1)","2,285 - (0)","4.48% - (+0.01%)"
"13","November 17, 2020","56,888,708 - (+5,166)","1,115 - (-1)","2,285 - (0)","4.47% - (+0.01%)"
"14","November 17, 2020","56,883,542 - (+2,805)","1,116 - (0)","2,285 - (0)","4.46% - (+0.01%)"
"15","November 17, 2020","56,880,737 - (+13,291)","1,116 - (+1)","2,285 - (+1)","4.45% - (-0.07%)"
"16","November 16, 2020","56,867,446 - (+4,682)","1,115 - (0)","2,284 - (0)","4.52% - (+0.01%)"
"17","November 16, 2020","56,862,764 - (+8,019)","1,115 - (0)","2,284 - (0)","4.51% - (0.00%)"
"18","November 16, 2020","56,854,745 - (+4,965)","1,115 - (0)","2,284 - (0)","4.51% - (0.00%)"
"19","November 16, 2020","56,849,780 - (+7,459)","1,115 - (-1)","2,284 - (0)","4.51% - (+0.02%)"
"20","November 15, 2020","56,842,321 - (+8,570)","1,116 - (0)","2,284 - (0)","4.49% - (+0.05%)"
"21","November 15, 2020","56,833,751 - (+18,597)","1,116 - (0)","2,284 - (+1)","4.44% - (0.00%)"
"22","November 14, 2020","56,815,154 - (-1,343)","1,116 - (0)","2,283 - (0)","4.44% - (+0.06%)"
"23","November 14, 2020","56,816,497 - (+13,127)","1,116 - (0)","2,283 - (+1)","4.38% - (-0.32%)"
"24","November 13, 2020","56,803,370 - (+26,516)","1,116 - (0)","2,282 - (0)","4.70% - (0.00%)"
"25","November 12, 2020","56,776,854 - (-3,611)","1,116 - (0)","2,282 - (0)","4.70% - (0.00%)"
"26","November 12, 2020","56,780,465 - (+22,003)","1,116 - (0)","2,282 - (0)","4.70% - (+0.01%)"
"27","November 11, 2020","56,758,462 - (-3,021)","1,116 - (-1)","2,282 - (0)","4.69% - (0.00%)"
"28","November 11, 2020","56,761,483 - (+3,710)","1,117 - (0)","2,282 - (0)","4.69% - (+0.01%)"
"29","November 11, 2020","56,757,773 - (+4,052)","1,117 - (+1)","2,282 - (0)","4.68% - (0.00%)"
"30","November 11, 2020","56,753,721 - (+1,822)","1,116 - (0)","2,282 - (0)","4.68% - (+0.01%)"
"31","November 11, 2020","56,751,899 - (+1,984)","1,116 - (-1)","2,282 - (0)","4.67% - (0.00%)"
"32","November 11, 2020","56,749,915 - (+13,463)","1,117 - (0)","2,282 - (0)","4.67% - (+0.01%)"
"33","November 11, 2020","56,736,452 - (+14,702)","1,117 - (+3)","2,282 - (+1)","4.66% - (-0.25%)"
"34","November 10, 2020","56,721,750 - (-2,527)","1,114 - (-1)","2,281 - (0)","4.91% - (0.00%)"
"35","November 10, 2020","56,724,277 - (+27,406)","1,115 - (0)","2,281 - (0)","4.91% - (0.00%)"
"36","November 9, 2020","56,696,871 - (-2,348)","1,115 - (+1)","2,281 - (0)","4.91% - (0.00%)"
"37","November 9, 2020","56,699,219 - (+13,269)","1,114 - (0)","2,281 - (0)","4.91% - (0.00%)"
"38","November 9, 2020","56,685,950 - (+11,283)","1,114 - (+1)","2,281 - (0)","4.91% - (0.00%)"
"39","November 9, 2020","56,674,667 - (-2,752)","1,113 - (0)","2,281 - (0)","4.91% - (0.00%)"
"40","November 8, 2020","56,677,419 - (+12,037)","1,113 - (0)","2,281 - (0)","4.91% - (+0.01%)"
