
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 5, 2021","55,328,148 - (-18,929)","4,286 - (+1)","47,905 - (+9)","0.07% - (+0.01%)"
"2","January 4, 2021","55,347,077 - (-35,326)","4,285 - (+9)","47,896 - (+35)","0.06% - (+0.01%)"
"3","January 1, 2021","55,382,403 - (-42,655)","4,276 - (+8)","47,861 - (+39)","0.05% - (0.00%)"
"4","December 29, 2020","55,425,058 - (-44,829)","4,268 - (-1)","47,822 - (+37)","0.05% - (+0.02%)"
"5","December 25, 2020","55,469,887 - (-11,195)","4,269 - (+4)","47,785 - (+36)","0.03% - (-0.06%)"
"6","December 23, 2020","55,481,082 - (-6,202)","4,265 - (-5)","47,749 - (+3)","0.09% - (+0.01%)"
"7","December 22, 2020","55,487,284 - (-8,433)","4,270 - (+1)","47,746 - (+6)","0.08% - (+0.02%)"
"8","December 22, 2020","55,495,717 - (-38,088)","4,269 - (0)","47,740 - (+34)","0.06% - (-0.03%)"
"9","December 18, 2020","55,533,805 - (-54,913)","4,269 - (+27)","47,706 - (+58)","0.09% - (+0.03%)"
"10","December 12, 2020","55,588,718 - (-5,429)","4,242 - (+8)","47,648 - (+7)","0.06% - (0.00%)"
"11","December 11, 2020","55,594,147 - (-9,072)","4,234 - (+1)","47,641 - (+10)","0.06% - (-0.01%)"
"12","December 10, 2020","55,603,219 - (+2,705)","4,233 - (+25)","47,631 - (+70)","0.07% - (-0.20%)"
"13","December 1, 2020","55,600,514 - (+98,093)","4,208 - (+1)","47,561 - (+6)","0.27% - (-0.15%)"
"14","November 30, 2020","55,502,421 - (+43,903)","4,207 - (+6)","47,555 - (+34)","0.42% - (+0.20%)"
"15","November 27, 2020","55,458,518 - (+260,176)","4,201 - (+11)","47,521 - (+86)","0.22% - (-0.01%)"
"16","November 20, 2020","55,198,342 - (+3,409)","4,190 - (-3)","47,435 - (+3)","0.23% - (-0.06%)"
"17","November 19, 2020","55,194,933 - (+13,752)","4,193 - (+2)","47,432 - (+5)","0.29% - (+0.07%)"
"18","November 19, 2020","55,181,181 - (-22,614)","4,191 - (+7)","47,427 - (+13)","0.22% - (+0.07%)"
"19","November 17, 2020","55,203,795 - (-19,215)","4,184 - (+16)","47,414 - (+22)","0.15% - (-0.59%)"
"20","November 16, 2020","55,223,010 - (-7,372)","4,168 - (0)","47,392 - (+2)","0.74% - (+0.02%)"
"21","November 15, 2020","55,230,382 - (-3,104)","4,168 - (0)","47,390 - (0)","0.72% - (+0.05%)"
"22","November 15, 2020","55,233,486 - (-2,949)","4,168 - (-3)","47,390 - (+1)","0.67% - (-0.08%)"
"23","November 15, 2020","55,236,435 - (-2,098)","4,171 - (0)","47,389 - (0)","0.75% - (+0.02%)"
"24","November 15, 2020","55,238,533 - (-2,780)","4,171 - (+2)","47,389 - (+4)","0.73% - (+0.20%)"
"25","November 14, 2020","55,241,313 - (+30,496)","4,169 - (+6)","47,385 - (+2)","0.53% - (+0.35%)"
"26","November 14, 2020","55,210,817 - (+3,810)","4,163 - (+1)","47,383 - (+1)","0.18% - (-0.02%)"
"27","November 14, 2020","55,207,007 - (+51)","4,162 - (0)","47,382 - (+3)","0.20% - (-0.07%)"
"28","November 13, 2020","55,206,956 - (+12,970)","4,162 - (0)","47,379 - (+2)","0.27% - (0.00%)"
"29","November 13, 2020","55,193,986 - (+13,337)","4,162 - (0)","47,377 - (0)","0.27% - (+0.04%)"
"30","November 13, 2020","55,180,649 - (+3,498)","4,162 - (0)","47,377 - (0)","0.23% - (+0.01%)"
"31","November 13, 2020","55,177,151 - (+3,239)","4,162 - (+3)","47,377 - (+3)","0.22% - (-0.08%)"
"32","November 13, 2020","55,173,912 - (+23,345)","4,159 - (0)","47,374 - (+4)","0.30% - (+0.02%)"
"33","November 12, 2020","55,150,567 - (+15,717)","4,159 - (0)","47,370 - (+1)","0.28% - (+0.02%)"
"34","November 12, 2020","55,134,850 - (+16,857)","4,159 - (+1)","47,369 - (+7)","0.26% - (+0.04%)"
"35","November 11, 2020","55,117,993 - (+24,278)","4,158 - (0)","47,362 - (+1)","0.22% - (+0.05%)"
"36","November 11, 2020","55,093,715 - (+49,757)","4,158 - (+8)","47,361 - (+14)","0.17% - (-0.12%)"
"37","November 10, 2020","55,043,958 - (+12,109)","4,150 - (-4)","47,347 - (+2)","0.29% - (-0.08%)"
"38","November 10, 2020","55,031,849 - (+44,907)","4,154 - (+1)","47,345 - (+7)","0.37% - (+0.06%)"
