
"id","Date","Followers - (change)","Following - (change)","Posts - (change)","Influence - (change)"
"1","January 5, 2021","143,726,664 - (+462,277)","0 - (0)","488 - (0)","1.60% - (+0.01%)"
"2","January 2, 2021","143,264,387 - (+664,269)","0 - (0)","488 - (+2)","1.59% - (+0.15%)"
"3","December 25, 2020","142,600,118 - (+56,762)","0 - (0)","486 - (0)","1.44% - (0.00%)"
"4","December 25, 2020","142,543,356 - (+620,694)","0 - (0)","486 - (0)","1.44% - (+0.01%)"
"5","December 18, 2020","141,922,662 - (+732,452)","0 - (0)","486 - (+3)","1.43% - (+0.24%)"
"6","December 12, 2020","141,190,210 - (+380,838)","0 - (0)","483 - (+20)","1.19% - (-0.41%)"
"7","November 20, 2020","140,809,372 - (+3,020)","0 - (0)","463 - (0)","1.60% - (0.00%)"
"8","November 20, 2020","140,806,352 - (-9,345)","0 - (0)","463 - (0)","1.60% - (0.00%)"
"9","November 19, 2020","140,815,697 - (+6,035)","0 - (0)","463 - (0)","1.60% - (0.00%)"
"10","November 17, 2020","140,809,662 - (-4,704)","0 - (0)","463 - (0)","1.60% - (0.00%)"
"11","November 17, 2020","140,814,366 - (+15,005)","0 - (0)","463 - (0)","1.60% - (0.00%)"
"12","November 17, 2020","140,799,361 - (+3,367)","0 - (0)","463 - (0)","1.60% - (0.00%)"
"13","November 17, 2020","140,795,994 - (-2,088)","0 - (0)","463 - (0)","1.60% - (0.00%)"
"14","November 16, 2020","140,798,082 - (+4,894)","0 - (0)","463 - (0)","1.60% - (0.00%)"
"15","November 16, 2020","140,793,188 - (-1,713)","0 - (0)","463 - (0)","1.60% - (+0.01%)"
"16","November 15, 2020","140,794,901 - (+6,540)","0 - (0)","463 - (0)","1.59% - (0.00%)"
"17","November 15, 2020","140,788,361 - (+9,121)","0 - (0)","463 - (0)","1.59% - (0.00%)"
"18","November 14, 2020","140,779,240 - (-1,795)","0 - (0)","463 - (0)","1.59% - (+0.01%)"
"19","November 14, 2020","140,781,035 - (-13,908)","0 - (0)","463 - (0)","1.58% - (+0.01%)"
"20","November 14, 2020","140,794,943 - (-7,420)","0 - (0)","463 - (+1)","1.57% - (+0.03%)"
"21","November 13, 2020","140,802,363 - (+11,991)","0 - (0)","462 - (0)","1.54% - (0.00%)"
"22","November 13, 2020","140,790,372 - (-4,441)","0 - (0)","462 - (0)","1.54% - (0.00%)"
"23","November 12, 2020","140,794,813 - (+6,069)","0 - (0)","462 - (0)","1.54% - (0.00%)"
"24","November 12, 2020","140,788,744 - (-7,786)","0 - (0)","462 - (0)","1.54% - (0.00%)"
"25","November 12, 2020","140,796,530 - (+967)","0 - (0)","462 - (0)","1.54% - (0.00%)"
"26","November 11, 2020","140,795,563 - (+13)","0 - (0)","462 - (0)","1.54% - (0.00%)"
"27","November 11, 2020","140,795,550 - (+6,124)","0 - (0)","462 - (0)","1.54% - (0.00%)"
"28","November 10, 2020","140,789,426 - (+5,249)","0 - (0)","462 - (0)","1.54% - (0.00%)"
"29","November 10, 2020","140,784,177 - (+4,659)","0 - (0)","462 - (0)","1.54% - (0.00%)"
"30","November 9, 2020","140,779,518 - (-685)","0 - (0)","462 - (0)","1.54% - (+0.01%)"
"31","November 9, 2020","140,780,203 - (-7,038)","0 - (0)","462 - (0)","1.53% - (0.00%)"
"32","November 9, 2020","140,787,241 - (+5,886)","0 - (0)","462 - (0)","1.53% - (0.00%)"
"33","November 8, 2020","140,781,355 - (+4,819)","0 - (0)","462 - (0)","1.53% - (0.00%)"
"34","November 8, 2020","140,776,536 - (-2,383)","0 - (0)","462 - (0)","1.53% - (0.00%)"
"35","November 7, 2020","140,778,919 - (+3,066)","0 - (0)","462 - (0)","1.53% - (0.00%)"
"36","November 7, 2020","140,775,853 - (-3,833)","0 - (0)","462 - (0)","1.53% - (0.00%)"
"37","November 6, 2020","140,779,686 - (-4,271)","0 - (0)","462 - (0)","1.53% - (0.00%)"
"38","November 6, 2020","140,783,957 - (+4,166)","0 - (0)","462 - (0)","1.53% - (0.00%)"
"39","November 6, 2020","140,779,791 - (+5,797)","0 - (0)","462 - (0)","1.53% - (0.00%)"
"40","November 5, 2020","140,773,994 - (-2,735)","0 - (0)","462 - (0)","1.53% - (0.00%)"
"41","November 5, 2020","140,776,729 - (+1,787)","0 - (0)","462 - (0)","1.53% - (0.00%)"
"42","November 5, 2020","140,774,942 - (+14,363)","0 - (0)","462 - (0)","1.53% - (0.00%)"
"43","November 3, 2020","140,760,579 - (-1,974)","0 - (0)","462 - (0)","1.53% - (0.00%)"
"44","November 2, 2020","140,762,553 - (+308)","0 - (0)","462 - (0)","1.53% - (+0.01%)"
"45","November 1, 2020","140,762,245 - (+1,053)","0 - (0)","462 - (0)","1.52% - (0.00%)"
"46","November 1, 2020","140,761,192 - (+1,540)","0 - (0)","462 - (0)","1.52% - (0.00%)"
"47","November 1, 2020","140,759,652 - (+2,595)","0 - (0)","462 - (0)","1.52% - (0.00%)"
"48","October 31, 2020","140,757,057 - (+7,878)","0 - (0)","462 - (0)","1.52% - (0.00%)"
"49","October 31, 2020","140,749,179 - (+1,950)","0 - (0)","462 - (0)","1.52% - (0.00%)"
"50","October 31, 2020","140,747,229 - (-3,594)","0 - (0)","462 - (0)","1.52% - (0.00%)"
"51","October 30, 2020","140,750,823 - (-7,775)","0 - (0)","462 - (0)","1.52% - (0.00%)"
"52","October 30, 2020","140,758,598 - (+10,875)","0 - (0)","462 - (0)","1.52% - (0.00%)"
"53","October 30, 2020","140,747,723 - (-6,382)","0 - (0)","462 - (0)","1.52% - (0.00%)"
"54","October 30, 2020","140,754,105 - (+1,305)","0 - (0)","462 - (0)","1.52% - (0.00%)"
"55","October 29, 2020","140,752,800 - (+6,408)","0 - (0)","462 - (0)","1.52% - (0.00%)"
"56","October 29, 2020","140,746,392 - (+2,029)","0 - (0)","462 - (0)","1.52% - (0.00%)"
"57","October 29, 2020","140,744,363 - (-8,016)","0 - (0)","462 - (0)","1.52% - (0.00%)"
"58","October 29, 2020","140,752,379 - (+9,794)","0 - (0)","462 - (0)","1.52% - (0.00%)"
"59","October 28, 2020","140,742,585 - (-6,512)","0 - (0)","462 - (0)","1.52% - (0.00%)"
"60","October 28, 2020","140,749,097 - (+2,895)","0 - (0)","462 - (0)","1.52% - (0.00%)"
"61","October 28, 2020","140,746,202 - (+3,474)","0 - (0)","462 - (0)","1.52% - (0.00%)"
"62","October 28, 2020","140,742,728 - (-7,336)","0 - (0)","462 - (0)","1.52% - (0.00%)"
"63","October 27, 2020","140,750,064 - (+8,279)","0 - (0)","462 - (0)","1.52% - (0.00%)"
"64","October 27, 2020","140,741,785 - (-7,156)","0 - (0)","462 - (0)","1.52% - (0.00%)"
