LAV,LAX,LAY,LAZ,LRV,LRX,LRY,LRZ,RAV,RAX,RAY,RAZ,RRV,RRX,RRY,RRZ
-0.001675737,0.0007421053,0.0015973679999999998,-0.0029157890000000002,-0.8474927,-0.0,0.6,-1.1,0.001329921,0.001005263,0.002334211,0.001402632,-0.05149276,-0.6,0.4,0.7
0.002650845,0.001942105,0.0001973684,0.001784211,-0.8008920999999999,-0.1,0.8,-0.9,0.0009518408,0.0006052632,0.001534211,0.0011026319999999999,0.24510320000000002,-0.0,0.1,0.4
0.0008733914999999999,0.002542105,-0.001002632,-0.001515789,-0.7776058000000001,-0.0,0.0,-1.1,-0.0002043884,0.001005263,0.0026342109999999996,-0.0008973684,0.2779209,-0.1,0.7,0.7
0.0004110305,0.001642105,-0.0006026316,-0.0012157889999999999,-1.037467,-0.0,1.0,-1.3,-0.0007293544,0.0005052632,0.003234211,-0.0009973684,-0.39090440000000004,-0.6,0.5,0.2
0.0003877113,0.001642105,-0.001602632,-0.001415789,-0.4502463,0.2,0.2,-0.8,-0.0002743562,0.0008052632,0.003434211,-0.0005973684,0.25921109999999997,-0.0,0.0,0.4
-8.52828e-05,0.001742105,-0.001202632,-0.002115789,-1.148591,-0.7,0.8,-0.8,1.248077e-05,0.001005263,0.0038342109999999997,-0.0002973684,0.2506268,0.2,0.2,0.2
0.0003392266,0.001742105,-0.001202632,-0.001515789,-0.6366689,-0.0,0.0,-0.9,0.0002082284,0.001305263,0.004034210999999999,-0.0002973684,0.2282275,-0.1,0.6,0.6
0.00037582349999999996,0.001642105,-0.001502632,-0.001415789,-1.037758,-0.0,0.4,-1.4,4.4113990000000004e-05,0.001105263,0.004134211,-0.0002973684,0.006734192,-0.8,0.3,1.0
0.0001656875,0.001442105,-0.001502632,-0.001515789,-0.9296325999999999,-0.2,0.7,-1.0,-0.00023702419999999997,0.001105263,0.0038342109999999997,-0.0007973683999999999,0.5832463999999999,-0.0,0.0,0.9
0.0001442995,0.001242105,-0.001902632,-0.001415789,-1.338858,-0.5,0.0,-1.4,-0.00016805240000000002,0.001005263,0.003734211,-0.0005973684,0.575001,-0.3,0.3,1.3
-0.00023097470000000002,0.001042105,-0.0017026320000000001,-0.001715789,-0.9285998,-0.3,1.3,-0.8,-0.0002069125,0.0009052632000000001,0.003934211,-0.0004973684,0.5084181999999999,-0.1,0.0,0.9
-0.0002889963,0.0009421053,-0.0018026320000000002,-0.001715789,-0.7215616,0.2,0.1,-1.2,-0.0006691552,0.0006052632,0.004234211,-0.0007973683999999999,-0.11579660000000001,-0.8,0.7,0.9
-0.00039307910000000004,0.0007421053,-0.002102632,-0.001715789,-1.327175,-0.5,0.5,-1.3,-0.000619124,0.0006052632,0.004334211,-0.0006973684,-0.06699973,-0.6,1.4,0.9
-0.0007020873,0.0009421053,-0.001902632,-0.002315789,-0.9552286,-0.0,0.3,-1.3,-0.000530283,0.0007052632000000001,0.004234211,-0.0006973684,0.3373764,-0.3,0.6,1.0
-0.0007225724,0.0006421053,-0.0017026320000000001,-0.002015789,-1.096566,-0.0,0.9,-1.4,-0.0004466988,0.0006052632,0.004034210999999999,-0.0004973684,0.04939835,-0.3,-0.1,0.4
-0.0005082621,0.0004421053,-0.0017026320000000001,-0.001515789,-0.8727314,-0.0,0.2,-1.2,-0.0006874539,0.0005052632,0.0038342109999999997,-0.0007973683999999999,0.17512439999999999,-0.7,0.1,1.1
-0.0007774874,0.0002421053,-0.0018026320000000002,-0.001715789,-0.7759244000000001,-0.2,0.6,-0.8,-0.0007985956,0.0004052632,0.0036342109999999996,-0.0008973684,-0.1549299,-0.9,0.9,1.0
-0.0003904553,0.0004421053,-0.001502632,-0.001315789,-0.7902403,-0.0,0.1,-1.1,-0.0006950915,0.0005052632,0.003434211,-0.0008973684,0.5085876,-0.1,0.0,0.9
-0.0003810751,0.0006421053,-0.001602632,-0.001515789,-1.150917,-0.4,0.8,-1.1,-0.000394855,0.0007052632000000001,0.003734211,-0.0005973684,0.5108689000000001,-0.0,0.5,0.9
-0.0004186763,0.0008421053,-0.001302632,-0.001715789,-0.5573159000000001,0.3,0.5,-1.0,-0.0005946657,0.0008052632,0.0038342109999999997,-0.0009973684,0.0919022,-1.1,0.4,1.5
-4.516784000000001e-05,0.001142105,-0.001502632,-0.001515789,-1.310245,0.1,0.3,-1.9,-0.000466704,0.001005263,0.0035342109999999998,-0.001097368,0.5032175999999999,-0.3,-0.1,1.1
-0.0005527029000000001,0.001142105,-0.001402632,-0.002215789,-1.272181,-0.1,0.6,-1.6,-3.345483e-05,0.001305263,0.003434211,-0.0007973683999999999,0.5648933,0.4,0.4,0.5
-4.727593e-05,0.001342105,-0.0009026316000000001,-0.0016157889999999999,-0.8277100000000001,0.3,1.0,-1.3,0.00017513400000000002,0.001305263,0.0033342109999999997,-0.0004973684,-0.06296709,-0.7,0.4,0.8
0.00034369690000000003,0.001142105,-0.001202632,-0.0009157894999999999,-1.1040510000000001,-0.3,1.0,-1.1,0.0002039105,0.001305263,0.0031342109999999996,-0.0004973684,0.4740916,-0.3,0.1,1.1
0.0005651355,0.001342105,-0.001302632,-0.0008157895,-0.8834332,-0.0,0.9,-1.1,-0.0002115611,0.001105263,0.002734211,-0.0009973684,0.1035664,-0.1,1.0,0.5
0.0008363681,0.001242105,-0.0018026320000000002,-0.00041578949999999997,-0.6976434,0.2,0.5,-1.1,6.0629080000000004e-05,0.001305263,0.002334211,-0.0008973684,0.1240088,-0.4,1.1,0.9
0.0008347913000000001,0.001342105,-0.0018026320000000002,-0.0005157895,-0.7672472,0.1,0.5,-1.1,4.550839e-05,0.001005263,0.0022342110000000003,-0.0005973684,0.0257321,-0.1,0.2,0.2
0.00037537050000000004,0.001142105,-0.002102632,-0.001015789,-0.1855111,0.9,0.9,-1.0,-0.0002940714,0.0007052632000000001,0.002134211,-0.0007973683999999999,0.307272,-0.3,0.8,1.0
0.0002586687,0.0009421053,-0.002302632,-0.001015789,-1.434584,-0.3,0.8,-1.6,-0.0006093207,0.0002052632,0.001734211,-0.0007973683999999999,-0.43206239999999996,-0.5,0.4,0.0
